LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
PAPYRIE.	PAPYRIE.
Mais la voyant tomber, Dieux!	Mais la voyant tomber, Dieux!
quel cœur ne ſlacenles	quel cœur ne slacenles
FABIE.	FABIE.
Le mien, qui fera voir dans vn trouble ſi grand Qu’on peut par la vertu triompher en mourant.	Le mien, qui fera voir dans un trouble si grand Qu'on peut par la vertu triompher en mourant.
LVCILLE.	LUCILE.
Quel deſeſpoir iniuſte à la mort vous conuie?	Quel désespoir injuste à la mort vous convie?
Ah!	Ah!
laiſſez-nous, ſans vous, diſputer voſtre vie, Puis que voſtre ſalut eſt reduit à ce poinct, Demeurez en ce lieu;	laissez-nous, sans vous, disputer votre vie, Puis que votre salut est réduit ce poinct, Demeurez en ce lieu;
mais ne vous montrez point.	mais ne vous montrez point.
CAMILLE.	CAMILLE.
Ce lieu vous ſeruira de priſon & d’azile.	Ce lieu vous servira de prison et d'asile.
FABIE.	FABIE.
Mais d’vn Temple;	Mais d'une Temple;
où mes Dieux ſont Lueille & Camille.	où mes Dieux sont Lueille et Camille.
SCENE IV.	SCÈNE IV.
FABIE, PAPYRIE, FLAVIE,	FABIE, PAPYRIE, FLAVIE,
FABIE.	FABIE.
Ais les puis-je appeller mes fauorables M Dieux?	Ais les puis-je appeler mes favorables M Dieux?
Et pourrois-je en chercher d’autres que vos beaux yeux?	Et pourrais-je en chercher d'autres que vos beaux yeux?
Lors que ie les adore, & que ie vous contemple, Ie voy mes Dieux humains, mon Autel & mon Temple, Où mon cœur ſe conſomme, & doit eſtre en ce iour Victime du deſtin, & victime d’amour, Et l’vne & l’autre mort ne peut qu’eſtre agreable, L’vne eſt delicieuſe, & l’autre eſt honnorable;	Lors que ie les adore, et que je vous contemple, Je vois mes Dieux humains, mon Autel et mon Temple, Où mon cœur se consomme, et doit être en ce jour Victime du destin, et victime d'amour, Et l'une et l'autre mort ne peut qu'être agréable, L'une est délicieuse, et l'autre est honorable;
Ie mourray pour ma gloire & mon contentement, En Vainqueur par le fer, par vos yeux en Amant:	Je mourrai pour ma gloire et mon contentement, En Vainqueur par le fer, par vos yeux en Amant:
Pour ma gloire & pour vous ſi le trépas m’emporte, N’eſt-ce pas triompher que mourir de la ſoyte?	Pour ma gloire et pour vous si le trépas m'emporte, N'est-ce pas triompher que mourir de la soite?
PAPYRIE.	PAPYRIE.
C’eſt me perdre moy-meſme, & par vn coup du ſort Me bleſſant en autruy me tuer par ſa mort:	C'est me perdre moi-même, et par un coup du sort Me blessant en autrui me tuer par sa mort:
Deffendez-vous du fer qui cauſeroit mes larmes, Et ne redoutez rien du coſté de mes charmes:	Défendez-vous du fer qui causerait mes larmes, Et ne redoutez rien du côté de mes charmes:
Mon Pere vous ſera plus fatalque mes yeux:	Mon Père vous sera plus fatalque mes yeux:
Ie puis ſauuer l’Amant, nen le victorieux.	Je puis sauver l'Amant, nen le victorieux.
FABIE.	FABIE.
Done ma gloire me perd?	Done ma gloire me perd?
ah!	ah!
victoire funeſte, Qui détruit noſtre amour & l’eſpoir qui me reſte!	victoire funeste, Qui détruit notre amour et l'espoir qui me reste!
Las pour vous meriter ie vainquis ſeulement, Ie fus victorieux pour me montrer Amant;	Las pour vous mériter ici vainquis seulement, Je fus victorieux pour me montrer Amant;
Et par vn fort maiin autant que plein de gloire Ie vous perds, ie me perds par ma propre victoire.	Et par un fort maiin autant que plein de gloire Je vous perds, tu me perds par ma propre victoire.
PAPYRIE.	PAPYRIE.
Aiil.	Ajil.
fauuez vontre vie, e moy ineime en ce poinct:	fauvez vontre vie, est -moi inéime en ce point:
Car c’eſt me conſeruer que ne vous perdre point.	Car c'est me conserver que ne vous perdre point.
FABIE.	FABIE.
La ſauuer?	La sauver?
non, par tout ma ruine eſt ouuerte, Ie cours, en, me ſauuant, à ma plus grande perte, Quoy?	non, par tout ma ruine est ouverte, Je cours, en, me sauvant, à ma plus grande perte, Quoi?
viuray-je ſans vous, & ſans vous obtenir?	vivrai-je sans vous, et sans vous obtenir?
Le courroux Paternel viendra nous deſ-vnir:	Le courroux Paternel viendra nous des-Hir:
D’vn ou d’autre coſté vous me ſerez rauie, Ie vous perds par ma mort, ie vous perds par ma vie :	D'un ou d'autre côté vous me rez ravie, Je vous perds par ma mort, votre vous perds par ma vie :
Ah!	Ah!
i’ayme mieux, ſans ſuiure vn eſpoir deceuant, vous perure par ma moit que vous perdre eu uiuant.	j'aime mieux, sans suivre un espoir décevant, vous pure par ma moit que vous perdre eu uivant.
PAPYRIE.	PAPYRIE.
Quoy?	Quoi?
dans ce deſeſpoir plus grand que ſa colere Vous m’eſtes plus cruel que ne vous l’eſt mon Pere;	dans ce désespoir plus grand que sa colère Vous m'êtes plus cruel que ne vous l'est mon Père;
Ennemis l’vn de l’autre, & contre moy tous deux Vous conſpirez enſemble à détruire mes vœux:	Ennemis l'un de l'autre, et contre moi tous deux Vous conspirez ensemble à détruire mes vœux:
Conſiderez qu’enfin voſtre vie eſt la mienne;	Considérez qu'enfin votre vie est la mienne;
Si l’vn peut l’attaquer, que l’autre la ſouſtienne Pour gagner de la gloire, & pour me meriter, Vous vainquîtes, vainquez encor pour m’emporter;	Si l'un peut l'attaquer, que l'autre la soutienne Pour gagner de la gloire, et pour me mériter, Vous vainquîtes, vainquez encor pour m'emporter;
Comme ie fus au Camp l’objet de voſtre crime, Que ie le ſois icy d’vn combat legitime;	Comme grande fus au Camp l'objet de votre crime, Que ie le sois ici d'un combat légitime;
Animez le Senat à vous bien maintenir Sur vn crime ſi beau qu’on ne le peut punir;	Animez le Sénat à vous bien maintenir Sur un crime si beau qu'on ne le peut punir;
Oppoſez.	Opposez.
Mais que dis-je?	Mais que dis-je?
helas!	hélas!
que faut-il faire?	que faut-il faire?
Oppoſer?	Opposer?
Qui?	Qui?
Fabie;	Fabie;
vn Amant contre vn Pere:	un Amant contre un Père:
O genereux, ô doux, ô cruel mouuement!	Ô généreux, ô doux, ô cruel mouvement!
Mais puis-je voir vn Pere armé contre vn Amant?	Mais puis-je voir un Père armé contre un Amant?
Contre ſon Gendre propre:	Contre son Gendre propre:
& contre Rome encore, Qui coupable qu’il eſt ainſi que moy l’adore:	et contre Rome encore, Qui coupable qu'il est ainsi que moi l'adore:
Mais deurois-je adorer vn qu’vn Pere pourſuit?	Mais devrais-je adorer un qu'un Père poursuit?
Ce penſer combat l’autre, & l’autre le détruit:	Ce penser combat l'autre, et l'autre le détruit:
Non, mon Pere cruel ne le doit pas pourſuiure;	Non, mon Père cruel ne le doit pas poursuivre;
Vn ſi noble Vainqueur merite au moins de vidie .	Un si noble Vainqueur mérite au moins de vidie .
Viuez, viuez, Fabie,	Vivez, vivez, Fabie,
FABIE.	FABIE.
Ah!	Ah!
ſans vous ie ne puis:	sans vous rien ne puis:
Et ce penſer me plonge en vn gouffre d’ennuis:	Et ce penser me plonge en un gouffre d'ennuis:
CePere veut ma vie:	CePere veut ma vie:
& ie la puis deffendre:	et ici la puis défendre:
Mais durant ſon courroux ie ne vous puis pretendre.	Mais durant son courroux ici ne vous puis prétendre.
PAPYRIE.	PAPYRIE.
Que pretendez-vous donc?	Que prétendez-vous donc?
FABIE.	FABIE.
Helas!	Hélas!
ie n’en ſçay rien De me perdre plutoſt que de quitter mon bien,	Ce n'en sais rien De me perdre plutôt que de quitter mon bien,
PAPYRIE.	PAPYRIE.
Si mon Pere en vient-là, quoy que ie le reuere.	Si mon Père en vient-là, quoique ie le révère.
S’il faut qu’il vous immole à ſon courroux ſeuere;	S'il faut qu'il vous immole à son courroux sévère;
Autant pour vous vanger qu’afin de le punir, Ma genereuſe mort nous pourra reünir;	Autant pour vous venger qu'afin de le punir, Ma généreuse mort nous pourra réunir;
Il faut, pour reparer cette rigueur eſtrange, Si le Pere vous perd, que la Fille vous vange.	Il faut, pour réparer cette rigueur étrange, Si le Père vous perd, que la Fille vous venge.
FABIE.	FABIE.
Au lieu de mevanger contre vn Pere & les loix Ce ſeroit me punir & me perdre deux fois:	Au lieu de mévanger contre un Père et les lois Ce serait me punir et me perdre deux fois:
Oyez dé-ja mon Ombre & crier, & vous dire:	Oyez déjà mon Ombre et crier, et vous dire:
Ne me vangez pas tant, offenſez moins Papyre.	Ne me vengez pas tant, offensez moins Papyre.
PAPYRIE.	PAPYRIE.
Le ſçay que ie l'offenſe en ce haut ſentiment Qui ne peut ſeparer l’Ennemy de l’Amant:	Le sais que je l'offense en ce haut sentiment Qui ne peut séparer l'Ennemi de l'Amant:
Que cruelle à mon Pere, & pour vous pitoyable E fay contre vn deuoir vne faute loüable:	Que cruelle à mon Père, et pour vous pitoyable E fais contre un devoir une faute louable:
Bour elle auſſi ma mort, comme pour ſon courroux, Me punit enuers luy, le punit enuers vous, Elle ſuiura la voſtre, & l’exemple d’vn Pere?	Bour elle aussi ma mort, comme pour son courroux, Me punit envers lui, le punit envers vous, Elle suivra la vôtre, et l'exemple d'vn Père?
On doutera des deux qui fut le plus ſeuere, Iuy pour garder les loix, moy pour ſauuer me foy :	On doutera des deux qui fut le plus sévère, Jui pour garder les lois, moi pour sauver me foi :
Ce qu’il fera ſur vous, ie le feray ſur moy:	Ce qu'il fera sur vous, je le ferai sur moi:
ſamort nous rejoindra, ſi la mort nous ſepare,	samort nous rejoindra, si la mort nous sépare,
FABIE.	FABIE.
Ah!	Ah!
ſoyez moins cruelle.	soyez moins cruelle.
PAPYRIE.	PAPYRIE.
An:	An:
qu’il Ioit moins barbare?	qu'il Joit moins barbare?
FLAVIE.	FLAVIE.
Ce deſeſpoir l’emporte:	Ce désespoir l'emporte:
O cœurs trop genereux!	Ô cœurs trop généreux!
Que feront-ils?	Que feront-ils?
i’en tremble & crains deſia pour eux:	j'en tremble et crains déjà pour eux:
Suy-les, empeſche au moins qu’on voye icy Fabie:	Sui-les, empêche au moins qu'on voie ici Fabie:
Toy-meſme, à ſon defaut, prends le ſoin de ſa vie.	Toi-même, à son défaut, prends le soin de sa vie.
Fin du ſecond Acte,	Fin du second Acte,
i	y
ACTL III.	ACTL III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PAPYRE, CAMILLE, LVCILLE.	PAPYRE, CAMILLE, LUCILLE.
PAPYRE.	PAPYRE.
VON ne m’en parle plus:	VON ne m'en parle plus:
il mourra, l’inſolent.	il mourra, l'insolent.
CAMILLE.	CAMILLE.
Quoy?	Quoi?
voulez-vous paſſer pour eſprit violent?	voulez-vous passer pour esprit violent?
PAPYRE.	PAPYRE.
Comme eſtant Dictateur, ie veux paſſer pour homme Quí ne voit que les loix & l’intereſt de Rome.	Comme étant Dictateur, je veux passer pour homme Quí ne voit que les lois et l'intérêt de Rome.
LVCILLE.	LUCILE.
Rome éleue ſoa front par deux ſi beaux cõbats.	Rome élève soa front par deux si beaux combats.
PAPYRE.	PAPYRE.
Rome par ce chemin ſeroit bien-toſt à bas, Elle à qui le deſtin promet toute la Terre Par la religion & les loix de la guerre:	Rome par ce chemin serait bientôt à bas, Elle à qui le destin promet toute la Terre Par la religion et les lois de la guerre:
Et Fabie oſe enfraindre en cette occaſion Et les loix de la guerre, & la Religion:	Et Fabie ose enfraindre en cette occasion Et les lois de la guerre, et la Religion:
Ie deffends le combat pour vne iuſte cauſe, I’ay ſoin de mon armée;	Je défends le combat pour une juste cause, J'ai soin de mon armée;
& l’inſolent l’expoſe, Ie reuiens par la peur d’vn ſuccez mal-heureux, Reuoir les Dieux de Rome, & luy ſe mocque d’eux :	et l'insolent l'expose, Je reviens par la peur d'un succès malheureux, Revoir les Dieux de Rome, et lu se moque d'eux :
Ie r’appelle le ſort, par de nouueaux auſpices;	Je rappelle le sort, par de nouveaux auspices;
Et luy tente les Dieux, quand ie les rends propices:	Et quelque tente les Dieux, quand ici les rends propices:
Si le ſort eſt changé, c’eſt par moy, c’eſt par eux:	Si le sort est chargé, c'est par moi, c'est par eux:
Son courage au combat a moins fait que mes vœux :	Son courage au combat a moins fait que mes vœux :
De Rome à noſtre Camp i’enuoyay la victoire:	De Rome à notre Camp j'envoyai la victoire:
Et les Dieux dans ſon crime ont pris ſoin de ma gloire:	Et les Dieux dans son crime ont pris soin de ma gloire:
Le ieune temeraire!	Le jeune téméraire!
il y deuoit perir:	il y devait périr:
Mais ceux que i’inuoquois l’allerent ſecourir, Ils regarderent moins ſa gloire que ma honte, an eapoion mon cump ,ns men ont rendu conte, On dira de ſon bras, comme de ma vertu, Que Papyre & les Dieux ont par luy combattu.	Mais ceux que j'invoquais l'allèrent secourir, Ils regardèrent moins sa gloire que ma honte, an eoion mon cump Que men ont rendu compte, On dira de son bras, comme de ma vertu, Que Papyre et les Dieux ont par notre combattu.
CAMILLE.	CAMILLE.
Mais il rend glorieux & les Dieux, & Papyre.	Mais il rend glorieux et les Dieux, et Papire.
PAPYRE.	PAPYRE.
uimnmihame quelolom, ce nauaide lEmpire.	Emnmihame quelolom, ce navaide lEmpire.
LVCILLE.	LUCILE.
Son courage eſt ſa loy:	Son courage est sa loi:
l’Empire eſt conſerué.	l'Empire est conservé.
PAPYRE.	PAPYRE.
Non pas, ſi l'on ne perd celuy qui l'a ſauué.	Non pas, si l'on ne perd celui qui l'a sauvé.
Si les loix dépendoient d’vn ſi ieune courage, Et l’Empire & les loix feroient bien-toſt naufrage Le courage par fois ne ſert qu’à nous trahir;	Si les lois dépendaient d'un si jeune courage, Et l'Empire et les lois feraient bientôt naufrage Le courage par fois ne sert qu'à nous trahir;
Qui veut bien commander doit ſçauoir obeïr, Sans cét ordre les Chefs n’auroient plus de puinance , Et la guerre ſeroit vn monſtre de licence:	Qui veut bien commander doit savoir obéir, Sans cet ordre les Chefs n'auraient plus de puinance , Et la guerre serait un monstre de licence:
Quoy?	Quoi?
donner vn combat, que i’auois deffendu?	donner un combat, que j'avais défendu?
LVCILLE.	LUCILE.
Le ſuccez de ſa faute en a bien reſpondu.	Le succès de sa faute en a bien répondu.
PAPYRE.	PAPYRE.
Répond-il d’vne ardeur qui peut perdre les autres?	Répond-il d'une ardeur qui peut perdre les autres?
Auront-ils des ſuccez touſiours pareils aux noſtres ?	Auront-ils des succès toujours pareils aux nôtres ?
Faiſons-leur vn exemple épouuentable & grand D'vn Chef, bien que vainqueur, qui ſur l’ordre entreprend, Et dedans la carriere à cés grands cœurs ouuerte (holc dujouramay lee luaueras la porte.	Faisons-leur un exemple épouuentable et grand D'un Chef, bien que vainqueur, qui sur l'ordre entreprend, Et dedans la carrière à ces grands cœurs ouverte (holc dujouramai lee luaveras la porte.
CAMILLE.	CAMILLE.
Plutoſt par la Clemence enſeignez-leur à tous Cét art plus glorieux de vaincre ſon courroux, Vous-meſme deuenez vn memorable exemple, Qu'en la guerte, en la paix toute Roms contemple, Et montrez par vn trait qui vous va couronner Que Fabie a fait mal s’il luy faut pardonner:	Plutôt par la Clémence enseignez-leur à tous Cet art plus glorieux de vaincre son courroux, Vous-même devenez un mémorable exemple, Qu'en la guerte, en la paix toute Roms contemple, Et montrez par un trait qui vous va couronner Que Fabie a fait mal s'il lui faut pardonner:
Le meilleur Empereur n’eſt pas le plus ſeuere, Voyez ce qu’auant vous fit Camille mon Pere:	Le meilleur Empereur n'est pas le plus sévère, Voyez ce qu'avant vous fit Camille mon Père:
Vn temeraire Chef qui l’auoit offencé, Fut compagnon d’honneur par luy-meſme auãcé:	Un téméraire Chef qui l'avait offensé, Fut compagnon d'honneur par lui-même avance:
Quel pardon, qui paſſa iuſqu’à la recompenſe?	Quel pardon, qui passa jusqu'à la récompense?
En vne faute heureuſe imitez ſa Clemence:	En une faute heureuse imitez sa Clémence:
L’exemple en eſt celebre, & c’eſt d’vn Dictateur.	L'exemple en est célèbre, et c'est d'un Dictateur.
Que Rome nõme encor ſon ſecond fondateur, Cincinnate autrefois.	Que Rome nomme encor son second fondateur, Cincinate autrefois.
RAPYRE.	RAPYRE.
Suffit qu’il m’en ſouuienne?	Suffit qu'il m'en souvienne?
Mais chacun ſuit ſa voye;	Mais chacun suit sa voie;
& ce n’eſt pas la mienne:	et ce n'est pas la mienne:
Fabie eſt glorieux au deſſus du pardon;	Fabie est glorieux au -dessus du pardon;
Il ne peut demander, ny moy, faire ce don	Il ne peut demander, ni moi, faire ce don
LVCILLE.	LUCILE.
Ie l’implore pour luy;	Je l'implore pour lui;
donnez le à mes prieres.	donnez le à mes prières.
PAPYRE.	PAPYRE.
L’importance du fait les rend icy legeres;	L'importance du fait les rend ici légères;
Non, vous ne ſçauez pas ce que vous demandez.	Non, vous ne savez pas ce que vous demandez.
LVCILLE.	LUCILE.
Vn Heros, qu’on pourſuit.	Un Héros, qu'on poursuit.
PAPYRE.	PAPYRE.
Qu'en vain vous deffendez.	Qu'en vain vous défendez.
EVCILLEe Ie deffens vn Vainqueur.	EUCILEe Je défens ton Vainqueur.
PAPYRE.	PAPYRE.
Ah!	Ah!
c’eſt trop entreprendre;	c'est trop entreprendre;
Ce Vainqueur doit perir.	Ce Vainqueur doit périr.
SCENE II.	SCÈNE II.
PAPYRIE, PAPYRE, FLAVIE, LVCILLE, CAMILLE.	PAPYRIE, PAPYRE, FLAVIE, LUCILLE, CAMILLE.
PAPYRIE.	PAPYRIE.
Ais non pas voitre Gendre.	Ais non pas voitre Gendre.
