A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
Tantoſt ie me diſpoſe a la reduiro en poudre, Et tantoſt eſcoutant la voix de la pitié, I'excuſe ſon audace, & ſon peu d’amitié.	Tantôt ie me dispose a la réduiro en poudre, Et tantôt écoutant la voix de la pitié, J'excuse son audace, et son peu d'amitié.
Argiran?	Argyran?
ſi tamais tu reſſentis dans l’ame D'vn vtile conſeil ſoulage mon tourment, Ne me deſguiſe rien, parle moy franchement, Et ſi tu n’as deſſein d'encourir ma diſgrace, Dy ce que tu ferois eſtant mis en ma place	si tamais tu ressentis dans l'âme D'un vtile conseil soulage mon tourment, Ne me déguise rien, parle moi franchement, Et si tu n'as dessein d'encourir ma disgrâce, Dis ce que tu ferais étant mis en ma place
IRAN Ce que ie ferois Sire?	IRAN Ce que ici ferais Sire?
ayant dequoy dompter Celle de qui l’orgueil oſe vous reſiſter, Apres auoir pouſſé tant de plaintes friuoles, Ie voudrois adiouſter les effects aux parolles, Ie hazarderois tout, & pour la poſſeder, Ie ferois à l’amour la force ſucceder.	ayant dequoy dompter Celle de qui l'orgueil ose vous résister, Après avoir poussé tant de plaintes frivoles, Je voudrais ajouter les effets aux paroles, Je hasarderais tout, et pour la posséder, Je ferais à l'amour la force succéder.
ALMAZAN.	ÀLMAZAN.
Il eſt vray que ie puis, vſant de violente, Saoulermes appetits, vaincre ſa reſiſtance, Et pour mettre en effect mes amoureux deſſeins, Charger de fers peſants ſes delicates mains.	Il est vrai que je puis, usant de violente, Saoulermes appétits, vaincre sa résistance, Et pour mettre en effet mes amoureux desseins, Charger de fers pans ses délicates mains.
Mais quel coutentement ou pruſtoſt queut giuire, D'achetter a ce prix vne telle victoire?	Mais quel coutentement ou prustost queut guire, D'acheter à ce prix une telle victoire?
Le moyen d’aſſembler le plaiſir & l’horreur, Et daccorder l’amour auecque la fureur?	Le moyen d'assembler le plaisir et l'horreur, Et daccorder l'amour auecque la fureur!
Ie voudrois qu’autourd’huy ſon ame combattue, Puſi reſſentir l’effort du beau trait qui me tuc, Et qu'Amour ce Tyran, ce ſuperbe vainqueur Me vouluſt eſleuer vn throſne dans ſon cœur.	Je voudrais qu'autourd'hui son âme combattue, Pusi ressentir l'effort du beau trait qui me tuc, Et qu'Amour ce Tyran, ce superbe vainqueur Me voulût élever un trône dans son cœur.
Par le plaiſir qui naiſt d’vne ardeur mutuelle, Il rendroit ma victoire e plus douce & plus belle, L’ingratte dont l’orgueil m'attaque inſolemment Chercheroit ſon bon-heur dans mon contentement, Et pleine de ce Dieu qui n'eſpargne perſonne, Ele prendroit ſa part du poiſon qu'elle donne.	Par le plaisir qui naît d'une ardeur mutuelle, Il rendrait ma victoire eût plus douce et plus belle, L'ingratte dont l'orgueil m'attaque insolemment Chercherait son bonheur dans mon contentement, Et pleine de ce Dieu qui n'épargne personne, Éle prendroit sa part du poison qu'elle donne.
ARGIRAN.	ARGIRAN.
Certes ſi par douceur on pouuoit la gaigner Ce ſeroit bien des pleurs, ou du ſang eſpargner, Mais pluſtoſt que mon cœur ne fiſt cette conqueſte, Et qu'vn Aynthe amoureux ne couronnaſt ma teſte, I'aaiouſterois ſa perte à ſes autres malheurs Et te n'eſpargnerois ny ſon ſang ny ſes pleurs.	Certes si par douceur on pouvait la gagner Ce serait bien des pleurs, ou du sang épargner, Mais plutôt que mon cœur ne fît cette conquête, Et qu'un Aynthe amoureux ne couronnât ma tête, J'aaiousterois sa perte à ses autres malheurs Et te n'épargnerais ici son sang ni es pleurs.
ALMAZAN.	ÀLMAZAN.
I'ay formé ce deſſein, iniusteou legitime Mon feu n’eſt allumé que pour cette victime, Il faut que cet obiet ſi cruel, mais ſi beau Monte deſſus le throſne, ou deſcende au tombeaus.	J'ai formé ce dessein, injusteou légitime Mon feu n'est allumé que pour cette victime, Il faut que cet objet si cruel, mais si beau Té dessus le trône, ou descende au tombeaus.
A moins que ſon bumeur ſeconde mon enuie, Elle ne peut ſauuer ſon honneur ny ſa vie, Et quoy qu'elle oſe dire ou qu’elle oſe eſperer, Elle n'a que ce tour pour en deliberer.	À moins que son bumeur seconde mon envie, Elle ne peut sauver son honneur ni sa vie, Et quoi qu'elle ose dire ou qu'elle ose espérer, Elle n'a que ce tour pour en délibérer.
Mais qui vient?	Mais qui vient?
ARGIRAN.	ARGIRAN.
C'eſt Lycas.	C'est Lycas.
OCRETE II.	OCRETE II.
ALMAZAN, LYCAS, & ARGIRAN.	ÀLMAZAN, LYCAS, et ARGIRAN.
ALMAZAN.	ÀLMAZAN.
EThien	EThien
LYCAS.	LYCAS.
Melidor Sire, Dit auoir vn ſecret important à vous dire,	Mélidor Sire, Dit avoir un secret important à vous dire,
Qu'il entre.	Qu'il entre.
ALMAZAN.	ÀLMAZAN.
LYCAS.	LYCAS.
Quelques chefs l’accompagnent icy.	Quelques chefs l'accompagnent ici.
A LMAZAN.	À LMAZAN.
Illes faut eſcouter, va qu’ils entrent außi.	Illes faut écouter, va qu'ils entrent aussi.
Quelque noble deſſein les pouſſe & les enſlame.	Quelque noble dessein les pousse et les enslamme.
SCEIVE TII MELIDOR, ALMAZAN, & ARGIRAN.	SCEIVE -TY MELIDOR, ALMAZAN, et ARGIRAN.
MELIDOR.	MELIDOR.
Ve voſtre Majeſté grand Prince ne me blaſ2u me St iuſel iuterrompre, & d'vn ſeicheux diſcours Aleſier quelque amertume aux douceurs de ſes 3our9, Vne puiſſante loy m’ordonne de le faire:	Ve votre Majesté grand Prince ne me blas2u lui St iusel juterrompre, et d'un seicheux discours Alesier quelque amertume aux douceurs de ses 3our9, Une puissante lois m'ordonne de le faire:
Et ſi quelque raiſon m'inſpiroit de me taire, Cette raiſon legere offenſeroit les Dieux, Et feroit d’vn ſilence vn forfait odieux.	Et si quelque raison m'inspirait de me taire, Cette raison légère offenserait les Dieux, Et ferait d' silence un forfait odieux.
Parle.	Parle.
ALMAZAN,	ÀLMAZAN,
MELIDOR.	MELIDOR.
Auant qu'exprimer ce qu’il faut qu'elle entende, ii Que voſtre Majeſté ſouffre que ie demande, Quel prix elle offriroit a l’vnde ſes ſuiects, Qui d’vn traiſtre aſſaßin confondroit les proieëts, Et qui d’vn parricide exemptant ſa perſonne, Sauueroit tout d'vn coup ſa vvie & ſa couronne.	Avant qu'exprimer ce qu'il faut qu'elle entende, ji Que votre Majesté souffre que sans demande, Quel prix elle offrirait à l'unde ses sujets, Qui d'un traître assassin confondrait les proieûts, Et qui d'vn parricide exemptant sa personne, Sauverait tout d'un coup sa vie et sa couronne.
ALMAZAN Si d’vn peril ſemblable on m'auoit preſerué, Ie voudrois me donner a qui m’auroit ſauué, Ie ferois vanité de luy rendre commune Ma gloire ma grandeur, mon ſceptre, ma fortune, Et pour l’auoir couneu ſi fidelle à ſon Roy, Quoy qu'il puſt deſirer, il l'obtiendroit de moy.	ALMAZAN Si d'une péril semblable on m'avait preservé, Je voudrais me donner à qui m'aurait saurai, Saurait saurais vanité de Seigneur rendre commune Ma gloire ma grandeur, mon sceptre, ma fortune, Et pour l'avoir couneu si fidèle à son Roi, Quoi qu'il pût désirer, il l'obtiendrait de moi.
MELIDOR.	MELIDOR.
Rien ne peut meriter cette reconnoiſſance, Mais Sire ie vout tiens trop longtemps en balance, Du uoy de qui leſprit fidelle & vigilant, .	Rien ne peut mériter cette reconnaissance, Mais Sire ici vout tiens trop longtemps en balance, Du ois de qui lesprit fidèle et vigilant, .
l cogneu d’Un ingrat le deſſein violent, Il veut borner le cours de vos belles annees, Mais i’ay ſceu deſcouurir ſes funeſtes menées, Et rien ne m'eſt caché de l’horrible attentat, Dõt ce traiſtre veut perdre & le Prince & l Eſtat.	 cogneu d'Un ingrat le dessein violent, Il veut borner le cours de vos belles années, Mais j'ai su découvrir ses funestes menées, Et rien ne m'est caché de l'horrible attentat, Domme ce traître veut perdre et le Prince et l' État.
ALMAZAN.	ÀLMAZAN.
Nomme cet impudent afin qu’vntrait de foudre, L’extermine, l’eſcraſe, & le reduiſe en poudre, jamorijontepie ajanemane;	Nomme cet impudent afin qu'Hait de foudre, L'extermine, l'écrase, et le réduise en poudre, jamorijontepie ajanemane;
MELIDOR.	MELIDOR.
Ie l’aurois deſia dit a voſtre Maieſte, Mais pour ſurprendre mieux ce perfide Aduerſaire, Voſtre propre intereſt me force de le taire;	Je l'aurais déjà dit a y Maire, Mais pour surprendre mieux ce perfide Aduersaire, Votre propre intérêt me force de le taire;
Il ſuffit que bien-toſt vos yeux iuſtes teſmoins Verront à deſcouuert & ſon crime & mes ſoings, Fuſt il la force meſme ou la meſme fineſſe, Il ne peut euiter les pieges qu'onluy dreſſe, Ie vous l’ameneray vifou mort.	Il suffit que bientôt vos yeux justes témoins Verront à découvert et son crime et mes soings, Fût il la force rien ou la même finesse, Il ne peut éviter les pièges qu'onlui dresse, Je vous l'amènerai vifou mort.
ALMAZAN C’est aſſez, Adiouſtant ce ſeruice aux ſeruices paſſez, Sois certain Melidor d'obtenirdans l’Empire Quelque degré de gloire ou ton humeur aſpire, Sunge donc à ma vie, & ne perds point de temps.	ALMAZAN C'est assez, Adioustant ce service aux services passez, Sois certain Melidor d'obtenirdans l'Empire Quelque degré de gloire ou ton humeur aspire, Sunge donc à ma vie, et ne perds point de temps.
Il fort	Il fort
MELIDOR Enfin, chers Compagnons, mes deſirs ſont contents, I'auray de mes trauaux la iuſte recompenſe, Et le Roy m’a promis beaucoup plus qu’il ne penſe.	MELIDOR Enfin, chers Compagnons, mes désirs sont contents, J'aurai de mes travaux la juste récompense, Et le Roi m'a promis beaucoup plus qu'il ne pense.
Aydez a mon deſſein, & ſi i’obtiens iamais Le bien que ie ſouhaitte, & que ie me promets, Ieſleueray ſi haut vos fortunes proſperes, canmfaguopmpumemmde ceser.	Aidez a mon dessein, et si j'obtiens jamais Le bien que je souhaite, et que sans me promets, Iesleueray si haut vos fortunes prospères, canmfaguoppumemède ceser.
HEF.	HÉF.
Propoſez hardiment, & nous oſerons tout, Quoy qu’il faille tenter nous en viendrons a bout, Noſtre deſiin au ouſtre eſt ioint de relte ſorte, A u’on ne peut voir de nœud ny de chaiſne plus forte	Proposez hardiment, et nous oserons tout, Quoi qu'il faille tenter nous en viendrons à bout, Notre desiin au faite est joint de relte sorte, A u'on ne peut voir de nœud ni de chaîne plus forte
MELIDOR.	MELIDOR.
Mon deſſein chers amis, mais quelqu’vn peut venir, Ce lieu n’eſt pas commode a vous entretenir, Eſcartons nous vn peu, l’affaire le merite, Et le ſecret importe au coup que ie medite.	Mon dessein chers amis, mais quelqu'un peut venir, Ce lieu n'est pas commode à vous entretenir, Écartons nous un peu, l'affaire le mérite, Et le secret importe au coup que sans médite.
SCENE IV.	SCÈNE IV.
SCENE IV CLARIMONDE, LYDIANE au lardin.	SCÈNE IV CLARIMONDE, LYDIANE au lardin.
CLARIMONDE.	CLARIMONDE.
I quelque impatience agite mon eſprit, JA Ia raiſon la fait naiſtre, & mon feu la nourrit.	I quelque impatience agite mon esprit, JA Ia raison la fait naître, et mon feu la nourrit.
Ie croy qu’a m'obliger Alcandre ſe diſpoſe, Mais helas!	Je crois qu'a m'obliger Alcandre se dispose, Mais hélas!
penſes tu qu'il le puiſſe ou qu'il l’oſe?	penses -tu qu'il le puisse ou qu'il l'ose?
Quelquere pecthumain, quelque laſche deuoir det pomrca deſtounnenumueſſemndemecoi;	Quelque pecthumain, quelque lâche devoir det pomrca destounnenumuessemndemecoi;
Duresextremitez !	Duresextrémités !
importune contrainte!	importune contrainte!
Faut il bruſier d'eſpoir faut il geler de crainte Et ne doibs-ie pas dire en l’eſtat ou ie ſuis, il d'eſt point de ſupplice eſgalames ennuis?	Faut -il brûier d'espoir faut -il geler de crainte Et ne doibs-je pas dire en l'état ou tu suis, il d'est point de supplice égalâmes ennuis?
L YDIANE.	 LYDIANE.
Cederà la douleur c’eſt manquer de courage, Le Nocher qui ſe trouble au milieude l’orage, Loing de le ſurmonter & de ſurgir au port, Trouue dans ſon naufrage & la honte & la mort.	Céderà la douleur c'est manquer de courage, Le Nocher qui se trouble au milieude l'orage, Loing de le surmonter et de surgir au port, Trouve dans son naufrage et la honte et la mort.
Eſperez mieux Madame;	Espérez mieux Madame;
& ſoyezaſſeuree D'vne foy ſi cogneuë & ſi ſouuent iuree, Eust il toute la terre & les cieux ennemis, Il ne ſcauroit manquer à ce qu’il apromis, Il le veut, il le peut, vous n’auez point de garde De qui l’œil desſiant iour & nuict vous regarde, Rien ne vous eſt ſuspect, puiſque dans ce momeat Vous estes ſoubs la foy d’vne Clef ſeulement, Vous le verrezbientost.	et soyezassurée D'une foi si cogneuë et si souvent jure, Eut il toute la terre et les cieux ennemis, Il ne saurait manquer à ce qu'il appromis, Il le veut, il le peut, vous n'avez point de garde De qui l'œil dessiant jour et nuit vous regarde, Rien ne vous est suspect, puisque dans ce momeat Vous êtes soups la foi d'une Clef seulement, Vous le verrezbientôt.
CLARIMONDE.	CLARIMONDE.
Ah c’est ce qui me trouble.	Ah c'est ce qui me trouble.
Par l’eſpoirde ce bien ma diſgrace redouble, De quel front, de quel œil verray-ie deuant moy Celuy qui m’abandonne au triomphe du Roy?	Par l'espoirde ce bien ma disgrâce redouble, De quel front, de quel œil verrai-je devant moi Celui qui m'abandonne au triomphe du Roi?
Si ma perte le touche il doit ceſſer de viure, Lt Sumeurt pour m'atmert est amoyde le ſuiure.	Si ma perte le touche il doit cesser de vivre, Lt Sumeurt pour m'atmert est amoide le suivre.
Ainſi qu’il ſoit coupable, ou qu’il ne le ſoit pas, Ie ne puis Lydiane euiter le treſpas:	Ainsi qu'il soit coupable, ou qu'il ne le soit pas, Je ne puis Lydiane éviter le trépas:
Car pour ſon innocence, ou bien pour ſon outrage, Il faudra que ie meure ou d’amour ou de rage.	Car pour son innocence, ou bien pour son outrage, Il faudra que de meure ou d'amour ou de rage.
LYDIANE.	LYDIANE.
Si les Dieux protecteurs a ent faincit amtit, Ne iettoient ſur la voſtre vn regard de pitie, Ie les accuſerois d’vne iniustice extreme;	Si les Dieux protecteurs a ent fit amust, Ne iettoient sur la vôtre un regard de pitié, Je les accuserais d'une injustice extrême;
Mais i’appercoy quelqu’vn.	Mais j'aperçois quelqu'amour.
CLARIMONDE.	CLARIMONDE.
Est ce luy?	Est ce Prince?
LYDIANE.	LYDIANE.
C’eſt luy-meſme	C'est autre-même
CLARIMONDE.	CLARIMONDE.
Ejaimmete fens en feiſſon me ſuiſir, Et ma crainte a ce coup ſurmonte mon deſir.	Ejaimète sens en feisson me suisir, Et ma crainte à ce coup surmonte mon désir.
SCLIVEV ALCANDRE deſguiſe en lardinier.	SCLIVE ALCANDRE déguise en lardinier.
CLARIMONDE.	CLARIMONDE.
LYDIANE.	LYDIANE.
N Est auceque raiſon belle & grande Prin(Que mon funeſte abord vous eſtonne & vous bleſſe, Ie ne ſuis plus qu'vn Monſtre aqui le iuſte ſort Re fuſe eſgalement & la vie & la mort, Monſtre de laſcheté, prodige de foibleſſe, De qui le cœur ſans cœur vid tomber ſa maiſtreſſe Soubs le ioug rigoureux d’vn pouuoir eſtranger, Sans mourir à ſes yeux comme ſans la vanger.	NOTRE Est auceque raison belle et grande PrinueQue mon funeste abord vous étonne et vous blesse, Je ne suis plus qu' Monstre aqui le juste sort Re fuse également et la vie et la mort, Montre de lâcheté, prodige de faiblesse, De qui le cœur sans cœur vit tomber sa maîtresse Sougs le jou reux d'un pouvoir étranger, Sans mourir à ses yeux comme sans la venger.
CLARIMONDE.	CLARIMONDE.
Alcandre ſi ie crains, ce n’eſt pas ta preſence, Comme ell eſt mon deſir, ell eſt mon eſperance, Mais ce qui peut ma peine & ma crainte cauſer, C’eſt l'extreme perilou tuviens t’expoſer, Ceſſe de t’accuſer, ie cognois ton courage, Si ton cœur offenſe n'a repouße l’outrage, C'eſt que ta preuoyance a iuge ſagement, Que la force manquoit a ton reſſentiment;	Alcandre si ici crains, ce n'est pas ta présence, Comme elle est mon désir, elle est mon espérance, Mais ce qui peut ma peine et ma crainte causer, C'est l'extrême périlou tuviens t'exposer, Cesse de t'accuser, Seigneur connais ton courage, Si ton cœur offense n'a repousse l'outrage, C'est que ta prévoyance à juge sagement, Que la force manquait à ton ressentiment;
Repare ce deffaut, ſonge aquelque artiſice Qui trompe du tyranl amour ou la malice, Deſtruis par ta prudence vn iniuſte pouuoir, Et ce qu'il t’a raui taſche de le r'auoir.	Répare ce défaut, songe aquelque artisice Qui trompe du tyranl amour ou la malice, Détruis par ta prudence un injuste pouvoir, Et ce qu'il t'a ravi tâche de le rauoir.
