A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
TRAGEDIE.	TRAGÉDIE.
SCENE VII.	SCÈNE VII.
25 Et vieil HORACE, HORACE, CVRIACE, SABINE, CAMIHDE.	25 Et vieil HORACE, HORACE, CURIACE, SABINE, CAMIHDE.
Le vieil HORACE.	Le vieil HORACE.
v’eſt-ce-cy mes enfans?	v'est-ce-cy mes enfants?
eſcoutez vous vos  flammes, Et perdez-vous encor le temps auec des femmes?	écoutez -vous vos flammes, Et perdez-vous encor le temps au des femmes?
Preſts à verſer du ſang regardez-vous des pleurs?	Prêts à verser du sang regardez-vous des pleurs?
Fuyez & laiſſez les déplorer leurs malheurs, Leurs plaintes ont pour vous trop d’art & de tendlene » Elles vous feroient part en fin de leur foibiene, Et ce n’eſt qu’en fuyant qu’on pare de tels coups.	Fuyez et laissez les déplorer leurs malheurs, Leurs plaintes ont pour vous trop d'art et de tendlène " Elles vous feraient part en fin de leur foibiene, Et ce n'est qu'en fuyant qu'on pare de tels coups.
A I 8 Et (vous, N’apprehendez rien d’eux, ils ſont dighes de Malgré tous nos efforts vous en deuez attendre Et ſi noſtre foibleſſe auoit peu les changer Nous vous laiſſons icy pour les encourager.	À I 8 Et (vous, N'appréhendez rien d'eux, ils sont dighes de Malgré tous nos efforts vous en devez attendre Et si notre faiblesse avait peu les changer Nous vous laissons ici pour les encourager.
mes, lillons, ma ieur;	mes, lillons, ma jeur;
allons, ne perdons point de larContre tant de vertus ce ſont de foibles armes, Ce n’eſt qu’au deſeſpoir qu’il nous faut recourir, Tigres allés combatre, & nous anomo imourir.	allons, ne perdons point de larContre tant de vertus ce sont de faibles armes, Ce n'est qu'au désespoir qu'il nous faut recourir, Tigres allés combattre, et nous anomo imourir.
SCENE VIII.	SCÈNE VIII.
Le vieil HORACE, HORACE, CVRIACE,	Le vieil HORACE, HORACE, CURIACE,
HORACE.	HORACE.
On pere retenés des femmes qui s’emportent, MEt de grace empeſchez ſur tout qu’elles ne ſortent.	On père retenez des femmes qui s'emportent, MEt de grâce empêchés sur tout qu'elles ne sortent.
Leur amour importun viendroit auec eſclat Par des cris & des pleurs troubler noſtre combat, Et ce quelles nous ſont feroit qu’auec iuſtice On nous imputeroit ce mauuais artifice, (peté L’honneut d’vn ſi beau choix ſeroit trop acheSi Si l’on nous ſoupçomnoit de ueiene laſcheté.	Leur amour importun viendrait avec éclat Par des cris et des pleurs troubler notre combat, Et ce quelles nous sont ferait qu'avec justice On nous imputerait ce mauvais artifice, (pété L'honnut d'à si beau choix serait trop achési Si l'on nous soupçomnoit de ueiene lâcheté.
Le vieil HORACE.	Le vieil HORACE.
I’en auray ſoin, ailez, vos freres vous attendent, m penez qu’aux devoirs que vos pays demandent.	J'en aurai soin, ailé, vos frères vous attendent, m enez qu'aux devoirs que vos pays demandent.
CVRIACE.	CURICE.
Quel Adieu vous diray-ie & par quels complimés.	Quel Adieu vous dirai-je et par quels complimez.
Le vieil HORACE.	Le vieil HORACE.
Ah!	Ah!
n’attendriſſez point icy mes ſentimens, Pour vous encourager ma voix manque de termes, (mes, Mon cœur ne forme point de penſers aſſez ferMoy-meſme en cét Adieu i’ay les larmes aux yeux, Faites voſtre devoir, & laiſſez faire aux Dieux.	n'attendrissez point ici mes sentiments, Pour vous encourager ma voix manque de termes, (mes, Mon cœur ne forme point de pensers assez ferMoi-même en cet Adieu j'ai les larmes aux yeux, Faites vôtre avoir, et laissez faire aux Dieux.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
c C Sy 8 ABINE.	ç CY Cy 8 ABINE.
Renons party mon ame, en de telles diſgraces, Soyons femme d’Horace, ou ſœur des Curiaces, Ceſſons de partager nos inutiles ſoins, Souhaitons quelque choſe, & craignons vn peu moins.	Renons parti mon âme, en de telles disgrâces, Soyons femme d'Horace, ou sœur des Curiaces, Cessons de partager nos inutiles soins, Souhaitons quelque chose, et craignons un peu moins.
traire?	traire?
Mais las!	Mais las!
quel party prendre en vn ſort ſi conQuel ennemy choiſir d’vn eſpous ou d’vn frere?	quel parti prendre en un sort si conQuel ennemi choisir d'un épous ou d'un frère?
La nature ou l’amour parlent pour chacun d’eux, Et la loy du deuoir m’attache à tous les d’eux.	La nature ou l'amour parlent pour chacun d'eux, Et la loi du devoir m'attache à tous les d'eux.
Sur leurs hauts ſentiments reglons pluſtoſt les noſtres, Soyons femme de l’vn enſemble & ſœur des autres, (bien, Regardons leur honneur comme vn ſouuerain Iini	Sur leurs hauts sentiments réglons plutôt les nôtres, Soyons femme de l'un ensemble et sœur des autres, (bien, Regardons leur honneur comme un souuerain Jini
Imitons leur conſtance, & ne craignons plus rienLa mort qui les menace eſt vne mort ſi belle Qu’il en faut ſans frayeur attendre la nouuelle, N’appellons point alors les deſtins inhumains, Songeons pour quelle cauſe, & non par quelles mains, (re Reuoyons les vainqueurs ſans penſer qu’à la gloiQue toute leur maiſon reçoit de leur victoire.	Imitons leur constance, et ne craignons plus rienLa mort qui les menace est une mort si belle Qu'il en faut sans frayeur attendre la nouvelle, N'appelons point alors les destins inhumains, Songeons pour quelle cause, et non par quelles mains, (re Revoyons les vainqueurs sans penser qu'à la gloive toute leur maison reçoit de leur victoire.
Et ſans conſiderer aux deſpens de quel ſang Leur vertu les eſleue en cét illuſtre rang.	Et sans considérer aux dépens de quel sang Leur vertu les élève en cet illustre rang.
Faiſons nos intereſts de ceux de leur famille, En l’vne ie ſuis femme, en l’autre ie ſuis fille, Et tiens à toutes deux par de ſi forts liens Qu’on ne peut triompher que par les bras des miens.	Faisons nos intérêts de ceux de leur famille, En l'une ie suis femme, en l'autre ie suis fille, Et tiens à toutes deux par de si forts liens Qu'on ne peut triompher que par les bras des miens.
Fortune, quelques maux que ta rigueur m’enuoye, I’ay trouué les moyens d’en tirer de la ioye, Et puis voir maintenant le combat ſans terreur, Les morts ſans deſeſpoir, les vainqueurs ſans horreur, Flateuſe illuſion, erreur douce & groſſiere.	Fortune, quelques maux que ta rigueur m'envoie, J'ai trouvé les moyens d'en tirer de la joie, Et puis voir maintenant le combat sans terreur, Les morts sans désespoir, les vainqueurs sans horreur, Flateuse illusion, erreur douce et grossière.
Vain effort de mon ame, impuiſſante lumiere, De qui le faux brillant prend droit de meſbloüir, Que tu ſçais peu durer, & toſt t’eſuanouïr!	Vain effort de mon âme, impuissante lumière, De qui le faux brillant prend droit de mesbloüir, Que tu sais peu durer, et tôt t'esuanouïr!
Pareille à ces eſclairs qui dans le fort des ombres, Pouſſent vn iour qui fuit, & rend les nuits plus ſombres, Tu n’as frappé mes yeux d’vn moment de clarté Que pour les abyſmer dans plus d’obſcurité.	Pareille à ces éclairs qui dans le fort des ombres, Poussent un jour qui fuit, et rend les nuits plus sombres, Tu n'as frappé mes yeux d'un moment de clarté Que pour les abîmer dans plus d'obscurité.
ſche, Tu charmois trop ma peine, & le Ciel qui s’en faMe vend deſia bien cher ce moment de relaſche, Ie ſens mon triſte cœur percé de tous les coups Qui m’oſtent maintenant vn frere, ou mon eſpous.	sche, Tu charmais trop ma peine, et le Ciel qui s'en faMe vend déjà bien cher ce moment de relâche, Je sens mon triste cœur percé de tous les coups Qui m'ôtent maintenant un frère, ou mon épous.
poſe, Quand ie ſonge à leur mort, quoy que ie me proIe ſonge par quel bras, & non pour quelle cauſe,	pose, Quand der songe à leur mort, quoi que deux me proIe songe par quel bras, et non pour quelle cause,
5 Et ne voy les vainqueurs en leur illuſtre rang.	5 Et ne vois les vainqueurs en leur illustre rang.
Que pour conſiderer aux deſpens de quel ſang La maiſon des vaincus touche ſeule mon ame, En l’vne ie ſuis fille, en l’autre ie ſuis femme, Et tiens à toutes deux par de ſi forts liens (miens.	Que pour considérer aux dépens de quel sang La maison des vaincus touche seule mon âme, En l'unesois suis fille, en l'autre ie suis femme, Et tiens à toutes deux par de si forts liens (miens.
Qu’on ne peut triompher que par la mort des C’eſt là donc cette paix que i’ay tant ſouhaitée!	Qu'on ne peut triompher que par la mort des C'est là donc cette paix que j'ai tant souhaitée!
Trop favorables Dieux, vous m’auez eſcoutée!	Trop favorables Dieux, vous m'avez écoutée!
Quels foudres lancés vous quãd vous vous irritez, Si meſme vos faueurs ont tant de cruautez, Et de queiie façon pumiez vous l'offenſe, Si vous traités ainſi les veux de l’innocence?	Quels foudres lancés vous quand vous vous irritez, Si même vos faveurs ont tant de cruautés, Et de quejie façon pumiez -vous l'offense, Si vous traitez ainsi les veux de l'innocence?
SCENE II.	SCÈNE II.
SABINE, IVLIE.	SABINE, IVLIE.
SABINE.	SABINE.
N’eſt-ce fait, Iulie, & que m’apportez vous?	N'est-ce fait, Julie, et que m'apportez -vous?
L'Eſt-ce la mort d’vn frere, ou celle d’vn eſpous?	L'Est-ce la mort d'un frère, ou celle d'un épous?
Ou ſi le triſte ſort de leurs armes impies De tous les combatans diait autant d'horties, Et m’enuiant l’horreur que i’aurois des vainqueuls, (pleurs?	Ou si le triste sort de leurs armes impies De tous les combattants diait autant d'horties, Et m'enviant l'horreur que j'aurais des vainqueus, (pleurs?
Pour tous tant qu’il eſtoient m’a condamnée aux	Pour tous tant qu'il étaient m'a condamnée aux
IVLIE.	IVLIE.
Quoy, ce qui s’eſt paſſé vous l’ignorez encore?	Quoi, ce qui s'est passé vous l'ignorez encore?
SABINE.	SABINE.
Vous faut-il eſtonner de ce que ie l’ignore, Et ne ſcavez vous point que de cette maiſon mour Caiimie d pour moy l’on fait vne priſon?	Vous faut-il étonner de ce que ici l'ignore, Et ne savez -vous point que de cette maison mourais Caiimie d pour moi l'on fait une prison?
Iulie on nous renferme, on à peur de nos larmes, Sans cela nous ſerions au milieu de leurs armes, Et pat les deſeſpoirs d’vne chaſte amitié Nous aurions des deux camps tiré quelque pitié.	Julie on nous renferme, on à peur de nos larmes, Sans cela nous serions au milieu de leurs armes, Et pat les désespoirs d'une chaste amitié Nous aurions des deux camps tiré quelque pitié.
IVLIE.	IVLIE.
Il n’eſtoit pas beſoin d’vn ſi tendre ſpectacle, Leur veuë à leur combat apporte allez d'opnacle,	Il n'était pas besoin d' simmes spectacle, Leur vue à leur combat apporte allez d'opnacle,
Si toſt qu’ils ont paru preſts à ſe meſurer, Et l'vn & l’autre camp s’eſt mis à murmurer:	Si tôt qu'ils ont paru prêts à se mesurer, Et l'elle et l'autre camp s'est mis à murmurer:
A voir de tels amis, des perſonnes ſi proches Venir pour leur patrie aux mortelles approches, L’vn s’eſmeut de pitié, l’autre eſt ſaiſi d’horreur, L’autre d’vn ſi grand zele admire la fureur, Tel porte iuſqu’aux Cieux leur vertu ſans égale, Et tel l’oſe nommer ſacrilege & brutale.	À voir de tels amis, des personnes si proches Venir pour leur patrie aux mortelles approches, L'un s'émeut de pitié, l'autre est saisi d'horreur, L'autre d'un si grand zèle admire la fureur, Tel porte jusqu'aux Cieux leur vertu sans égale, Et tel l'ose nommer sacrilège et brutale.
Ces diuers ſentimens n’ont pourtant qu’vne voix, Tous accuſent leurs chefs, tous deteſtent leur efcia y Et ne pouuant ſouffrir vn combat ſi barbare Ons eicrie, oirs avance, enfin on les ſepare.	Ces divers sentiments n'ont pourtant qu'une voix, Tous accusent leurs chefs, tous détestent leur éfcia y Et ne pouvant souffrir un combat si barbare Ons eicrie, oirs avance, enfin on les sépare.
ABINE.	ÀBINE.
xaucés!	xaucés!
Que ie vous dois d’encens, grands Dieux qui m’e	Que quelque vous dois d'encens, grands Dieux qui m'e
*LIE.	*LIE.
Vous n’eſtes pas, Sabine, encor où vous penſés.	Vous n'êtes pas, Sabine, encor où vous pensez.
Vous pouuez eſperer, vous auez moins à craindre, Mais il vous reſte encor aſſez dequoy vous plainEn vain d’vn ſort ſi triſte on les veut garãtir, (dre, Ces cruels genereux n’y peuuent conſentir, La gloire de ce choix leur eſt ſi precieuſe Et charme tellement leur ame ambitieuſe, Qu'alors qu’on les deplore ils s’eſtiment heureux, nt prennent pour affront la pitié qu’on a d’eux, Le trouble des deux camps ſoüille leur renommée, Ils combatront pluſtoſt & l’vne & l’autre armée, Et ſioutront par les mains qui les ont ſeparés, Que quitter les honneurs qui leur ſont deferés.	Vous pouvez espérer, vous avez moins à craindre, Mais il vous reste encor assez dequoy vous plainon vain d'un sort si triste on les veut garantir, (dre, Ces cruels généreux n'y peuvent consentir, La gloire de ce choix leur est si précieuse Et charme tellement leur âme ambitieuse, Qu'alors qu'on les déplore ils s'estiment heureux, n' prennent pour affront la pitié qu'on a d'eux, Le trouble des deux camps soüille leur renommée, Ils combattront plutôt et l'une et l'autre armée, Et sioutront par les mains qui les mains separés, Les quitter quoi vous sont leur les hommes.
ABINE.	ÀBINE.
Quoy?	Quoi?
dans leur dureté ces cœurs de fer s’obſtinent?	dans leur dureté ces cœurs de fer s'obstinent?
YLIE.	YLIE.
La preſence des chefs à peine eſt reſpecteé, Leur pouuoir eſt douteux, leur voix mal eſcoutée.	La présence des chefs à peine est respecte, Leur pouvoir est douteux, leur voix mal écoutée.
Le Roy meſme s’eſtonne, & pour dernier effort, Puiſque chacun, dit-il, s’eſchauffe en ce diſcord, Conſultons des grands Dieux la Majeſté ſacrée Et voyons ſi ce change à leurs bontez agrée, Quel impie oſera ſe prendre à leur vouloir, Lors qu’en vn ſacrifice ils nous l’auront fait voir?	Le Roi même s'étonne, et pour dernier effort, Puisque chacun, dit-il, s'échauffe en ce discord, Consultons des grands Dieux la Majesté sacrée Et voyons si ce change à leurs bontés agrée, Quel impie osera se prendre à leur vouloir, Lors qu'en un sacrifice ils nous l'auront fait voir?
Ils ſe tait, & ces mots ſemblent eſtre des charmes, Meſme aux ſix combatans ils arrachent les armes, Et ce deſir d’honneur qui leur ferme les yeux Tout aueugle qu’il eſt reſpecte encor les Dieux;	Ils se taît, et ces mots semblent être des charmes, Même aux six combattants ils arrachent les armes, Et ce désir d'honneur qui leur ferme les yeux Tout aveugle qu'il est respecte encor les Dieux;
Leur plus boüillante ardeur cede à l’aduis de Tulle, Et ſoit par deference, ou par vn prompt ſcrupule manoPvne de r'autre armée on s’en fait vne loy, Comme ſi toutes deux le cognoiſſoient pour Roy.	Leur plus bouillante ardeur cède à l'avis de Tulle, Et soit par déférence, ou par un prompt scrupule manoPune de rautre armée on s'en fait loi, Comme si toutes deux le connaissaient pour Deux.
Le reſte s’appendra par la mort des victimes.	Le reste s'appendra par la mort des victimes.
SABINE.	SABINE.
Les Dieux n’aduoüeront point vn combat plein de ehlines, I’en eſpere beaucoup puis qu’il eſt differé, Et ie commence à voir ce que i’ay deſiré.	Les Dieux n'avoueront point un combat plein de ehines, J'en espère beaucoup puis qu'il est différé, Et apprendre commence à voir ce que j'ai désiré.
SCENE III.	SCÈNE III.
SABINE, CAMILLE, IVLIE.	SABINE, CAMILLE, IVLIE.
SABINB.	SABINB.
A ſœur, que ie vous die vne bonne nouuelle.	À sœur, que je vous die une bonne nouvelle.
