A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
Mais l’aymable Zephir qui parle de la paix Des vents auecque l’onde inconſtante à iamais, A cét effet luy ſeul demeuré pour oſtage Nous aſſeure du calme en ce prochain voyage, Et promettant de plus vn temps paiſible & doux, Sire, nous fait icy prendre congé de vous.	Mais l'aimable Zéphir qui parle de la paix Des vents auecque l'onde inconstante à jamais, À cet effet lui seul demeuré pour ôtage Nous assure du calme en ce prochain age, Et promettant de plus un temps paisible et doux, Sire, nous fait ici prendre congé de vous.
LE ROY.	LE ROY.
Allez, braues Seigneurs, comme ie le deſire, Que de tranquiles flots portent voſtre Nauire, Vous Amis à mon lieu, puis que mon triſte ſort Ne me le permet pas, conduiſez-les au port.	Allez, braves Seigneurs, comme il le désire, Que de tranquillees flots portent votre Navire, Vous Amis à mon lieu, puis que mon triste sort Ne me le permet pas, conduisez-les au port.
CLARINDOR.	CLARINDOR.
Sire, ie feray tant qu’vne magnificence Fera paréſtre aſſez quelle eſt voſtre puiſſance, et que ces eſtrangers ſçauront malgré le dueil Qu'encores nous ſçauons leur faire vn bon accueil.	Sire, Seigneur ferai tant qu'une magnificence Fera paraître assez quelle est votre puissance, et que ces étrangers sauront malgré le deuil Qu'encore nous savons leur faire un bon accueil.
ACTE TROISTESME.	ACTE -THROISTESME.
SCENE I.	SCÈNE I.
FLORILAME, VRANIE, veſtus en Bergers.	FLORILAME, VRANIE, vêtus en Bergers.
FLORILAME.	FLORILAME.
Onſidere ces lieux, & regarde mon Ange Sous ces habillemens où noſtre.	Onsidère ces lieux, et regarde mon Ange Sous ces habillements où notre.
Amour ſe renge?	Amour se renge?
Qu’il eſt peu ſoucieux de la pompe des Roys, Et que l’on eſt heureux de viure ſous ſes loix.	Qu'il est peu soucieux de la pompe des Rois, Et que l'on est heureux de vivre sous ses lois.
Ces ruſtiques habits n'ont rien qui ſoit nuiſible.	Ces rustiques habits n'ont rien qui soit nuisible.
Meſme vn enfant nous ſert d’vn ſecours inuiſibte.	Même un enfant nous sert d'un secours inuisibte.
Mon Dieu que tes appas paréſſent innocens, Et que tes raretez entretiennent mes ſens.	Mon Dieu que tes appas paréssent innocents, Et que tes rareté entretiennent mes sens.
Enfin mon beau Soleil, nous n’auons plus à craindre, Et noſtre paſſion ne ſe doit plus contraindre:	Enfin mon beau Soleil, nous n'avons plus à craindre, Et notre passion ne se doit plus contraindre:
Car pour nous ſoulager en ce lieu deſerté Amour fait vn accord auec la liberté.	Car pour nous soulager en ce lieu déserté Amour fait un accord avec la liberté.
Le zephir de ſa part va conter à ſes roſes L’agreable ſujet de nos metamorphoſes, Les plaiſirs de ces lieux vont eſtre tes ſujets, Tu vas ſeruir d’objet à tous ces beaux objets:	Le zephyr de sa part va conter à ses roses L'agréable sujet de nos métamorphoses, Les plaisirs de ces lieux vont être tes sujets, Tu vas servir d'objet à tous ces beaux objets:
Voy que t’ayant baiſé les vents prennent licence nolocentretem antien ue sandijjance;	Vois que t'ayant baisé les vents prennent licence nolocentrem antien ue sandijjance;
Ils prennent te voyant vn peu plus de vigueur, Et leur force s’accroiſt,	Ils prennent te voyant un peu plus de vigueur, Et leur force s'accroît,
Où bien ie te diray, VRANIE.	Où bien ie te dirai, VRANIE.
2 n'acheue pas mocqueur.	2 n'achève pas moqueur.
FLORILAME.	FLORILAME.
quelque honorable iniure.	quelque honorable injure.
VRANIE.	VRANIE.
Non pas, mais ſeulement que tu deuiens pariure, Que tu ne ſembles pas vn gardeur de brebis, Et que tes ſens ſont feints ainſi que tes habits:	Non pas, mais seulement que tu deviens parjure, Que tu ne sembles pas un gardeur de brebis, Et que tes sens sont feints ainsi que tes habits:
Comme vne homme des champs ton humeur aſſortie Sans fard doit auec eux garder la ſimpathie, Comme ce païſage en ſa naïueté Retient bien peu de feinte & beaucoup de beauté.	Comme une homme des champs ton humeur assortie Sans fard doit avec eux garder la sympathie, Comme ce paysage en sa naïveté Retient bien peu de feinte et beaucoup de beauté.
FLORILAME.	FLORILAME.
Pour ſuiure ton auis, Bergere incomparable, Il me faudroit commettre vn crime irreparable?	Pour suivre ton avis, Bergère incomparable, Il me faudrait commettre un crime irréparable?
Car eſcoute ce vent, ſi i’en faiſois autant Il faudroit comme luy que ie fuſſe inconſtant, Il faudroit en voyant ce rocher infertile Que ie deuinſſe ainſi lourd, peſant, immobille, Et ſi la conſequence eſtoit bonne en cela, Comme ce ruiſſeau fuit, ie te laiſſerois là.	Car écoute ce vent, si j'en faisais autant Il faudrait comme même que ie fusse inconstant, Il faudrait en voyant ce rocher infertile Que ie devinsse ainsi lourd, pesant, immobille, Et si la conséquence était bonne en cela, Comme ce ruisseau fuit, sans te laisserais là.
VRANTE.	VRANTE.
Mes argumens ſont vains ie te le certifie, Mais quel but doit auoir cette Philoſophie?	Mes arguments sont vains ie te le certifie, Mais quel but doit avoir cette Philosophie?
TLCRIEANMES Que tout mal deſirant de ſe voir appaiſé, Ie ne me plaindray plus quand tu m’auras baiſé.	TLCRIEANMES Que tout mal désirant de se voir apaisé, Je ne me plaindrai plus quand tu m'auras baisé.
VRANIE.	VRANIE.
Mais quoy!	Mais quoi!
d'où viendroit donc celuy qui te poſſede, Qui ſouſpire touſiours apres quelque remede?	d'où viendrait donc celui qui te possède, Qui soupire toujours après quelque remède?
a da de l d l lde, 13 En voicy la raiſon, c’eſt que tes doux attraits Au lieu de me guarir me bleſſent de leurs traits:	a da de lèd e, 13 En voici la raison, c'est que tes doux attraits Au lieu de me garir me blessent de leurs traits:
Mais pourquoy rougis-tu?	Mais pourquoi rougis-tu?
VRANIE.	VRANIE.
ne ſçais-tu pas encore Qu'en voyant le Soleil on voit rougir l’Aurore?	ne sais-tu pas encore Qu'en voyant le Soleil on voit rougir l'Aurore?
Ioint que mes yeux confus voyant ces veſtemens Penſent eſtre ſurpris par des enchantemens;	Joint que mes yeux confus voyant ces vêtements Pensent être surpris par des enchantements;
Et pour ne mentir point permets que ie te die Qu'auecque tei naouie penje qire entaidie.	Et pour ne mentir point permets que Rome te die Qu'avec tei nouvie pénie qire entaidie.
FLORILAME.	FLORILAME.
Au contraire mon tout, ce viſage ſans fard Monſtre que la nature icy ſurmonte l’Art:	Au contraire mon tout, ce visage sans fard Monstre que la nature ici surmonte l'Art:
Et pour te faire voir que ie ſuis veritable, Où ie te feray voir ſur vn miroir flottant La diuine beauté que tu vas regrettant;	Et pour te faire voir que on suis véritable, Où ie te ferai voir sur un miroir flottant La divine beauté que tu vas regrettant;
Mais ſi tu ne me veux mettre en la ſepulture Approchant de cette eau, n'en prens pas la nature.	Mais si tu ne me veux mettre en la sépulture Approchant de cette eau, n'en prends pas la nature.
VRANIE.	VRANIE.
Si cela m’ariuoit ie durerois bien peu, Car la glace ſe fond eſtant aupres du feu;	Si cela m'ariuait ie durerais bien peu, Car la glace se fond étant auprès du feu;
Euſſe-ie creu iamais ſans eſtre menſongere Receler tant d’attraits ſous l’habit de Bergere?	Eusse-je cru jamais sans être mensongère Receler tant d'attraits sous l'habit de Bergère?
Paſteur (car tu veux bien que ie te nomme ainſi) Ces fleurs ſemblent nous dire aſſoyez vous icy?	Pasteur (car tu veux bien que Seigneur te nomme ainsi) Ces fleurs semblent nous dire assoyez vous ici?
Oy ce gay Roſſignol comme il met en pratique Les plus iolis fredons de ſa douce muſique, Oy comme ces rameaux animez de ſes ſons Dancent mignardement à l’air de ſes chanſons;	Oi ce gai Rossignol comme il met en pratique Les plus jolis frédons de sa douce musique, Oi comme ces rameaux animés de ses sons Dancent mignardement à l'air de ses chansons;
Ces muguets pour montrer qu'ils aymerent la dance, Entendant ces accens ſe meuuent en cadence, Le Zephir tout ioyeux au ſortir de ces bois Fait parler ces roſeaux & leur donne la voix.	Ces muguets pour montrer qu'ils aimèrent la dance, Entendant ces accents se meuvent en cadence, Lé Zéphyr tout joyeux au sortir de ces bois Fait parler ces roseaux et leur donne la voix.
FLORILAME.	FLORILAME.
C'eſt qu’eſtant en ces lieux quelque objet que l’on voye A fin de i'agreer ne reſſent que la ioye.	C'est qu'étant en ces lieux quelque objet que l'on voie A fin de j'agréer ne ressent que la joie.
VRANIE.	VRANIE.
Briſons là mon Paſteur, vn ſcrupule facheux Meſle quelque amertume au plaiſir de mes feux, Non pas qu'vne froideur amortiſſe la flâme Qu'alluma dans mon ſein le Prince Florilame:	Brisons là mon Pasteur, un scrupule fâcheux Mêle quelque amertume au plaisir de mes feux, Non pas qu'une froideur amortisse la flamme Qu'alluma dans mon sein le Prince Florilme:
Mais ie crains que ſongeant à ta condition, (Ce qui ſeroit ſans doute à ma perdition) Parmy l’humilité de ce pays ruſtique Où la naïueté nous met tout en pratique, Vn ſouuenir faſcheux de ton luſtre natal N’esbranle ta conſtance & ne me ſoit fatal.	Mais ainsi crains que songeant à ta condition, (Ce qui serait sans doute à ma perdition) Parmi l'humilité de ce pays rustique Où la naïveté nous met tout en pratique, Un souvenir fâcheux de ton lustre natal N'ébranle ta constance et ne me soit fatal.
Helas!	Hélas!
que deuiendroit la Princeſſe Vranie, Quo iom eien uecompagnt a punt iu tompagnie, De penſer s’excuſer ſur vn foible roſeau Bien qu’il ſoit Dieu, l’amour eſt pourtant vn oyſeau.	que deviendrait la Princesse Vranie, Quo jom eien uompagnt a punt ju tompagnie, De penser s'excuser sur un faible roseau Bien qu'il soit Dieu, l'amour est pourtant un oiseau.
FLORILAME.	FLORILAME.
Merueille de la terre, & l’entretien des Anges, Laiſſe là s’il te plaiſt ces craintes trop eſtranges, Ton Amant changera ton objet glorieilx, Quand la Diuinité voudra quitter les Dieux, Alors que tu verras mon amitié perduë Cette roche ſera parmy l’air ſuſpenduë, Le ſilence croy moy dés l’heure parlera, L’eau ne ſera que feu, le bruit s’endormira:	Merveille de la terre, et l'entretien des Anges, Laisse là s'il te plaît ces craintes trop étranges, Ton Amant changera ton objet glorieilie, Quand la Divinité voudra quitter les Dieux, Alors que tu verras mon amitié perdue Cette roche sera parmi l'air suspendue, Le silence crois moi dès l'heure a, L'eau ne sera que feu, le bruit s'endormira:
Diane ira chaſſer en la foreſt d’Erice, Auant que mon humeur s’attache à ce caprice, Ou tre qu’ayant mon cœur en ta poſſeſſinn Ie ne le puis donner ſans ta permiſſion.	Diane ira chasser en la forêt d'Erice, Avant que mon humeur s'attache à ce caprice, Ou tre qu'ayant mon cœur en ta possessinées Je ne le puis donner sans ta permission.
VRANIE.	VRANIE.
Mais pourtant mon eſprit ne peut perdre la crainte, Tant elle eſt dans mon ſens profondement emprainte;	Mais pourtant mon esprit ne peut perdre la crainte, Tant elle est dans mon sens profondément emprainte;
Il me ſemble de voir mon pere les matins Coniurer ma ruyne auecque les deſtins.	Il me semble de voir mon père les matins Conjurer ma ruine avec les destins.
FLORILAME.	FLORILAME.
Mon ame ne crains rien, dedans cette apparence, D’eſtre dans ce pays au ſein de l’aſſeurance, Ce Dieu de qui la voix nous fit venir icy Pourra facilement nous y garder auſſi:	Mon âme ne crains rien, dedans cette apparence, D'être dans ce pays au sein de l'assurance, Ce Dieu de qui la voix nous fit venir ici Pourra facilement nous y garder aussi:
Mais quel petit ſurſaut a ſurpris ta Roſette;	Mais quel petit sursaut a surpris ta Rosette;
VRANIE.	VRANIE.
c'eſt qu’vn Berger ſuruient ioüant de ſa muſette.	c'est qu'un Berger survient jouant de sa musette.
TLORILAME.	TLORILAME.
Comme l’on peut iuger, ce doit eſtre vn amant Qui vient conter aux bois ſon aymable tourment.	Comme l'on peut juger, ce doit être un amant Qui vient conter aux bois son aimable tourment.
VRANIE.	VRANIE.
Allons uoun enmontan, ue pem que ja preſence Ne trouble en ſes regrets l’amoureuſe licence.	Allons oun enmontan, ue pem que ja présence Ne trouble en ses regrets l'amoureuse licence.
SCENE II.	SCÈNE II.
PHILANDRE, DIANE.	PHILANDRE, DIANE.
PHILANDRE ſeul.	PHILANDRE seul.
Iſerable Philandre, à quoy te reſous-tu?	Isérable Philandre, à quoi te résous-tu?
Moù ſont ces beaux ſecrets que i'apprit la vertu,	Moù sont ces beaux secrets que j'apprit la vertu,
Ha!	Ha!
que i’apperçoy bien dans mon martire extreme Que moy-meſme ie veux me cacher à moy-meſme.	que j'aperçois bien dans mon martyre extrême Que moi-même je veux me cacher à moi-même.
Et qu’ayant egaré mes ſentimens plus forts Le deſeſpoir me ſuit comme l’ombre le corps;	Et qu'ayant égaré mes sentiments plus forts Le désespoir me suit comme l'ombre le corps;
Ces beaux lieux qu’autresfois ie treuuay ſi propices Au lieu de belles fleurs m’offrent des precipices, Le Zephir me déchire, & les concerts charmans De ces petits oyſeaux me ſont des heurlemens, Ce Boccage ſacré ſous ces berceaux tous ſombres Me fait prẽdre à to' coups des Nymphes pour des omIe croy que le Soleil eſt au fonds d’vn cercueil, (bres.	Ces beaux lieux qu'autresfoisfois trouvai si propices Au lieu de belles fleurs m'offrent des précipices, Lé Zéphir me déchire, et les concerts charmants De ces petits oiseaux me sont des heurlements, Ce Boccage sacré sous ces berceaux tous sombres Me fait prendre à to coups des Nymphes pour des omIe crois que le Soleil est au fonds d'un cercueil, (bres.
Et que ſa ſœur en porte vn veſtement de dueil.	Et que sa sœur en porte un vêtement de deuil.
Helas!	Hélas!
Philandre, helas!	Philandre, hélas!
que ta raiſon confuſe Te cauſe de tourments depuis qu’vn œil t’abuſe, Voy que ſur ces couſtaux tes moutons languiſans Seruent de nourriture à des loups rauiſſants, Voy que le plus ſouuent quand tu les meines paiſtre Ils appaiſent leur ſoifdes larmes de leur maiſtre?	que ta raison confuse Te cause de tourments depuis qu'un œil t'abuse, Vo que sur ces coûtaux tes moutons languisants Servent de nourriture à des loups ravissants, Vois que le plus souvent quand tu les mines paître Ils appaisent leur soides larmes de leur maître?
Et que dans ta triſteſſe hors de comparaiſon Ils s’egarent de toy comme fait la raiſon.	Et que dans ta tristesse hors de comparaison Ils s'égarent de toi comme fait la raison.
Puiſque dans ton amour qu’on eſtime profane Il ne t’en reſte plus que pour ſeruir Diane, Celle qui par l’effort d’vn trop de cruauté, Me cauſe autant de mal comme elle a de beauté:	Puisque dans ton amour qu'on estime profane Il ne t'en reste plus que pour servir Diane, Celle qui par l'effort d'un trop de cruauté, Me cause autant de mal comme elle a de beauté:
