NCTEVRS.	NCTEURS.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DOROTHE’E.	DOROTHÉÉE.
CHRISTINE.	CHRISTINE.
DOROTHE’E.	DOROTHÉÉE.
L Haſſe loin de ton cœur ces foibleſſes de ſemme, Et crain moins pour mon corps que non pas pour ton ame.	 Lasse loin de ton cœur ces faiblesses de semme, Et crain moins pour mon corps que non pas pour ton âme.
Taſche de la ſauuer, fais y tous tes efforts.	Tâche de la sauver, fais y tous tes efforts.
Pour elle à cent bourreaux ie liurerois ce corps, Mais ſans qu’à pas vn d’eux maintenant ie le liure, Il eſt en ton pouuoir de la fairę reuiure.	Pour elle à cent bourreaux était livrerais ce corps, Mais sans qu'à pas un d'eux maintenant ie le livre, Il est en ton pouvoir de la fairę revivre.
Ton ſalut ne dépend que de ta volonté.	Ton salut ne dépend que de ta volonté.
Dieu ne t’a point encor manqué de ſon coſté, Par vn profond ſecret de ſa haute ſageſſe, Jl t’a voulu ſauuer par ta propre foibleſſe,	Dieu ne t'a point encor manqué de son côté, Par fond secret de sa haute sagesse, Jl t'a voulu sauver par ta propre faiblesse,
Eſclai Eſclairer ton eſprit par mille obſcuritez, Enfin par tes erreurs t’ouurir ſes veriteZ.	Éclair Esclairer ton esprit par mille obscurités, Enfin par tes erreurs t'ouvrir ses vérité.
Tes troubles, tes soubtons, tes peurs, ta ialouſie, La rage dont ta ſœur s’eſt trouuée ſaifie, L’auengle paſſion qu’ont pour vous vos amans, Mon accuſation, ma priſe, mes tourmens, La Boëtte que te rend l’heureux Athemodore, Ce rauiſſant portrait de l’amant que i’adore, Ce ſont moins les effets du hazard que de Dieu, Qui par là dans ton cœur cherche à ſe faire lieu;	Tes troubles, tes soubtons, tes peurs, ta jalousie, La rage dont ta sœur s'est trouvée saisie, L'avengle passion qu'ont pour vous vos amants, Mon accusation, ma prise, mes tourments, La Boîte que te rend l'heureux Athémodore, Ce ravissant portrait de l'amant que j'adore, Ce sont moins les effets du hasard que de Dieu, Qui par là dans ton cœur cherche à se faire lieu;
Et qui veut à ta gloire auiourd’huy te conduire Par les meſmes moyens qui ſembloient la deſtruire.	Et qui veut à ta gloire aujourd'hui te conduire Par les mêmes moyens qui semblaient la détruire.
Ne mets donc plus d’obſtacle à ton propre bonheur, Penſant mettre à couuert ma vie & mon honneur.	Ne mets donc plus d'obstacle à ton propre bonheur, Pensant mettre à couvert ma vie et mon honneur.
Cnaſſe toin de ton cœur ces poipteſſes de femme.	Cnasse toin de ton cœur ces poiptesses de femme.
Et crain moins pour mon corps que non pas pour ton ame.	Et crain moins pour mon corps que non pas pour ton âme.
ISTINE.	ISTINE.
Le ſalut de mon ame & céluy de ton corps Sont deſormais vnis par d’eternels reſſorts, Et dans vne amitié pure comme la noſtre, Ils ſont abſolument d’ependans l’vn de l’autre.	Le salut de mon âme et clui de ton corps Sont désormais unis par d'éternels ressorts, Et dans quelque amitié pure comme la vôtre, Ils sont absolument d'épendants l'un de l'autre.
Deſabuze toy donc & ne tey trompe pas, C’eſt aimer mon ſalut de haïr ton trepas.	Désabuze toi donc et ne tei trompe pas, C'est aimer mon salut de haïr ton trépas.
Mes craintes ne ſont point des foibleſſes de femme;	Mes craintes ne sont point des faiblesses de femme;
Prenant ſoin de ton corps, ie prens ſoins de mon ame.	Prenant soin de ton corps, tu prends soins de mon âme.
L’amour & l'amitié combatent dans mon cœur, Pour y ioindre l’amant où l’amie à la ſœur;	L'amour et l'amitié combattent dans mon cœur, Pour y joindre l'amant où l'amie à la sœur;
Pour vuider pleinement leurs communes querelles, Il faut que la raiſon ſe declare pour elles.	Pour vider pleinement leurs communes querelles, Il faut que la raison se déclare pour elles.
mtais belas!	mtais bêlas!
le moyen d'eſcouter la raiſon Dans le trouble où me met ta mort ou ta priſon?	le moyen d'écouter la raison Dans le trouble où me met ta mort ou ta prison?
Non non, ie ne ſçaurois, trop courageuſe Amie, Que ma ſœur ne nous puiſſe aſſeurer de ta vie.	Non non, Seigneur ne saurais, trop courageuse Amie, Que ma sœur ne nous puisse assurer de ta vie.
Souffre donc que ie paſſe à ſon appartement Pour ſçauoir le ſuiet de ſon retardement.	Souffre donc que je passe à son appartement Pour savoir le sujet de son retardement.
ne lee lllnns Fais ce que tu voudras.	ne lee lllns Fais ce que tu voudras.
CHRISTINE.	CHRISTINE.
Ie ne te fais attendre;	Je ne te fais attendre;
Qu’autant de temps qu’il faut pour le pouuoir aprendre;	Qu'autant de temps qu'il faut pour le pouvoir apprendre;
Apres quoy ie reuiens pour aprendre de toy Ce que t’ont fait ſouffrir mes ſoubçons & ia foy.	Après quoi je reviens pour apprendre de toi Ce que t'ont fait souffrir mes soubçons et ja foi.
E e Ir.	E E Er.
DOROTHE’E ſeule.	DOROTHÉÉP seule.
Velle eſtrange foibleſſe & quelle erreur 2 extréme, De craindre pour vn autre & non pas pour ſoy meſme!	Velle étrange faiblesse et quelle erreur 2 extrême, De craindre pour un autre et non pas pour soi -même!
De craindre comme vn mal ce qui fait tout mon bien, Et pour ſon propre mal de n'apprehender rien!	De craindre comme un mal ce qui fait tout mon bien, Et pour son propre mal de n'appréhender rien!
En vn mot (Mais helas!	En un mot (Mais hélas!
qui m’eſt inconceuable) De craindre mon trepas ſi court, ſi peu durable, Mais auec vn excez iniuſte & criminel, Et de ne craindre pas ſon trepas eternel!	qui m'est inconcable) De craindre mon trépas si court, si peu durable, Mais avec un excès injuste et criminel, Et de ne craindre pas son trépas éternel!
O fatale Amitié!	Ô fatale Amitié!
Faut-il que tu ne formes Que d’impuiſſans deſſeins où des deſſeins enormes?	Faut-il que tu ne formes Que d'impuissants desseins où des desseins énormes?
Que	Que
Que tu la faces perdre en me voulant ſauuer, Et ne nous puiſſe pas toutes deux conferuer?	Que tu la faces perdre en me voulant sauver, Et ne nous puisse pas toutes deux conserver?
Faut-il que par vn coup auſſi cruel que rare, Au lieu de nous lier, ton beau nœud nous ſepare?	Faut-il que par un coup aussi cruel que rare, Au lieu de nous lier, ton beau nœud nous sépare?
Ou que pour les vnir vn peu trop fortemert, Tu diuiſes nos cœurs ſi malheureuſemen?	Ou que pour les unir un peu trop fortemert, Tu divises nos cœurs si malheureusement?
Non, il n’en ira pas ſans doute de la ſorte, Il faut que Dieu te rende ou plus iuſte ou plus forte;	Non, il n'en ira pas sans doute de la sorte, Il faut que Dieu te rende ou plus juste ou plus forte;
Qu'afin de ſurmonter ſa foibleſſe en ce iour, Ie n’apprehende point d'eſtre foible à mon tour;	Qu'afin de surmonter sa faiblesse en ce jour, Je n'appréhende point d'être faible à mon tour;
Que ie craigne ma mort pour empeſcher la ſienne Mille fois plus à craindre encore que la mienne;	Que mille craigne ma mort pour empêcher la sienne Mille fois plus à craindre encore que la mienne;
Qu'encore que ie veuïlle ardemment mon trepas, Pour diuertir le ſien, ie ne le veuïlle pas;	Qu'encore que personne veuille ardemment mon trépas, Pour divertir le sien, toujours ne le veuille pas;
Et qu’enfin pour la rendre & Chreſtienne & parfaite, Ie face vne action que ie n’ay iamais faite, Priant inſtamment Dieu contre mes ſentimens, De prolonger ma vie encor quelques momens.	Et qu'enfin pour la rendre et Chrétienne et parfaite, Je face une action que votre n'ai jamais faite, Priant instamment Dieu contre mes sentiments, De prolonger ma vie encor quelques moments.
Ouy, Mon Dieu, ie te fais cette inſtante priere.	Oui, Mon Dieu, Seigneur te fais cette instante prière.
Ie tiendrois mon martire à faueur ſinguliere, Si l’ombre de ma mort eſclairant ſon eſprit, L’Amitié te gaignoit celle qu'Amour te prit.	Je tiendrais mon martyre à faveur singulière, Si l'ombre de ma mort éclairant son esprit, L'Amitié te gagnait celle qu'Amour te prit.
Mais à moins de cela, mas ſans ce beau miracle, Mais ſi cette amitié doit-y ſeruir d’obſtacle, Ha!	Mais à moins de cela, mas sans ce beau miracle, Mais si cette amitié doit-y servir d'obstacle, Ha!
conſen, ô Seigneur, au dernier de mes vœux, Dujjvrs montrepas que ie crains, que ie veux, Que par des mouuemens que ton amour m’inſpire, Et tantoſt i’apprehende & tantoſt ie deſire.	consens, ô Seigneur, au dernier de mes vœux, Dujjvrs montrez que ie crains, que tu veux, Que par des mouvements que ton amour m'inspire, Et tantôt j'appréhende et tantôt je désire.
Diuin diſpenſateur de la vie & du temps, Arbitre de mes iours, rend mes deſirscontens.	Divin dispensateur de la vie et du temps, Arbitre de mes jours, rend mes desirscontens.
Eſcome ma priere, approuue mon enuie, Retarde vn peu ma mort pour auancer ſa vie, Acheue ſon ſalut par ce retardement, A qui i’auois deſia donné commencement.	Écome ma prière, approuve mon envie, Retarde un peu ma mort pour avancer sa vie, Achève son salut par ce retardement, À qui j'avais déjà donné commencement.
* Elle vient, elle eſt gaye, ô Dieu ie te rend graces !	* Elle vient, elle est gaie, ô Dieu Rome te rend grâces !
Ie le lis ſur ſon front, mes vœux ſont efficaces.	Je le lis sur son front, mes vœux sont efficaces.
SCENE III.	SCÈNE III.
CHRISTINE.	CHRISTINE.
DOROTHE’E.	DOROTHÉÉE.
CHRISTINE.	CHRISTINE.
Ourage, chere Amie, enfin tout va tres-bien, CEt mon eſprit craintif ne craint preſque plus rien.	Ourage, chère Amie, enfin tout va très-bien, CEt mon esprit craintif ne craint presque plus rien.
Theophile & ma ſœur l’emportent ſur Aprice, L’amour & l’amitié ſurmontent ſon caprice, Et quoy que les Edits du barbare Empereur, Son zelle pour les Dieux, ſa fierté, ſa fureur, Et ſur tout la croyance où ſans doute eſt ſon ame, Que tu t’oppoſes moins à ſes Dieux qu'à ſa flame, Rendiſſent ſon ſalut preſque deſeſperé, Et l’Amante & l’ami te l'ont preſque aſſeuré;	Théophile et ma sœur l'emportent sur Aprice, L'amour et l'amitié surmontent son caprice, Et quoi que les Édits du barbare Empereur, Son zèle pour les Dieux, sa fierté, sa fureur, Et sur tout la croyance où sans doute est son âme, Que tu t'opposes moins à ses Dieux qu'à sa flamme, Rendissent son salut presque désespéré, Et l'Amante et l'ami te l'ont presque assuré;
Ou du moins ils l’ont mis aux termes qu'il doit eſtre, Pour me donner le temps de me bien reconnoiſtre, Et pour donner enſemble à mon timide cœur, La force de combatre & vaincre ſon vainqueur.	Ou du moins ils l'ont mis aux termes qu'il doit être, Pour me donner le temps de me bien reconnaître, Et pour donner ensemble à mon timide cœur, La force de combattre et vaincre son vainqueur.
L’Amoureux Gouuerneur a promis à Caliſte, Que quoy que dans ta mort tout ſon bonheur conſiſte, Il n’attentera pas de te donner la mort, Qu'elle Qu'elle n'ait contre toy fait ſon dernier effort.	L'Amoureux Gouverneur a promis à Caliste, Que quoi que dans ta mort tout son bonheur consiste, Il n'attentera pas de te donner la mort, Qu'elle Qu'elle n'ait contre toi fait son dernier effort.
Jls ſom ſortis enſemble apres cette promeſſe, Et voulans moderer ma profonde triſteſſe, Vn homme du Prefet auoit commandement De me donner aduis de cet euenement;	Ils som sortis ensemble après cette promesse, Et voulants modérer ma profonde tristesse, Un homme du Préfet avait commandement De me donner avis de cet événement;
Mais n’imaginant pas l’affaire fort preſſante, Il auoit dilayé iuſqu’à l’heure preſente, Où ie puis eſcouter auec tranquilité Ta priſe, tes tourmens & ta fidelité.	Mais n'imaginant pas l'affaire fort pressante, Il avait dilayé jusqu'à l'heure présente, Où ie puis écouter avec tranquillité Ta prise, tes tourments et ta fidélité.
Fay m’en donc, ie t’en prie, Amie incomparable, Vne relation exacte & veritable.	Fais m'en donc, ie t'en prie, Amie incomparable, relation exacte et véritable.
DOROTHEE.	DOROTHÉE.
Ie le veux & de plus par ma relation Ie pretends trauailler à ta conuerſion;	Je le veux et de plus par ma relation Je prétends travailler à ta conversion;
Et te faire adorer l’aimable Prouidence;	Et te faire adorer l'aimable Providence;
Qui veut que ton ſalut par tes erreurs s’auance.	Qui veut que ton salut par tes erreurs s'avance.
Tu ſçais, que des le iour du fatal changement, Qui vous fit quitter Dieu pour gagner vn amant, Ie tentay pluſieurs fois de vous faire connoiſtre L’effroyable danger où vous alliez vous mettre.	Tu sais, que des le jour du fatal changement, Qui vous fit quitter Dieu pour gagner un amant, Je tentai plusieurs fois de vous faire connaître L'effroyable danger où vous alliez vous mettre.
Mais ton imperieuſe & violente ſœur Me ferma ſon oreille auſſi bien que ſon cœur, Et d’amour & de haine également outrée, Me fit de ce Palais interdire l’entrée.	Mais ton impérieuse et violente sœur Me ferma son oreille aussi bien que son cœur, Et d'amour et de haine également outrée, Me fit de ce Palais interdire l'entrée.
Ie ſouffris, ie l’auoüe, alors de grands combats, Mais de ce traitement ne me rebutant pas, Et le Ciel m’aſſiſtant d'vne grace tres forte, Ie connus qu'il faloit en vzer d’autre ſorte;	Je souffris, Seigneur l'avoue, alors de grands combats, Mais de ce traitement ne me rebutant pas, Et le Ciel m'assistant d'une grâce très forte, Je connus qu'il fallait en zer d'autre sorte;
Et que dans ces combats que ie liurois pour Dieu, Le ſtratageme encor pourroit bien auoir lieu.	Et que dans ces combats que ici livrais pour Dieu, Le stratagème encor pourrait bien avoir lieu.
Uoulant donc attaquer ton eſprit plus docile, Dieu fit du confident de ton cher Tneophile,	OUoulant donc attaquer ton esprit plus docile, Dieu fit du confident de ton cher Tophile,
Sans que i’euſſe eſperé ni preueû ce honheur, L’amant paſſionné de ma fille d’honneur.	Sans que j'eusse esperé ni prévu ce honheur, L'amant passionné de ma fille d'honneur.
Dez que ie l’eus appris, i ourdis mon ſtratageme;	Dez que ici l'eus appris, j' ourdis mon stratagème;
Luy fis parler du Ciel, du Sauueur, du Bapteſme;	Lui fis parler du Ciel, du Sauveur, du Baptême;
Et cette fille agit auecque tant d’eſprit, Que du ſien, elle en fit l’ami de leſus-Chriſt.	Et cette fille agit auecque tant d'esprit, Que du sien, elle en fit l'ami de lesus-Christ.
S’eſtant rendu Chreſtien, mais feruent, mais fidelle, Et changeant ſon amour en vn loüable zelle?	S'étant rendu Chrétien, mais fervent, mais fidèle, Et changeant son amour en un louable zèle?
Il s’offre à me ſeruir dans le iuſte deſſein De t’arracher les Dieux ou les Demons du ſein.	Il s'offre à me servir dans le juste dessein De t'arracher les Dieux ou les Demons du sein.
Mais comme nous taſchons d’auancer cet ouurage, Ton eſprit amoureux en tire de l’ombrage;	Mais comme nous tâchons d'avancer cet ouvrage, Ton esprit amoureux en tire de l'ombrage;
Et deuenant ialoux auec quelque raîſon, Quand ie veux te ſauuer il cauſe ma priſon.	Et devenant jaloux auec quelque raîson, Quand Je veux te sauver il cause ma prison.
Car t’ayant enuoyé ce braue Athemodore Auecque le portrait du Sauueur que i’adore, Dant le meſme moment qu’il va te le porter, De la part de ton maiſtre on me vient arreſter, Osponermvintenend, ton ame eſt détrompée, Toute ta ialouſie eſt alors diſſipée.	Car t'ayant envoyé ce brave Athémodore Avec le portrait du Sauveur que j'adore, Dant le même moment qu'il va te le porter, De la part de ton maître on me vient arrêter, Osponermvintenend, ton âme est détrompée, Toute ta jalousie est alors dissipée.
Ta ſœur s’y rend ſenſible & ſauue par pitié Cet obiet de ſa haine & de ton amitié.	Ta sœur s'y rend sensible et sauve par pitié Cet objet de sa haine et de ton amitié.
CHRISTINE.	CHRISTINE.
O Dieu!	Ô Dieu!
quelles erreurs, trop genereuſe Amie!	quelles erreurs, trop généreuse Amie!
Quand tu nous veux ſauuer nous attaquons ta vie;	Quand tu nous veux sauver nous attaquons ta vie;
Et quand nous l’auons miſe en eminent danger, Nous voudrions bien alors l’en pouuoir dégager.	Et quand nous l'avons mise en éminent danger, Nous voudrions bien alors l'en pouvoir dégager.
Quel terme, qu’elle fin à ces erreurs eſtranges?	Quel terme, qu'elle fin à ces erreurs étranges?
DOROTHE’E.	DOROTHÉÉE.
Nul, ſi tu ne me crois.	Nul, si tu ne me crois.
Nulle, ſi tu ne changes;	Nulle, si tu ne changes;
Et que par ces erreurs ouurant enfin les yeux, Pour reuenir à Dieu tu ne quittes les Dieux.	Et que par ces erreurs ouvrant enfin les yeux, Pour revenir à Dieu tu ne quittes les Dieux.
Quitte	Quitte
ACTE IROTSIESME.	ACTE IROTSIESME.
Quitte les donc ces Dieux, ces ſpectres, ces Idoles, Ces Demons déguiſez ſous des titres friuoles;	Quitte les donc ces Dieux, ces spectres, ces Idoles, Ces Demons déguisez sous des titres frivoles;
Et reuien vers le Dieu dont l’extréme bonté Eſclaire ton eſprit, eſmeut ta volonté, Excite dans ton cœur, allume dans ton ame Par ton feu criminel ſa belle & ſainte flame;	Et revien vers le Dieu dont l'extrême bonté Esclaire ton esprit, émut ta volonté, Excite dans ton cœur, allume dans ton âme Par ton âme criminel sa belle et sainte flamme;
