A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
ſtre Conſeruez-vous, Seigneur, luy conſeruant vn maiSous qui ſon vray bon-heur commẽce de renaiEt maignez aieuter le bien comtnun de tous ſtres Laiſſant vn ſucceſſeur qui ſoit digne de vous.	stre Conservez-vous, Seigneur, lui conservant un maiSous qui son vrai bonheur commence de renaiEt aignés aieuter le bien comtnun de tous stres Laissant un successeur qui soit digne de vous.
AVGVSTE.	AUGUSTE.
N’en deliberons plus, cette pitié l’emporte, Mon repos m’eſt bien cher, mais Rome eſt la plus forte, Et quelque grand malheur qui m’en puiſſe arriuer, Ie conſens à me perdre afin de la ſauuer.	N'en délibérons plus, cette pitié l'emporte, Mon repos m'est bien cher, mais Rome est la plus forte, Et quelque grand malheur qui m'en puisse arriver, Je consens à me perdre afin de la sauver.
Pour ma tranquillité mon cœur en vain ſoûpire, Cinna, par vos conſeils ie retiendray l’Empire, Mais ie le retiendray pour vous en faire part.	Pour ma tranquillité mon cœur en vain soupire, Cinna, par vos conseils ie retiendrai l'Empire, Mais ie le retiendrai pour vous en faire part.
Ie ſçay bien que vos cœurs n’ont point pour moy de fard, Et que chacun de vous dans l’aduis qu’il me donne Regarde ſeulement l’Eſtat & ma perſonne, Voſtre amour pour tous deux fait ce combat d’eſprits, Et ie veux que chacun en reçoiue le prix.	Je sais bien que vos cœurs n'ont point pour moi de fard, Et que chacun de vous dans l'avis qu'il me donne Regarde seulement l'État et ma personne, Votre amour pour tous deux fait ce combat d'esprits, Et ie veux que chacun en reçoive le prix.
Maxime, ie vous fais Gouuerneur de Sicile, Allez donner mes loix à ce terroir fertile, Songez que c’eſt pour moy que vous gouuernerez, Et que ie répondray de ce que vous ferez.	Maxime, je vous fais Gouverneur de Sicile, Allez donner mes lois à ce terroir fertile, Songez que c'est pour moi que vous gouvernerez, Et que ie répondray de ce que vous ferez.
Pour eſpouſe, Cinna, ie vous donne Æmilie, Vous ſçauez qu’elle tient la place de lulie, Et que ſi nos malheurs & la neceſſité M’ont fait traiter ſon pere auec ſeuerité, Mon Eſpargne depuis en ſa faueur ouuerte Doit auoir adoucy l’aigreur de cette perte;	Pour épouse, Cina, je vous donne Émilie, Vous savez qu'elle tient la place de lulie, Et que si nos malheurs et la nécessité M'ont fait traiter son père avec sévérité, Mon Épargne depuis en sa faveur ouuerte Doit avoir adouci l'aigreur de cette perte;
Voyez-la de ma part, tachez de la gagner, Vous n’eſtes pas pour elle vn homme à dédaigner, Ie preſume pluſtoſt qu’elle en ſera rauie, Adieu, i’en vay porter la nouuelle à Liuie.	Voyez-la de ma part, tachez de la gagner, Vous n'êtes pas pour elle un homme à dédaigner, Je présume plutôt qu'elle en sera ravie, Adieu, j'en vais porter la nouvelle à Livie.
SCENE II.	SCÈNE II.
CINNA, MAXIME.	CINNA, MAXIME.
CINNA.	CINNA.
Le meſme que i’auois, & que i’auray touſiours.	Le même que j'avais, et que j'aurai toujours.
MAXIME.	MAXIME.
vn Chef de coniurez hatte la ey tahnie!	Ah Chef de conjurés hatte la vis tahnie!
CINNA.	CINNA.
enenerue comdrez la veut von impume!	enenerve comdrez la veut von impume!
MAXIME.	MAXIME.
Ie veux voir Rome libre.	Je veux voir Rome libre.
CINNA.	CINNA.
Et vous pouuez iuger Que ie veux l’affranchir enſemble & la venger.	Et vous pouvez juger Que ie veux l'affranchir ensemble et la venger.
Auguſte aura ſaoulé ſes damnables enuies, Pillé iuſqu’aux autels, ſacrifié nos vies Remply les champs d’horreur, comblé Rome de morts, Et ſera quitte apres pour l’effet d’vn remords!	Auguste aura saoulé ses damnables envies, Pillé jusqu'aux autels, sacrifié nos vies Rempli les champs d'horreur, comblé Rome de morts, Et sera quitte après pour l'effet d'un remords!
Quand le Ciel par nos mains à le punir s’apreſte, Vn lâche repentir garantira ſa teſtel Ceſt trop ſemer d’apas, & c’eſt trop inuitet Par lod mipunſte quelqu'autre a limiter, Vengeons nos citoyens, & que ſa peine eſtonne Quiconque apres ſa mort aſpire à la Couronne, Que le peuple aux tyrans ne ſoit plus expoſé, S’il euſt puny Sylla, Céſar euſt moins oſé.	Quand le Ciel par nos mains à le punir s'apprête, Un lâche repentir garantira sa têtel Cest trop semer d'appas, et c'est trop inuitet Par lod modipunste quelque autre a limiter, Vengeons nos citoyens, et que sa peine étonne Quiconque après sa mort aspire à la Couronne, Que le peuple aux tyrans ne soit plus exposé, S'il eût puni Syla, César eût moins osé.
MAXIME.	MAXIME.
Meis la mort de Céſar que vous trouuez ſi iuſte A ſeruy A ſeruy de pretexte aux cruautez d’Auguſte, Voulant nous affranchir Brute s’eſt abuſé S’il n’euſt puny Ceſar, Auguſte euſt moins oſé	Meis la mort de César que vous trouvez si juste A servi A servi de prétexte aux cruautés d'Auguste, Voulant nous affranchir Brute s'est abusé S'il n'eût puni César, Auguste eût moins osé
CINNA.	CINNA.
La faute de Caſſie, & ſes terreurs Paniques Ont fait tomber l’Eſtat ſous des loix tyranniques, Mais nous ſle verrons pomt de parens ueerdens Lors que Rome ſuiura des Chefs moins imprudẽs.	La faute de Cassie, et ses terreurs Paniques Ont fait tomber l'État sous des lois tyranniques, Mais nous sle verrons pompt de parents ueerdens Lors que Rome suivra des Chefs moins impruds.
MAXIME.	MAXIME.
Nous ſommes encor loing de mettre en éuidence or nous nous conduirons auec plus de prudence, Cependant c’en eſt peu que de n’accepter pas Le bon-heur qu’on recherche au peril du trépas.	Nous sommes encor loing de mettre en évidence or nous nous conduirons beaucoup plus de prudence, Cependant c'en est peu que de n'accepter pas Le bonheur qu'on recherche au péril du trépas.
CINNA.	CINNA.
C’en eſt encor bien moins alors qu’on s’imagine Guerir vn mal ſi grand ſans couper la racine.	C'en est encor bien moins alors qu'on s'imagine Guérir un mal si grand sans couper la racine.
Employer la douceur à cette gueriſon, C’eſt en fermant la playe y verſer du poiſon.	Employer la douceur à cette guérison, C'est en fermant la plaie y verser du poison.
MAXIME.	MAXIME.
Vous la voulez ſanglante & la rendez douteuſe.	Vous la voulez sanglante et la rendez douteuse.
CINNA.	CINNA.
Vous la voulez ſans peine & la rendez honteuſe.	Vous la voulez sans peine et la rendez honteuse.
MAXIME.	MAXIME.
Pour ſortir de ſes fers iamais on ne rougit.	Pour sortir de ses fers jamais on ne rougit.
SINNA.	SINNA.
On en ſort lâchement ſi la vertu n’agit.	On en sort lâchement si la vertu n'agit.
MAXIME.	MAXIME.
Iamais la liberté ne ceſſe d’eſtre aymable, Et c’eſt touſiours pour Rome vn bien ineſtimable.	Jamais la liberté ne cesse d'être aimable, Et c'est toujours pour Rome un bien inestimable.
CINNA.	CINNA.
Ce ne peut eſtre vn bien qu’elle daigne eſtimer.	Ce ne peut être un bien qu'elle daigne estimer.
Quand il vient d’vne main laſſe de l’opprimer:	Quand il vient d'une main lasse de l'opprimer:
Elle a le cœur trop bon pour ſe voir auec ioye Le rebut du tyran dont elle fut la proye, Et tout ce que la gloire a de vrais partiſans Le haït trop puiſſamment pour aymer ſes preſens.	Elle a le cœur trop bon pour se voir avec joie Le rebut du tyran dont elle fut la proie, Et tout ce que la gloire a de vrais partisans Le hait trop puissamment pour aimer ses présents.
MAXA	MAXA
MAXIME.	MAXIME.
Donc pour vous Æmilie eſt vn obiet de hayne, Et cette recompenſe eſt pour vous vne peine?	Donc pour vous Emilie est un objet de haine, Et cette récompense est pour vous une peine?
CINNA.	CINNA.
Ouy, mais pour le brauer iuſque dans les Enfers Quand nous aurons vengé Rome des maux ſoufEt que pat ſon trépas ie l’auray meritée, (ferts, Ie veux ioindre à ſa main ma main enſanglantée, L’épouſer ſur ſa cendre, & qu’apres noſtre effort Lés preſens du tyran ſoient le prix de ſa mort.	Oui, mais pour le braver jusque dans les Enfers Quand nous aurons vengé Rome des maux souffEt que pat son trépas ion l'aurai méritée, (ferts, Je veux joindre à sa main ma main ensanglantée, L'épouser sur sa cendre, et qu'après nôtre effort Lés presens du tyran soient le prix de sa mort.
MAXIME.	MAXIME.
Muto Papparencejainy, que vous puriſſiez luy plaire Teint du ſang de celuy qu’elle ayme cõme vn pere, Car vous n’eſtes pas homme à la violenter?	Muto Paparencejaini, que vous purissiez ici plaire Teint du sang de celui qu'elle aime cõme un père, Car vous n'êtes pas homme à la violenter?
CINNA.	CINNA.
Amy dans ce Palais ont peut nous écouter, Et nous parlons peut-eſtre auec trop d’imprudence Dans vn lieu ſi mal propre à noſtre confidence.	Ami dans ce Palais ont peut nous écouter, Et nous parlons peut-être avec trop d'imprudence Dans un lieu si mal propre à notre confidence.
Sortons, qu’en ſeureté i’examine auec vous Pour en venir à bout les moyens les plus doux.	Sortons, qu'en sûreté j'examine avec vous Pour en venir à bout les moyens les plus doux.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MAXIME, EVPHORBE.	MAXIME, EUPHORBE.
MAXIME.	MAXIME.
uy-meſme il m’a tout dit, leur flame eſt mutuelle, Il adore Æmilie, il eſt adoré d’elle, Mais ſans venger ſon pere il n’y peut aſpirer, Et c’eſt pour l’acquerir qu’il nous fait conſpirer.	Oui-même il m'a tout dit, leur flamme est mutuelle, Il adore Æmilie, il est adoré elle, Mais sans venger son pere il y peut aspirer, Et est pour acquérir il nous fait conspirer.
EVPHOR	EUPHOR
EVPHORBE.	EUPHORBE.
Ie ne m’eſtonne plus de cette violence Dont il contraint Auguſte à garder ſa puiſſance, ba fiput le romproit s’il en eſtoit démis, Et tous vos coniurez deuiendroient ſes amis.	Je ne m'étonne plus de cette violence Dont il contraint Auguste à garder sa puissance, ba fiput le romprait s'il en était démis, Et tous vos conjurés deviendraient ses amis.
MAXIME.	MAXIME.
Ils ſeruent, abuſez, la paſſion d’vn homme Qui n’agit que pour ſoy feignãt d’agir pour Rome, Et moy par vn mal-heur qui n’eut iamais d’égal Ie penſe ſeruir Rome & ie ſers mon riual.	Ils servent, abusez, la passion d'un homme Qui n'agit que pour soi feignant d'agir pour Rome, Et moi par un malheur qui n'eût jamais d'égal Je pense servir Rome et un sers mon rival.
EVPHORBE.	EUPHORBE.
Vous eſtes ſon riual!	Vous êtes son rival!
MAXIME.	MAXIME.
Ouy, i’ayme ſa maiſtreſſe, Et l’ay caché touſiours auec aſſez d’adreſſe, Mon amour incognuë auant que d’éclater Par quelque grand exploit la vouloit meriter:	Oui, j'aime sa maîtresse, Et l'ai caché toujours avec assez d'adresse, Mon amour inconnue avant que d'éclater Par quelque grand exploit la voulait mériter:
Cependant par mes mains ie voy qu’il me l’enléue, Son deſſein fait ma perte, & c’eſt moy qui l’achéue, I’auance des ſuccez dont i’attens le trépas Et pour m’aſſaſſiner ie luy preſte mon bras.	Cependant par mes mains Dieux vois qu'il me l'enlève, Son dessein fait ma perte, et c'est moi qui l'achève, J'avance des succès dont j'attends le trépas Et pour m'assassiner m luy prête mon bras.
Que l’amitié me plonge en vn mal-heur extréme!	Que l'amitié me plonge en un malheur extrême!
EVPHORBE.	EUPHORBE.
L’iſſuë en eſt aiſée, agiſſez pour vous-meſme, D'vn deſſein qui vous perd rompez le coup fatal, Gaignez vne maiſtreſſe accuſant vn riual, Auguſte à qui par là vous ſauuerez la vie Ne vous poutra iamais refuſer Æmilie.	L'issue en est aisée, agissez pour vous-même, D'un dessein qui vous perd rompez le coup fatal, Gagnez une maîtresse accusant un rival, Auguste à qui par là vous sauverez la vie Ne vous poutra jamais refuser Æmilie?
MAXIME.	MAXIME.
Quoy, trahir mon amy!	Quoi, trahir mon ami!
EVPHORBE.	EUPHORBE.
L’amour rend tout permis, Vn veritable amant ne cognoiſt point d’amis, Et meſme auec iuſtice on peut trahir vn traiſtre Qui pour vne maiſtreſſe oſe trahit ſon maiſtre.	L'amour rend tout permis, Votre véritable amant ne connaît point d'amis, Et même toujours iustice on peut trahir un traître Qui pour une maîtresse ose trahit son maître.
Oubliez l’amitié comme luy les bien-faits.	Oubliez l'amitié comme lui es bienfaits.
MAXI	MAXI
MAXIME.	MAXIME.
Vn exemple à ralllif li autorile iamdise.	Un exemple à ralllif li autorile jamdise.
EVPHORBE.	EUPHORBE.
Sa faute contre luy vous rend tout legitime, On n’eſt point criminel quand on punit vn crime.	Sa faute contre Rome vous rend tout légitime, On n'est point criminel quand on punit un crime.
Reli illAiEo Vn crime par qui Rome obtient ſa liberté!	Reli illAiEo Un crime par qui Rome obtient sa liberté!
EVPHORBE.	EUPHORBE.
Craignez tout d’vn eſprit ſi plein de lâcheté, L’intereſt du pays n’eſt point ce qui l’engage, Le ſien, & non la gloire, anime ſon courage, Il aymeroit Céſar s’il n’eſtoit amoureux, Et n’eſt en fin qu’ingrat & non pas genereux.	Craignez tout d'enn esprit si plein de lâcheté, L'intérêt du pays n'est point ce qui l'engage, Le sien, et non la gloire, anime son courage, Il aimerait César s'il n'était amoureux, Et n'est en fin qu'ingrat et non pas généreux.
Penſez-vous auoir leu iuſqu’au fond de ſon ame?	Pensez-vous avoir lu jusqu'au fond de son âme?
Sous la cauſe publique il vous cachoit ſa flame, Et peut cacher encor ſous cette paſſion.	Sous la cause publique il vous cachait sa flamme, Et peut cacher encor sous cette passion.
Les deteſtables feux de ſon ambition.	Les détestables feux de son ambition.
Peut-eſtre qu’il pretend apres la mort d’Octaue Au lieu d’affranchir Rome en faire ſon eſclaue, Qu’il vous conte deſia pour vn de ſes ſuiets, Ou que ſur voſtre perte il fonde ſes proiets.	Peut-être qu'il prétend après la mort d'Octave Au lieu d'affranchir Rome en faire son esclave, Qu'il vous conte déjà pour un de ses sujets, Ou que sur votre perte il fonde ses prois.
MAXIME.	MAXIME.
Mais comment l’accuſer ſans nommer tout le reſte?	Mais comment l'accuser sans nommer tout le reste?
A tous nos coniurez l’aduis ſeroit funeſte, Et par là nous verrions indignement trahis Ceux qu’engage auec nous le ſeul bien du pays.	À tous nos conjurés l'avis serait funeste, Et par là nous verrions indignement trahis Ceux qu'engage après nous le seul bien du pays.
D’vn ſi lache deſſein mon ame eſt incapable, Il perd trop d’innocens pour punir vn coupable, I’oſe tout contre luy, mais ie crains tout pour eux.	D'un si lache dessein mon âme est incapable, Il perd trop d'innocents pour punir un coupable, J'ose tout contre mieux, mais ie ainsi tout pour eux.
EVPHORBE.	EUPHORBE.
Auguſte s’eſt laſſé d’eſtre ſi rigoureux, En ces occaſions ennuyé de ſupplices.	Auguste s'est lassé d'être si rigoureux, En ces occasions ennuyé de supplices.
Ayant puny les Chefs il pardonne aux complices;	Ayant puni les Chefs il pardonne aux complices;
Si toutefois pour eux vous craignez ſon couroux, Quand vous luy parlerez, parlez au nom de tous.	Si toutefois pour eux vous craignez son courroux, Quand vous lui parlerez, parlez au nom de tous.
