RRII I TRAGEDIE.	RRII I TRAGÉDIE.
e lux ecœcisplus rederuable, Et plus dex aux ſcrræ queie croy, Qu'eſtees Pyraleneſtre ben RoyPerſerus done de neſtrã prucelli Vne ſomce d'ende liruelle.	Je lux œcisplus redervable, Et plus dex aux scræ queie crois, Qu'êtes Pyralenêtre ben RoyPerserus donc ece de prucelli Une somce d'ende liruelle.
Mais helas!	Mais hélas!
non, ne ſoyons pas Pour la mort de Prorhe entriffeſſe:	non, ne soyons pas Pour la mort de Prorhe entriffesse:
Aucι plarens pluſtoſt le treſtas De la inſtice, & la prouëſſe, De la donceur & la bonte, Qui ont ce royærmne quini:	Aucôt plarents plutôt le trestas De la instice, et la provensse, De la donceur et la bonté, Qui ont ce royærne quini:
Verſont done de noſtre prrnelle Vne ſeurce d'ende éternelle.	Versont donce de notre prînelle Une sûrce d'ende éternelle.
Cæ ſes vertus auoient choiſi Tontes en luy leur demeurance, Etlors quelarort aſaiſ Sor corps maſſacré a eutrance, Elles çà bes ſerallallemer Sont eſteinres enſereblemeru, Verſons donc de noſtre pramelle Vne ſeuxce d'eudrérernelle.	Cæ ses vertus avaient choisi Tontes en lu leur demeurance, Etlors quelarort asais Sor corps massacré a eutrance, Elles çà bes serallalemer Sont éteinres ensereblemeru, Versons donc de notre pramelle Ve uxce d'eudrérernelle.
Seit lers que Phæbne tirers Ses palleſois de la rrerte, Seis alors quil les coαdiira Aul d la velr abie Seit lers qu'ayærperfaitſers te, AAur eaux il nepers le ieQu'il vore de noſtre pmmell ueiur uneſomce cηercll.	Seit lers que Phæbne tirers Ses palless de la rrerte, Seis alors quil les codiira Aul d la velr abie Seit lers qu'aiæperfaitsers te, AUr eaux il nepers le ieQu' seulement vore de notre pmellueiur esomce cercll.
Es que tas cris ſeierσ ρετdης Depuis les momiagres Ripties, drij ques æux ſalleas eſprrdas De fueles leντες dchæſſεæ	Es que tas cris seierσ ρετdης Depuis les momiagres Ripties, drij ques æux salleas esprrdas De fueles le dchæssεæ
PXRRHE.	PXRHÉE.
Iuſtu' au Pactole aux endes d'orAlors que de naſtre prunelle Serurs une ende éternelle.	Justu' au Pactole aux endes d'orlors que de nastre prunelle Serurs ne ende éternelle.
Didaime.	Didaime.
Ons Dieux d'οὰ peuς vεrιν que per tout eù is D paſſe, Teus ceux quei'apperçois ticunene la ſace baſſes Et cecume gens ſaiſis d’esbahiſſement ſons, Gardent dedens le ceur vn ſilence preſend, Es ſur leur frrni penſif, plus quà l'accourliníe, Dvne eſfroyable craimie ent l'image imprimée?	Ons Dieux d'avoir peu vεrιν que per tout ét is DIS Déesse, Teus ceux quei'aperçois ticunène la sace basses Et cecume gens saisis d'ébahissement sons, Gardent dédents le ceur un silence presend, Es sur leur frrni pensif, plus qu 'accourlinée, Dune éfroyable craimie ent l'image imprimée?
Dieux que ſereit-ce bien ?	Dieux que secrit-ce bien ?
las!	las!
ie redoute fort Qne Prrrhe n'ait ſoufferi quelquedengereux ſors, De peuiri en frarir neue, & dangoiſſe mor telle, Ie cexxr iue has an ſein, Peſlemac me pautelle, Le peil horrillemeni me driſſe ſur lechef, Es l'eſprit me prldit qual qeeſtrarge mecheſ:	nos redoute fort Prrrhe n'ait soufféri quelquedengereux sors, De peuiri en frarir névé, et dangoisse mór telle, Je cex jue hât ane sein, Pêlemac me pautelle, Le peil horrillement me drisse sur lâches, Es l'esprit me prédit qual qeestrarge meches:
Et i'apperçoy qe tanas feigment à moe le dire, Car ſi ie voy quelqe'un, ſordein il ſe retire, Et ſe cache de moy tirart æu reſme inſtant De ſeu ceur vn ſorpir tranchant & hælerent.	Et j'aperçois qe tanas feigment à moloe le dire, Car si ici vois quelquee'un, sordein il se retire, Et se cache de moi tirart æu résme instant De seu eur un sotir tranchant et hælèrent.
Puis iαy toιν ceriοκνς σy επtεηδω la clοαεμ Crier ſur ce palais, dicrant la nit rauëue.	Puis jri toù ceri été επtεηδω sur clοαεμ Crier sur ce palais, dicrant la nit rave.
Iy ay ven les libons nart & uur s'amaſſer, Et les triſles corbearuxs ſars ceſſe y croxcer.	Ii ai ven les libons nart et ouvr s'amasser, Et les trisles corbearuxs sars cesse y croxcer.
Cuſecv ſεταες cεπλαιμις dο παlhτς, mαιν ien ſε M'auxuturer encore à demander la cauſe, A ceux quei apper çois de lermniſte façon, Qui de craiute me rend plus peide qu v glacou, Taut i'ay perr de changer cette peur reiſenable En la ſicre rigncur d'vne anguiſſe incurable.	Cusecv encore à demander παlhτς, mαιν yen mien S'auxuturer encore à demander la cause, À ceux quei aper çois de lermniste façon, Qui de craiute me rend plus péide qu' âme glacou, Taut j'ai perr de changer cette peur re En la cre rigncur d'une anguisse incurable.
Mais ?	Mais ?
ay beau reculer:	ai beau reculer:
il mie fautitoſt ou terd, Subnettre mon eſprit à ſubir ce haſard.	il mie fautitôt ou terd, Subnettre mon esprit à subir ce hasard.
S’il y a du maiheur, ie ne ſcaureis tet ſaire Qie ie ne ſçache en fin ma fatale maiſtre.	S'il y a du maiheur, on ne saureis tet zaïre Q ie ne sçache en fin ma fatale maître.
Mmins euyumamy vaor vraiangee Lequel à ſa façon reſſonble vn mrſſager.	Mmins euiumami vaor vraiange Lequel à sa façon ressonble un mrissager.
Le Meſſager.	Le Messager.
A quelle triſte charge, ê fortune ennicuſe Reſernes aus enhaiy ma parolle enmisyeuſe, Me coutraignent d'aller vne uiere aduertir, daeaiu bepaaju maejuiss Et apres luy auoir ccme mort nacontée Luy eſfrir daus ce plet la teſte enſanglantíe?	À quelle triste charge, ê fortune ennicuse Résernes aus enhaimi ma parole enmisyeuse, Me coutraignent d'aller une uiere aduertir, daeaiu bepaju majuiss Et après lui avoir cième mort nacontée Lui éfrir daus ce ple la teste ensanglante?
Didaime.	Didaime.
Diciux que dit ce porteuν?	Diciux que dit ce porteuve?
mais que peutilauoir Daus ce large baſlin cecπeri d'un creſpe nair?	mais que peutilauoir Daus ce large blin ceceri d'un crêpe nair?
Caſt quel qu eſtrange ces, & crudl, ie m’aſſure?	Cast quel qu' étrange ces, et crudl, Elle m'assure?
Mais ſait tel qe il pearra, ſars que ieid'anentitre, Deſſauxpem daua ameap:	Mais sait tel qe il péarra, sars que impid'anentitre, Dessauxpem dava âmeap:
Meſſageτ ταεσ αy, dις πoν ſanν nul arceſt Ce qui ie fait venir vers ruoy en ceureſerte, Er ce que dans ceplas pareillanemttupones	Message , ταεσ dis, d' où san nul arcest Ce qui ici fait venir vers ruoi en cureserte, Er ce que dans ceplas pareillanemttupones
Le Mefſagei.	Le Messagei.
Madame ie veuσ ies, mais bien à coaire cæris, Faire υηταιſſεχεδυτ εν ſιρlειη de lagηc, Que perrle oxxxer ie Noſeoœuir la bencue.	Madame deux vu jes, mais bien à coaire cæris, Faire υηταιssεχεδυτ sιρlειη de lagηc, Que perrle oxxxer ie Noseoœuir la bencue.
Didaime.	Didaime.
Arammn,d yr li frm,ro, tecſei i ſernd.	Aramn,d y li frém,ro, tecsei y sernd.
Source gallica.	Source galica.
bnf fr ( Bibliothèque nationale de france Raye peurie te prie, à ne le raconter, L'enters deſtì que c’est, & ſuis preſteã porter D'uncourage cenſtint, non pas cette nouuelle, bauslaMryuoionael futinsme;	bnf fr ( Bibliothèque nationale de france Raie peurie te prie, à ne le raconter, L'enters détendre que c'est, et suis prête porter D'uncourage censtint, non pas cette nouvelle, bauslaMryuoionael futinsme;
Le Meſſager.	Le Messager.
Puis qu'il vns plaiſt ſçauoir quel eſt nõ mãdemd̀ Ie vous le diray done, madame, prausptemsem, duurcuuipe oude tuncyo una pla counnala, Que Prrhe ne vit plus, &e ſe vie eſt eſleinse.	Puis qu'il uns plaît sçauoir quel est nour mandemde Ie vous le dirai done, madame, prausptemsem, duurcuipe oude tuncio una pla counala, Que Prrhe ne vit plus, été se vie est éleinse.
Didaime.	Didaime.
O Dieux, que dites-voue?	Ô Dieux, que dites-voue?
ô bons Dieux, ie tranſis!	ô bons Dieux, Seigneur transis!
Pyrrhe toon cher enfant a donc eſté occis:	Pyrrhe toujours cher enfant a donc été occis:
Ofoages trop certains!	Ofoages trop certains!
õ predistions vrares!	Ne prédistions vrares!
Dprophetes corbeaux!	Dprophètes corbeaux!
ô fatales orfrayes!	ô fatales orfraies!
Qne veritablement vous mr'auez bien prédit L'in?	Âne véritablement vous m'avez bien prédit L'in?
́uit able ſort de mon malhexr ræredis.	ivit able sort de mon malhextr æredis.
O treſp as dondloureux!	Ô trép as dondloureux!
ô pærque impitoyable!	ô pærque impitoyable!
O deſfin ſaras moercy!	Ô dessin saraz moerci!
ô fortune imployable!	ô fortune imployable!
O vengeænce du ciel!	Ô vengeænce du ciel!
ô trop iniuſtes Dieux O Dieur de l'heur hæmain iælour Tοj enuierx!	ô trop injustes Dieux Ô Dieur de l'heur hæmain jælour Tοj envierx!
Præ day-ie faire?	Præ dai-je faire?
helas!	hélas!
que doy-ie dire?	que dois-je dire?
Hælheureuſe e fecius il qu'eres ie rρretire, Põur aunir alle faance, en vn ſ duu limoy, Prais que ie ſens querrarcarirre erer oy?	Hæleureuse e iecius il qu'ères apprendre rρretire, Pur aunir allé fausance, en un s û limoi, Prais que personne sens querrarcarirre erer oi?
A faut qu’à la doulrur ie ndalm.	A faut qu'à la douleurur Seigneur nédalm.
dame exproye, Es puis que ie ne pexx aποιν vωbτdο deioye, Ie veux deſſus monchef iant dedueil aſſemibler, Rue ie ſente du dueil le dueil meſme accabler.	dame exproie, Es puis que je ne pexx aποιν vωbτdο deioie, Je veux dessus monchef jant dédueil assemibler, Rue ie sente du le deuil le même accabler.
Epopræ meſſager, dis noy, ic te ſupplie, llſin que ronn anguiſſe en tont ſeu accomplie, Et q'un ſeul print de ducil ne me ſeit eſpargrol, Qu'eſtee que dans ce plæs Orestz ta doaul Pam apροτεα ιcyι car c'eſtluy, iordeſptrs,	Épopræ messager, dis noi, ic te supplie, llsin que ronn anguisse en tont seu accomplie, Et q'un seul print de ducil ne me seit épargrol, Qu'estee que dans ce plæs Orestz ta doel Pam apροτεα ιcyι car c'estluy, jordesptrs,
Loquel a iis à mert τος ιστdre geuiture.	Loquel a jis à mert ιστdre geuiture.
Le Meſſager.	Le Messager.
Hr'apar deuers veus ſuis apres enuy Vous porter dans ce plat:	Hr'appar devers vus suis après envi Vous porter dans ce plat:
las!	las!
ie ne l'oſe dire, Tant la puil m'eſmiens Didaime.	Ne ne l'ose dire, Tant la puil m'émiens Didaime.
Qroy la teſte de Pyrrhe?	Qroi la tête de Pyrrhe?
Tu és bien empeſché à me dire cela.	Tu es bien empêché à me dire cela.
dal ſlcmegtis Madane il eſt aiſi, regardez la voila.	dal slêmegtis Madane il est aisy, regardez la voilà.
Didaime.	Didaime.
O fureurs!	Ô fureurs!
o ranceurs!	ô ranceurs!
ô deteſtable rage!	ô détestable rage!
Qui beuïllez, qui breuïllez, qui lueiſtez rum ceurage Dì ſanglante ſercς, de penſemeus diners, Er d’ardcuir de veir tout renuerré à l'euuers:	Qui beuïllez, qui breuïllez, qui luinistez rum cage D sanglante serc, de pensemus dîners, Er d'ardcuir de veir tout renuerré l'euuers:
Augiεηιεz-vετις εκατον bourrelles de mαvιe, dmiquam marabrahirnaa.	Augiεηιεz-vετις εκατον bourrelles de mαvιe, dmiquam marabrahirna.
Hà ie ſeris que c'eſt ſait, ie ſuis more, arars vim, Helas!	Hà grande seris que c'est sait, on suis more, arars vim, Hélas!
ie n’en pais plus, le pærxre ceur me faim.	Le n'en pais plus, le pærxre ceur me faim.
Le Meſſager.	Le Messager.
Obες Dleux qe ie ſers er roon ceur de triſnſſe, De veir tans endrer eare perure Princeſſe:	Obες Dleux qe ie sers er roon ceur de trisnsse, De veir tans endrer évare pervre Princesse:
Las!	Las!
ſ i'euſſe peud ielllmert l'aſſleer, Ie n'en eteſs iæmad eſte letœeſſager, Quærdi coſſe di vſer de deſebeyſſetiece Verrrocn Prince qui a ſur riy rerrre puiſſatrec.	 s'eusse peud ielllmert l'assleter, Je n'en etess æmad este letœessager, Quærdi cosse di ser de desebeyssetiece Verrocn Prince qui a sur ri rerrre puissatrec.
Mais iιἰχιοτε ſi c'eſ tuxπiſſercens, On ſt elle a paſl le pas enticreroent, Mædeme, qu’amez-vous i il ſeus queie la tire, Parlez à πον, Madmme.	Mais iιἰχιοτε si c'es tuxπissercens, On st -elle a pas le pas enticreroent, Mæde, qu'âmez-vous y il jus queie la tire, Parlez à , Mademme.
Did.	Did.
Hilas!	Hilas!
Le Meſſ.	Le Mess.
Ela raſpirs, Et coxumence à perler, ie nelalerray poi Sarr la veir racrre à ellede ior poin Source gallica.	Éla raspirs, Et coxumence à perler, Elle nelalerrai poi Sarr la veir racrre à ellede jor poin Source galica.
bnf.	bnf.
fr (Bibliothèque nationale de France Madαme éneillz vous, decillez vespauqeres, Prruez vn peude cœur, doup Cupune pines,	fr (Bibliothèque nationale de France Madαme éneillz -vous, décillez vespauqeres, Prruez un peude cœur, doup Cupune pines,
Didaime.	Didaime.
Lας?	L?
πυα τεοπ́ lαlεαιετς ὰ ιες γεαr?	 τεοπ́ lαlεαιετς γεαr.
Qαι τ'α ſait derecheſ voir le iour odieux?	Q Q§ ait dereches voir le jour odieux?
Vaſtre calere, ê Dierx!	Vastre cale, être Dierx!
m'eſt elle paint laßie?	m'est elle paint lassie?
Qme nauez vorus permis que ie ſois treſp aſtie, Sænz πoe ta rρωrποαιεν ?	Qume navez vorus permis que je sois trép astie, Sæn é ta rρωrποαιεν ?
ού ιυοτι!	 §!
ο dce:	§ dee:
erεl Onont des afflhez l'miquereconfort, L'eſpair des raalheureux, la bernedes ruiſeres, Ne veux tu point borner ces dudeurs aduerſaires, Pni me facttau languir?	ernel Onont des afflhés l'miquereconfort, L'épair des raheureux, la berdes ruisères, Ne veux tu point borner ces dudeurs adversaires, Pni me factau languir?
Tu ne anatis le terrs Remyy rurpauure Prrrhe & milieu de ſes ans:	Tu ne anatis le terrs Remi rurpauvre Prrhe et milieu de ses ans:
Apres le terops auois perldttsmoy que ienoeure, Iay trop ſeit la maitié au male de dumeure, Prei enſſe esté hetoreuſe helas!	Après le terops avais perldttsmoy que ienoeure, Jay trop seit la maitié au male de dumure, Préi ense été honoreuse hélas!
lont que i ædio De mon loral amaut le treſpas i'entendis, Sii cuſſe donué ſin à ma cruelle vie, Qui depuis a eſté de tant de maux ſuruie.	lont que y ædio De mon loral amaut le trépas j'entendis, Sii cusse donvé sin à ma cruelle vie, Qui depuis a été de tant de maux survie.
Ie ſerais txiaenent ſous les mrrtes arobreux, A vens apres lamort les eſprits aaureux, εAηπqηεςτοοη a Adille en repos lej en iopes;	Je serais txiaennent sous les mrtes arobreux, À vends après lamort les esprits alavreux, εAηπqηεςτοοη a Adille en repos lejà en jopes;
δil feκα ὰ preſec qe trileſſe le voye Iouuun depuujancuu, apaneciſaras Sſpærd de ſaa corpe par nαms cocy videns.	δil par noù presque ece trilesse le voie Iouvun depuujancuu, apanisaras Sspærd de sa corpe par nαms coci vitents.
Mais ad'eſt il lecorpe?	Mais ad'est il lecorpe?
monſtre-lerony de grace,Meſſager, ie te prie aſin que ie l'embraſſe.	montre-lerony de grâce,Messager, Elle te prie as que ici l'embrasse.
Le Meſſager.	Le Messager.
Aadems le veicy, vorez-ledonani vens.	Aadems le véici, vorez-ledonani vents.
Tout ſouillé en ton ſang.	Tout souillé en ton sang.
Las!	Las!
ſi tu m'euſſes crene, Tui'mfaſſes tronuí bici mieux, & moy auſιi:	si tu m'eusses crene, Tui'masses tronume bici mieux, et moi aussi:
Car tu ne ſerois pas cruellenent aireſi Neuré en tille endroits de playes doulourcuſes, Ni oy or niſerable entre les malheurcuſes, Sur qui le ciel autheur de nor aduerſitez Aye versé iamais plus de calamitez, Mais ie te prie, auoy, ve ſçauoir de ton taiſtre S’il eſ aſſez vengé, & lil vondroit permettre Qij aiianes pauut tops a ſeuu mer dumie.	Car tu ne serais pas cruellenent airesi Neuré en tille endroits de plaies doulourcuses, Ni ois or nisérable entre les malheurcuses, Sur qui le ciel auteur de nor adversité Aye versé jamais plus de calamités, Mais ils te prie, avoi, ve savoir de ton taître S'il es assez vengé, et lil vondrait permettre Qjà aiianes pauut tops a su mer dumie.
Dbe ſhemEele.	Débe shemEele.
Madart c'eſt raiſon, iem en vay leſtamoir.	Madart c'est raison, imm en vais lestamoir.
Didaime.	Didaime.
Omturre!	Omturre!
ô ſang lο ποr!	ô sang lποr!
è ſanglantoturie Qrirderpliſſez l'eſprit derare &] de fivio,  P larues!	Ô sanglantoturie Qrirderplissez l'esprit derare et] de fivo, P larves!
b dimons l omanes cuſuffrez Que l'Erebe raine enſon ventre ergouffrez:	b dimons l omanes cusuffrez Que l'Erebe raine enson ventre ergouffrez:
O memrtrieresſerxrs Euaenides ſanglantes, Aux criur entoruillez ds eolerονες ſiſtaries, O triple chien corbere!	Ô memrtrieresserxrs Euaides sanglantes, Aux crivr entoruillez ds eolerονες sistaries, Ô triple chien corbere!
õ fantoſines velans, Qui plæaemez les bords enfirez & beuïllans De l'ardant Phlemen, & ſ de qelque monſire.	õ fantosines vélants, Qui plæaemez les bords enfirés et beuïllans De l'ardant Phlémen, et s ce lque monsire.
La ferme plus bideuſe encere ſe rencontre, Sur le beurberax limen ds Cocyre pleuriux, Du dolent e Acheron, & du Stix langoureux.	La ferme plus bideuse encère se rencontre, Sur le beurberax limen ds Cocyre pleuriux, Du dolent é Cheron, et du Stix langoureux.
Sertez;	Sertez;
dires, ſoriez.	dires, soriez.
leiſſez vos antres ſombres, Prnez reuues à iuoy, tranſporrez mucs eſprits, Qu’ileſoiem de vοκ fεπωrι ſεανιπεπιεηα épris,, Que ie coure enragée, ainſi qu’unerigreſe, Po͂νετſκιηαnε dens les bois la trompochejſeriſſe, Qui diſrabeſe faons, que ie ceure deſſie Cermaſtres, par qui Prrrhe atarn de teupraao,	leissez vos antres sombres, Prnez reves à jucoi, transporrez mucs esprits, Qu'ilesoiem de v endre sal épris, Que ainsi coure enragée, ainsi qu'unérigres, Po͂νετsκιηαnε dens les bois la trompochejserisse, Qui disrabes faons, que ici cûre dessie Cermâtres, par qui Prrhe atarn de teuprao,
Afint que de mes mains leur ventre ie déchire, Et que deſſaus mes dentr traqiant de rage & d’ire, Ie deurre leur cœur arlaché de leur flanc, M'enyurant le goſier à humer tout leur ſanz, Mais que ſur put ra rage hrriblement ſcit dure Contre ce deſſoyal, ce traiffre, ce pariure, Ce cruel Macaré, qui deſſous bonme foy T'a fait mettre en l'eſtat, Pyrrhe, que ie te voy.	Afint que de mes mains leur ventre Roi déchire, Et que dessaus mes dentr aqiant de rage et d'ire, Je deurre leur cœur arlaché de leur flanc, M'enivrant le gosier à humer tout leur sanz, Mais que sur put ra rage hriblement sit dure Contre ce dessoyal, ce traiffre, ce parjure, Ce cruel Macaré, qui dessous bonme foi T'a fait mettre en l'état, Pyrrhe, que ie te voy.
Helas!	Hélas!
que d'-ie?	que d'ie?
eù ſuis ie?	eu suis -je?
en quelle aſpre maanie Me trauſporte l'eſprit ms douleur inſinie?	en quelle âpre maanie Me trausporte l'esprit ms douleur insinie?
Dequry me ſerruroit que i’ellaſſe attaquer Ces barbures, ſinon à les faire noxcquer De mes ſaibles efforts?	Dequri me serrait que j'ellasse attaquer Ces barbures, sinon à les faire noxcquer De mes saisbles efforts?
helas!	hélas!
marace chere, Pa-donne, ie pe prie, à ta dolente mere, Si domans que mourir elle ne vange pas Sar ces traiſtres baurreaur ,nn uielent treſpas:	marace chère, Pa-donne, on pe prie, à ta dolente mère, Si domans que mourir elle ne venge pas Sar ces traîtres baurreaur , uielent trépas:
Cer le pouueir lray manqie, & nm la inſli enuis, Πiaa ce que ie peux c’eſt de t'eſfeir ma vie, Pour te ſuitre là bas aux inferneux palus, Conmne ie tu'en vay ſaire ores ſant tanier plus.	Cer le pouveir lray manqie, et n' en insli envis, Πiaa ce que ie peux c'est de t'efir ma vie, Pour te suitre là bas aux inferneux palus, Conmènefois tu'en vais zaïre ores sant tanier plus.
Mais il faut qoproier, pour mourir plus à l'aiſt, Lrcore vn ceup moon ſilsta bouche ie rebaiſe.	Mais il faut qoproyer, pour mourir plus à l'ait, Lrcore un ceup mo silsta bouche ie Ambaise.
Hà Pmmhe, que ie dois i'aimer uniquerent, Pui qu'eres tume peur donner contentement Ελσονε ἀρrενtε ττι:	Hà Pmhe, que je dois j'aimer uniquèrent, Pui qu'ères tume peur donner contentement Ελσονε ἀρrενtε :
que ie dois, ma lumiere, Deſcrer de te ſuiure en l'ecabrageuſe biert, Puie que iu me preſemte vn eſne deſiré, Pour fiir maintenans non dueil deſeſpné.	que ici dois, ma lumière, Décrer de te suivre en l'ecabrageuse biert, Puie que ju me presemte int éne désiré, Pour fiir maintenants non dueil désespné.
Que je trauue en tamain ta lame dégaignée, Qui ſeroit micuix qu’en moy dans Oreju enſaignt́e.	Que je trave en tamain a lame dégaignée, Qui serait micuix qu'en moi dans Oju ensaignée.
Saifiſſez-vouis noes bras de c ſer reluiſant:	Saifissez-vouis noé bras de ç er reluisant:
Pourtrancher dcrρνιοηης le deſaſtre nuiſans.	Pourtrancher dcrρνιοηης le désastre nuisants.
Or meaxers ταinenαi, mexrons, deſpeſchins nons, Il faut ſyre là-bas mon fis, & men eſpeux, Pni n'aſpelleut à erxx, rοωronς, c’eſt par trep viure:	Or mexers ταinenαi, mexrons, despeschins nons, Il faut sire là-bas mon fis, et men espeux, Pni n'aspelleut à erx, rοωronς, c'est par trep vivre:
Erure lare peinrrde ea lon veutre, & deliure damtonajamammuun i.	Erure la peinrde ea lon veutre, et délivre damtonajamammuun y.
Lycomede.	Lycomède.
O Dieux!	Ô Dieux!
qevx ielei ſiis iels Dieux!	qevx Mlei siis jels Dieux!
quel crenecer!	quel crenecer!
O Dieux, ben Durx hilas!	Ô Dieux, ben Durx hilas!
est il vray queie vrille?	est il vrai queie vrille?
Eß il vray que ie vore vne pelle merueille Qui s'eſfre deκαπττην τ ὀ εσιε ſtε cοurτεux!	Ess il vrai que ie vore une pelle merveille Qui s'efre de εσιε cοurτεux!
Didaire ron enfant, mnn cœur, que faiees veus.	Didaire ron enfant, mn cœur, que faies vus.
Qu' anezvonς fais mο fille?	Qu' anezvonς fais mettre fille?
hdas!	hdas!
marace aymie, Qui vout a telumers centre vous animie?	marace aimie, Qui vout a telumers centre vous animie?
Didaime helas.	Didaime hélas.
ins fille, hεας ααι vεσις έπε A vers merertrir, ainſi?	ins fille, heure irs vεσις έπε À vers mérertrir, ainsi?
quelle delers vons peu Auoir arrot la maein centre v'eſtrr poininel Poitrine, qui iedis eſtoit ſi albaſtrine, Et qu'à preſent ie vois ſouillie indignenemDe ce larg eſpændu trop faieuſerœeut.	quelle délers vons peu Auoir arrot la maein centre v'estrr poininel Poitrine, qui Ondis était si albastrine, Et qu'à présent avoir vois souillie indignenemDe ce larg espændu trop faieuserœeut.
O Dieex!	Ô Dieex!
que autrebarible e ſiibre ſpectacle App ercoyuent mes yenx l'õ logubre habitaclel O Palais de ralherors trep vimerert frapt!	que autrebarible e siibre spectacle Ap ercoyuent mes yenx l' engubre habitacle Ô Palais de ralherors trep vimerert frapt!
O pαrωrι e' triſte chef, helas!	Ô pαrωrι e' Hôte chef, hélas!
qui l'a coupt De tor cmps en ce point?	qui l'a coupt De tor cmps en ce point?
ô muiſerable Pyrrhe!	ô muisérable Pyrrhe!
Qui l'a ſait endurer un ſcruel marmre?	Qui l'a sait endurer un scruel marmre?
Mais que di-ie inſemré holas ne ſiay ie pas Qu'Oreſte eſtle rcttrier autheur de ten treſpas, Et n’accecrroy ie par, 8courſe trop tardine,  ſi deriν cetire trep hetine?	Mais que di-je insemré holas ne siai esprit pas Qu'Oreste est rcttrier auteur de ten trépas, Et n'accecroy ie par, 8course trop tardine, si deri cet trep hétine?
Et or trealli d'eſpritie me vuns erquerir Ce qui t’afait auſi, ma Didaime, neurir,	Et or trealli d'esprit me vuns erquérir Ce qui t'afait aussi, ma Didaime, neurir,
Conque la tienne auße leſera de la maienne, Et dis cerne houre meſme, auecques ces acier, Ie ferois ruiſſeler de mon ridé goſier Ce peus de ſang que i’ay, n’eſtus que ie deſire, Es que i'eſprne uniaur, parauxne que i'expire Voir le courroux duun ſondre deſſus celry Qui vourcauſe la mort, & à rλy taut d'enmoy, Et croyez, mes enſant, que c’eſt cetre eſperance Quui peuut garder ma vie en ſi grænde ſonffrancs, Car dlers ie mourray, ie noourræy libnanent, Si ie vioras perar prrrer vn rel cantenterneni, Et ſi lers nos donleror n'eſt pas aſſez puiſſante, Peur m'ouu-ir le chemin de l'inſernale ſenre:	Conque la tienne aussi lésera de la mayenne, Et dis cerne Honte même, avec ces acier, Je ferais ruisseler de mon ridé gosier Ce pus de sang que j'ai, n'étus que ie désire, Es que j'éprne uniaur, paraux que j'expire Voir le courroux du sondre dessus celry Qui vourcause la mort, et à ri taut d'enmoi, Et croyez, mes ensant, que c'est cet espérance Quui ut garder ma vie en si grânde sonffrancs, Car d' un mourrai, ie noourræy mourrai, Si ie vioras perar prrrer æn ane, Et si lers nosdonleror n'est as assez puissante, Peur m'-ir des che de l'insernale perdre,
Mey-meſine tramerſant d’vn paignærd acere Mon eſtimac chiruus, la noort ie trouueray, Mais ore il me conviens retirer en mon iſle, Pais que nas enmerois maiſtrſent cette ville.	Me-mesine tramersant d'être paignærd acère Mon estimac chiruus, la noort nom trouverai, Mais ore il me conviens retirer en mon isle, Pais que nas enmerais maîtrsent cette ville.
Et sils eut contente leur haine & leur courrour, lepetrer d'euux vos corps, poour le- garder der lorre.	Et sils eut contente leur haine et leur courrour, lepetrer d'evux vos corps, poour le- garder der lorre.
Conque la tienne auße leſera de la maienne, Et dis cerne houre meſme, auecques ces acier, Ie ferois ruiſſeler de mon ridé goſier Ce peus de ſang que i’ay, n’eſtus que ie deſire, Es que i'eſprne uniaur, parauxne que i'expire Voir le courroux duun ſondre deſſus celry Qui vourcauſe la mort, & à rλy taut d'enmoy, Et croyez, mes enſant, que c’eſt cetre eſperance Quui peuut garder ma vie en ſi grænde ſonffrancs, Car dlers ie mourray, ie noourræy libnanent, Si ie vioras perar prrrer vn rel cantenterneni, Et ſi lers nos donleror n'eſt pas aſſez puiſſante, Peur m'ouu-ir le chemin de l'inſernale ſenre:	Conque la tienne aussi lésera de la mayenne, Et dis cerne Honte même, avec ces acier, Je ferais ruisseler de mon ridé gosier Ce pus de sang que j'ai, n'étus que ie désire, Es que j'éprne uniaur, paraux que j'expire Voir le courroux du sondre dessus celry Qui vourcause la mort, et à ri taut d'enmoi, Et croyez, mes ensant, que c'est cet espérance Quui ut garder ma vie en si grânde sonffrancs, Car d' un mourrai, ie noourræy mourrai, Si ie vioras perar prrrer æn ane, Et si lers nosdonleror n'est as assez puissante, Peur m'-ir des che de l'insernale perdre,
Mey-meſine tramerſant d’vn paignærd acere Mon eſtimac chiruus, la noort ie trouueray, Mais ore il me conviens retirer en mon iſle, Pais que nas enmerois maiſtrſent cette ville.	Me-mesine tramersant d'être paignærd acère Mon estimac chiruus, la noort nom trouverai, Mais ore il me conviens retirer en mon isle, Pais que nas enmerais maîtrsent cette ville.
Et sils eut contente leur haine & leur courrour, lepetrer d'euux vos corps, poour le- garder der lorre.	Et sils eut contente leur haine et leur courrour, lepetrer d'evux vos corps, poour le- garder der lorre.
