A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
Quoy qu’en ſoy ſes deſſeins ſoient incomprehenſibles, Souutnt dans leurs effects, ils ſe rendent viſibles, Et tous teux qui ſçauront voſtre conuerſion, Ditont qu’on ne perd point vne bonne action, Que l’ame des Martyrs pleins de reconnoiſſance, Sollicite pour vous la diuine clemence, Et fait de vos cheueux couppez en leur faueur, Des liens auſquels Dieu laiſſe enchaiſner ſon cœur, Mais ne nous laiſſons point de ces ſaincts exercices, Dieu veut eſtre le prix de nos moindres ſeruices, Et pour vn verre d’eau qu’on donne à ſon honneus Rend vne éternité de gloire & de bon-heur, Nos charitez n’ont plus leur ſujet ordinaire, Mais iamais la vertu ne manque de matiere, Les pauures ſont par tout, & ſans aller plus loing Les Martyrs en leur corps exigent noſtre ſoin, Allons les aſſeurer des mains des infidelles, Allons offrir nos biens pour baſtir leurs Chappelles, Et paſſer noſtre vie aſſez proche du lieu A chanter leur victeire & la bonté de Dieu.	Quoi qu'en soi ses desseins soient incompréhensibles, Souutnt dans leurs effets, ils se rendent visibles, Et tous teux qui sauront pris conversion, Ditont qu'on ne perd point une bonne action, Que l'âme des Martyrs pleins de reconnaissance, Sollicite pour vous la divine clémence, Et fait de vos cheveux couppez en leur faveur, Des liens auxquels Dieu laisse enchaîner son cœur, Mais ne nous laissons point de ces saints exercices, Dieu veut être le prix de nos moindres services, Et pour verre ma on donne son honneus Rend éternité de gloire et de bon-heur, Nos Et ont pou leur sujet un, Moi iamais la vertu ne manque de matière, Les pauures et par ou, et sans aller plus loing Les Martyrs en ur as exigent se soin, Allons les asseurer des mains des infidelles, Allons offrir nos biens pour bâtir leurs Ai, Et passer nôtre de assez proche du lu A chanter leur victeire et la bonté de Dieu.
AEIE SCENE PREMIERE.	ÀEIE SCÈNE PREMIÈRE.
NATALIE, MARTIAN,	NATALIE, MARTIAN,
MARTIAN.	MARTIAN.
Adams c’eſt à tort que vous verſez des larmes, M Si la mort d'vn mary vous enleuoit vos charmes Vous auriez quelque droit de n’en plus retenir, Dans la porte d’vn bien qui ne peut reuenir, Le deſplaiſir eſt iuſte autant qu'inéuitable, Mais voſtre maty ſeul s’eſt rendu miſerable, Et ſa mort aujourd’huy rompt les faſcheuſes loix, Qui vous ont interdit la liberié du choix, Vous pouuez deſormais aſpirer au plus braue, Et d’vn leger effort en fatre veſtre eſilaue, Ceux qui charment les cœurs ſe laiſſeront charmer;	Adams c'est à tort que vous versez des larmes, MAL Si la mort d' y vous enleuoit vos charmes Vous auriez quelque droit de n'en plus retenir, Dans la porte d'être bien qui ne peut revenir, Le déplaisir est juste autant qu'inéuitable, Mais votre mati seul s'est rendu misérable, Et sa mort aujourd'hui rompt les fâcheuses lois, Qui vous ont interdit la liberié du choix, Vous pouvez désormais aspirer au plus brave, Et d'être le effort en fatre val esilaue, Ceux qui charme les cœurs se laisseront charmer;
Et vous captiuerez tout ce qui peut aimer.	Et vous captiverez tout ce qui peut aimer.
NATALIE.	NATALIE.
Monſieur quoy qu’Adrian ſoit cher à ma memoire, Si ie pleurois ſa mort ie pleuretois ſa gloire, Et ſemblerois douter de ſa felicité, Si mes yeux s’abbaiſſoient a'ctteetpeutias Mais vous me faites tort de croire que mon ame, Puiſſe ſi-toſt bruſler d'vne nouuelle flâme, Et qu’ayant en fermé mon Eſpoux au cescuëil, L’eſperance L’eſperance d’vn autre eu eſſace le deül.	Monsieur quoi qu’Adrian soit cher à ma mémoire, Si ie pleeurais sa mort homme pleuretais sa gloire, Et semblerais douter de sa félicité, Si mes yeux s'abaissaient actteetpeutias Mais vous me faites tort de croire que mon âme, Puisse sitôt brûler d'une nouvelle flamme, Et qu'ayant en fermé mon Époux au cescuëil, L'espérance L'espérance d'un autre eu essace le deueul.
Mau ie n’en conçois point ſa mort eſtoit trop belle, Ou pluſtoſt il joüit d’vne vie immortelle, Et l’amour conju gal qui le fait viure en moy M’oblige à luy garder vne eternelle foy.	Mau ie n'en conçois point sa mort était trop belle, Ou plutôt il joüit d'une vie immortelle, Et l'amour conju gal qui le fait vivre en moi M'oblige à lui garder une éternelle foi.
MARTIAN.	MARTIAN.
Ne vous figurez pas qu’aucune ialouſie Inquiete d’vn mort la froide fantaiſie:	Ne vous figurez pas qu'aucune jalousie Inquiète d'une mort la froide fantaisie:
Toures ces paßions portent bien leur flanbeau Au trauers des vapeurs qui ſortent du tombeau?	Toures ces passions portent bien leur flambeau Au travers des vapeurs qui sortent du tombeau?
Ce ſont des mouuements que le corps nous inſpirs Et que lu mort aueugle exclut de ſon empire.	Ce sont des mouvements que le corps nous inspirs Et que lu mort aveugle exclut de son empire.
NATALIE.	NATALIE.
La gloire & non la mort nous couure de leurs coups, Mais quoy que mon maty ne puiſſe eſire ialoux.	La gloire et non la mort nous couvre de leurs coups, Mais quoi que mon mati ne puisse éire jaloux.
Ie n’ay pas reſolu d’in eſtre moins fidelle, Natalie eſt à luy, luy ſeul eſt digne d'elle, La Vefue d’vn Martyr ſans tropd abbaiſſement, de fpuurors toconanten eriuor peur nmant, Quand le ieune Cæſar m’offriroit ſon ſeruice, De ſon ajſédt ton te ſerois mon ſuppiite, Et ie la combattrous auec tout mon pouuoir.	Je n'ai pas résolu d'in être moins fidèle, Natalie est à peine, lui seul est digne d'elle, La Vefue d'un Martyr sans trop abaissement, de fpuurors toconanten erjuor peur nant, Quand le jeune Cæsar m'offrirait son service, De son ajsédt ton te serais mon supiite, Et ainsi la combattrous avec tout mon pouvoir.
MARTIAN.	MARTIAN.
La mienne doit donc bien ſe reſoudre au ſilence.	La mienne doit donc bien se résoudre au silence.
NATALIE.	NATALIE.
C’eſt follis d’aimer quand on perd l’eſperance,	C'est follis d'aimer quand on perd l'espérance,
MARTIAN.	MARTIAN.
Cruille as-tu le cœur ſi vuide de pitié;	Cruille as-tu le cœur si vid de pitié;
Ou pour m’exprimer mieux ſi plein d’inimitié?	Ou pour m'exprimer mieux si plein d'inimitié?
Que me voyant mourir dans des langueurs extremes Tu ne puiſſe au moins feindre & dire que lu m’aimes, Tu peux en m’abuſant me conſeruez le iour, Et ſans in receuoir continter mon amour, Mais ô meſchanceté digne d’vne Chreſtienne!	Que me voyant mourir dans des langueurs extrêmes Tu ne puisse au moins feindre et dire que lu m'aimes, Tu peux en m'abusant me conservez le jour, Et sans in recevoir continter mon amour, Mais ô méchanceté digne d'une Chrétienne!
Ie t’ay ſauué la vie & tu m’oſtis la mienne, Sans moy tu n’aurois plus ſes funeſtes appas, Et tu les fais autheurs de mon cruel trépas, Oüy, c’eſt en ma faueur que l’Empereur t’endure, On te verroit gemir ſans moy dans la torture, El Tepandrt du jang datan lee ees atirans, Qui lancent dans mon cœur leurs homicides traits.	Je t'ai sauvé la vie et tu m'ôtis la mienne, Sans moi tu n'aurais plus ses funestes appas, Et tu les fais auteurs de mon cruel trépas, Oui, c'est en ma faveur que l'Empereur t'endure, On te verrait gémir sans moi dans la torture, El Tépandrt du jang datan lee ces atirans, Qui lancent dans mon cœur leurs homicides traits.
DCENE II.	DCENE II.
NATALIE, MAXIMIAN, MARTIAN	NATALIE, MAXIMIAN, MARTIAN
MAXIMIAN.	MAXIMIAN.
e biun quev ep le jeuner ue ropne tonferente, LA t’elle de l’amour ou de l’indifference, Et peut-on remarquer lequel eſt le plus fort, De l’eſpoir d’rn viuant ou du regret d’vn mort?	eu biun quev est le jeûner ue ropne tonférente, LA t'elle de l'amour ou de l'indifférence, Et peut-on remarquer lequel est le plus fort, De l'espoir d' Un vivant ou du regret d'un mort?
MARTIAN.	MARTIAN.
Seigneur ſa cruauté ne peut eſtre exprimée, Cette ingrate beanté s’irrite d’eſtre aimée, Et met au deſeſpoir vn miſerable Amant Qui ne peut ny mouris, ny viure qu’en l’aimant.	Seigneur sa cruauté ne peut être exprimée, Cette ingrate beanté s'irrite d'être aimée, Et met au désespoir un misérable Amant Qui ne peut mieux mouris, ni encre qu'en l'aimant.
MAXIMIAN.	MAXIMIAN.
Außi dans la douleur dont elle eſt tranſportée, Ie trouut ta pourſuitte vn peu precipitée, Ein ueuoi ſans doute attendre quelques iours Que les pleurs s’eſcoulants fiſſent place aux amours.	Aussi dans la douleur dont elle est transportée, Je trouut ta poursuite un peu précipitée, Ein ueuoi sans doute attendre quelques jours Que les pleurs s'écoulants fissent place aux amours.
AnIIIEIL.	AnIIIEIL.
Il attendra long-temps s’il attend que ie l’ayme.	Il attendra longtemps s'il attend que . aaime.
MAXIMIAN.	MAXIMIAN.
Ton humeur dans ſix iours ne ſera pas la meſme, Et ton cœur n’eſtant plus ce qu’il eſt aujourd’huy S’offrira de ſoy-meſme à de moindres que luy, Tu ne ſçais pas encor quel mal eſt le vi fuage, Mau biin-ioſt ſa nigutur t'apvaiira te tourage, Et te fera former des ſouhaits ſuperftus, Pour vne occaſion qui ne reuiendra plus.	Ton humeur dans six jours ne sera pas la même, Et ton cœur n'étant plus ce qu'il est aujourd'hui S'offrira de soi-même à de moindres que grands, Tu ne sais pas encor quel mal est le vi suage, Mau biin -iost sa nigutur t'apvira te tourage, Et te fera former des souhaits superfus, Pour une occasion qui ne reviendra plus.
NATALIE.	NATALIE.
Cut vne otca ſion que ie trouue importune.	Cut une ota sion que ici trouve importune.
MAXIMIAN.	MAXIMIAN.
Furiti-in tant ut nams a ta veuns jortune, Que l’offre qu’on t’en fait te donne de l’ennuy.	Furiti-in tant ut nams a ta veuns jortune, Que l'offre qu'on t'en fait te donne de l'ennui.
NATALIE.	NATALIE.
Le bon-heur d’vn Chreſtien ne dépend point d’autruy	Le bonheur d'Honneur Chrétien ne dépend point d'autrui
MAXIMIAN.	MAXIMIAN.
Si dépend-il de moy de te voir mal-heureuſe.	Si dépend-il de moi de te voir malheureuse.
NATALIE Comme il dépend de vous de me voir amoureuſe.	NATALIE Comme il dépend de vous de me voir amoureuse.
MAXIMIAN.	MAXIMIAN.
Ie puis te mettre aux fers.	Je puis te mettre aux fers.
NATALIE.	NATALIE.
Malgré leur cruauté, I’eſpere d’eſtre heureuſe & viure en liberté.	Malgré leur cruauté, J'espère d'être heureuse et vivre en liberté.
MAXIMIAN.	MAXIMIAN.
Mais te faiſant bruſter.	Mais te faisant brûter.
NATALIE.	NATALIE.
La flame eſt impuiſſante, Pour rendre miſerable vne femme in nocente, La miſere n’a point ſa ſource en la douleur, Et le Chreſtien à l’ame au deſſus du mal-heur.	La flamme est impuissante, Pour rendre misérable une femme in nocente, La misère n'a point sa source en la douleur, Et le Chrétien à l'âme au dessus du malheur.
MAXIMIAN.	MAXIMIAN.
Et tonte vanité le remplit d’inſelence, Elle fait éclatter ſa deſobrïſſance, Et le porte au meſpris des Princts & des Loix.	Et tonte vanité le remplit d'insélence, Elle fait éclater sa désobrissance, Et le porte au mépris des Printemps et des Lois.
MATACIE.	MATACIE.
On ne tient pas pour loy tous les deſirs des Roys, Souuent leur paßion s’y trouue aſſez contraire.	On ne tient pas pour loi tous les désirs des Rois, Souvent leur passion s'y trouve assez contraire.
MAXIMIAN Mais tu peux iuſtement te reſoudre à me plaire, Quellt tuy ledejjnnantapla peurmaj D’vn puiſſant Empereur le premier fauory?	MAXIMIAN Mais tu peux justement te résoudre à me plaire, Quellt tui ledejjnnantapla peurmajà D'un puissant Empereur le premier favori?
NATALIE.	NATALIE.
Quelle loy vous permet de m’y contraindre.	Quelle loi vous permet de m'y contraindre.
MAXIMIAN.	MAXIMIAN.
Auguſte.	Auguste.
Qui fuſt eſgallement ſage vaillant & iuſte, Apres beaucoup de gens petai auuoru combat, Fit publier la loy contre le Cilibat, La vefue la plus triſte eſtoit remariée, La plus chaſte ceinture à l’enuy déliée, Et les moins a moureux de leur temperament, Pour le bien de l’Eſtat prenoient le nom d’Amant, Ie vtux que deſormais cette loy reſtablie Sous le ioug de l'hymen les plus reueſches lie, Et que ſi dans ce ſoir tù n'as trouue paiij, Le feu de Martian ſoit enfin amorty.	Qui fût également sage vaillant et juste, Après beaucoup de gens pétai avoru combat, Fit publier la loi contre le Cilibat, La vefue la plus triste était remariée, La plus chaste ceinture à l'en déliée, Et les moins à moureux de leur tempérament, Pour le bien de l'État prenaient le nom d'Amant, Je vtux que désormais cette lois rétablie Sous le joug de l'hymen les plus reuesches lie, Et que si dans ce soir tù n'as trouve pai, Le feu de Martian soit enfin amorti.
NATALIE.	NATALIE.
A Cette loy n’a plus lieu dans le ſiecle où nous ſomme, L’homme manque de terre & non la terre d’hommes Et vous teſmoignez trop en nous faiſant mourir, Qu il vous importt peu de les vour tous perir, Mais qu’ils periſſent tous auant que ie m’engage, Sous le ioug importun d’vn faſtheux mariage.	À Cette loi n'a plus lieu dans le siècle où nous somme, L'homme manque de terre et non la terre d'hommes Et vous témoignez trop en nous faisant mourir, Qu il vous importt peu de les vour tous périr, Mais qu'ils périssent tous avant que je m'engage, Sous le joug importun d'vn fâtheux mariage.
MAXIMIAN.	MAXIMIAN.
En peux tu ſouhaitter vn plus aduantogeux.	En peux tu souhaiter un plus avantogeux.
NATALIE.	NATALIE.
N’eſtant pas volontaire il doit eſtre faſcheux,	N'étant pas volontaire il doit être fâcheux,
MAXIMIAN.	MAXIMIAN.
Et bien il faudra donc le rendre volontaire, Si ie n’ay pû porter Natalie à me plaire.	Et bien il faudra donc le rendre volontaire, Si ici n'ai pu porter Natalie à me plaire.
Peut-iſtre vne Chreſtienne a moins de fermeté, Car ie t’offre vn eſpoux en cétte qualité.	Peut-être un Chrétienne a moins de fermeté, Car tu t'offre un époux en cette qualité.
Reçous-le ou reſous toy d’abandonner ſa vie.	Reçous-le ou résous toi d'abandonner sa vie.
NATALIE.	NATALIE.
Le treſpas d’Adrian me donne de l’enuie, Et vous m’obligerez à vous vouloir du bienSi vous me preparez vn ſort eſgal au ſien.	Le trépas d'Adrian me donne de l'envie, Et vous m'obligerez à vous vouloir du bienSi vous me préparez un sort égal au sien.
MAXIMIAN.	MAXIMIAN.
Ie te prepare bien de plus rudes atteintes, Qui te feront changer tes brauades en pleintes, Et ſurpaſſant l’ardeur de tes vœux indiſcrets Mettront deuant nos yeux tes deſplaiſirs ſecrets, Il n’eſt point de tourment ſi nouueau ſi barbare, Il n’eſt point de tourment dont ie te ſois auare, Tout ce qu’vn corps mortel peut ſou ffrir ſans mouriz, Ie veux que mon courroux te le faſſe ſouffriEt qu’apres que ton ame aura trouué ſortie, Tu ſois par vn Bourreau traiſnée à la voirit.	Je te prépare bien de plus rudes atteintes, Qui te feront changer tes bravades en pleintes, Et surpassant l'ardeur de tes vœux indiscrets Mettront devant nos yeux tes déplaisirs secrets, Il n'est point de tourment si nouveau si barbare, Il n'est point de tourment dont tu te sois avare, Tout ce qu'un corps mortel peut sou ffrir sans mouris, Je veux que mon courroux te le fasse souffriEt qu'après que ton âme aura trouvé sortie, Tu trois par une Bourreau traînée à la voirit.
NATALIE.	NATALIE.
Tout ce qu’vn corps mortel peut ſou ffrir ſans mourit, Vn courage immortel peut bien mieux le ſouffrir, Donnez-moy promptement à vos bourreaux en proye.	Tout ce qu'autre corps mortel peut sou ffrir sans mourit, Un courage immortel peut bien mieux le souffrir, Donnez-moi promptement à vos bourreaux en proie.
Plus ils ſeront cruels & plus i'auray de joye.	Plus ils seront cruels et plus j'aurai de joie.
MAXIMIAN.	MAXIMIAN.
Ie n’attendois pas moins de ta preſomption, Mais, auant commencer vne execution, Qui par de longs tourmens doit eſpuiſer ta vit, è veux que Martian contentè ſon enuie, Et que pour aſſouuir vn amour criminel, u ſois auant la nuit conduitte en vn Bourdel, Et ſerues de matiere aux debauchis publiques,	Je n'attendais pas moins de ta présomption, Mais, avant commencer une exécution, Qui par de longs tourments doit épuiser ta vit, ut que Martian contenté son envie, Et que pour assouvir un amour criminel, u sois avant la nuit te en un Bourdel, Et serves de matière aux débauchis publiques,
NATALIE.	NATALIE.
Quoy, Seigneur, que ie ſerue.	Quoi, Seigneur, que ie serve.
MAXIMIAN.	MAXIMIAN.
En vain tu mt repliques, Eſpouſe martian, ou ſacrifie aux Dieux, Ou reçois tét affront.	En vain tu mont répliques, Espouse martian, ou sacrifie aux Dieux, Ou reçois têt affront.
NATALIE.	NATALIE.
Ha Seigneur i’aime mieux, Oüy l’horreur de ces lieux eſtonne ma conſtance, Mais s’agiſſant d’vn choix d’vne telle importante, Permettez-moy Seigneur d’y panſer mourement, Et me donnez delay de trois iours ſeuliment.	Ha Seigneur j'aime mieux, Oui l'horreur de ces lieux étonne ma constance, Mais s'agissant d'un choix d'une telle importante, Permettez-moi Seigneur d'y panser mourement, Et me donnez délai de trois jours seuliment.
MAXIMIAN.	MAXIMIAN.
I’approuue ta demande elle eſt iuſte & i’eſpere Que ton obiïſſance eſteindra ma eslere, Que tu prefereras le beau feu d'vn Amant Aux ſales cruautez d’vn honteux chaſtiment, Et que ton cœur eſpris d’vne douce eſperance Se rira du vefuage & de l’indiffirence, Va peze auec loiſir & ſans affection, Ce qui fait pour ou contre en ton élection, Reſſouuiens-toy pay tout que Martian t’adore, Que malgré ſa froideur ſa flame dure encore, Qu’il eſt dans ma faueur qu’il peut tout à me Ceer Et qu’vn htur ſans pareil doit ſuiure ſon amioua.	approuue ta demande elle est iuste et espere Que ton obiïssance éteindra ma eslere, Que tu préféreras le beau feu d' Amant Aux sales cruauté honteux châtiment, Et que ton cœur épris douce espérance Se rira du vefuage et de indiffirence, Va pèze auec loisir et sans affection, Ce qui fait pour ou contre en ton élection, Ressouuiens-toi tout que Martian adore, Que malgré sa froideur sa flame dure encore, il est dans ma faueur J'approuve ta d me Elle Est juste et j' pareil re Que ton amioua.
SCENE III, Rlr llle le, lenls	SCÈNE III, Rleur llle le, lenls
STANCES.	STANCES.
A barbare tyran, Dieu ſera mon refuge, V Et punira ta rage auec ſeuerité, Il ſera ton teſmoin, ta partie & ton luge, Il ſera le vengeur de ma pudicité, En vain pour eſchapper au tranchant de ſon glaiue, Tu tiens vn monde aupres de toy, Contre le Berger & le Roy.	À barbare tyran, Dieu sera mon refuge, V Et unira ta rage avec sévérité, Il sera ton témoin, ta partie et ton luge, Il sera le vengeur de ma pudicité, En vain pour échapper au tranchant de son glaiue, Tu tiens un monde auprès de toi, Contre le Berger et le Roi.
Son bras redoutable ſe leue, Et le meſchant n’a point de treue, De la douleur & de l’effroy.	Son bras redoutable se lève, Et le méchant n'a point de trouve, De la douleur et de l'effroi.
Mais grand Dicu remettez mon ame en ſon aßiette, Rendez à ma raiſon ſa premiere clarté, Dißipez les broüillards de ma craint:	Mais grand Dicu remettez mon âme en son assiette, Rendez à ma raison sa première clarté, Dissipez les broüillards de ma mort:
inquiette.	inquiette.
Et me donnez conſeil contre l’impurête, Saut-il qu’vne Chreſtienne eſpouſe vn infidelle Et que tous les jours à ſes yeux Les ſimulacres des faux-Dieux, Par vne offrande criminelle.	Et me donnez conseil contre l'impurête, Saut-il qu'une Chrétienne épouse un infidèle Et que tous les jours à ses yeux Les simulacres des faux-Dieux, Par une offrande criminelle.
Soient malgré l’ardeur de ſon zele Preferéts au Roy des Citux.	Soient malgré l'ardeur de son zèle Preferéts au Roi des Citux.
Faut-il	Faut-il
Elle s’agenoüille deuant le tableau de ſon mary.	Elle s'agenouille devant le tableau de son mari.
Faut il ô cher eſpoux, dont i’adore l’image, Qu’vn de vos ennemis poſſede voſtre bien, Faut-il que ie renonce à l’honneur du vefuage, Pour ſeruir de victime à l’amour d’vn payen, Faut-il que ie concoiue vne flâme eſtrangere Apres auoir bruſlé pour vous Que celle qui fuſt entre nous Soit vne fláme paſſagere, Et que vous ſçachant dans la biere, I’entende encor parler d’Eſpoux.	Faut -il ô cher époux, dont j'adore l'image, Qu'un de vos ennemis possède votre bien, Faut-il que ie renonce à l'honneur du vefuage, Pour servir de victime à l'amour d'Honneur païen, Faut-il que ieprouve une flamme étrangère Après avoir brûlé pour vous Que celle qui fût entre nous Soit une flamme passagère, Et que vous sachant dans la bête, J'entende encor parler d'Époux.
Helas que ce deſtin ſeroit inſuportable, Et que la violence a bien moins de rigueur, Quoy que ſou ffrent les corps, l’ame n’eſt point coupable, Tandiſque leurs plaiſirs font naiſtre ſa douleur, Plus le corps eſt forcé, plus l’amt a de merits, Dieu la regarde en cét effort, Et comme l’eſprit eſt plus fort Que la chair qui le ſollicite, Quelque tempeſte qui l’agite Il peut touſiours gagner le port.	Hélas que ce destin serait insuportable, Et que la violence a bien moins de rigueur, Quoi que sou ffrent les corps, l'âme n'est point coupable, Tandisque leurs plaisirs font naître sa douleur, Plus le corps est forcé, plus l'amt a de mérits, Dieu la regarde en cet effort, Et comme l'esprit est plus fort Que la chair qui le sollicite, Quelque tempête qui l'agite Il peut toujours gagner le port.
Quoy laſche ie conſens à cette ignominie, Cette penſée infame a peu me deceuoir, It pouuant m’aſſeurer contre la tyrannie, Mon courage vaincu s’oublie du deuoir, Quiconque ſçait mourir ſçait éuiter ſa honte.	Quoi lâche Madame consens à cette ignominie, Cette pensée infâme a pu me décevoir, It pouvant m'assurer contre la tyrannie, Mon courage vaincu s'oublie du devoir, Quiconque Sait mourir Sait éviter sa honte.
Le ryvan ne peut rien ſur moy Il n’eſt point de ſi dure loy, Qu’vn beau deſeſpoir ne ſurmonte, Et l’ame genereuſe & prompre Ne veut d’autre ſicours que ſoy.	Le rivan ne peut rien sur moi Il n'est point de si dure loi, Qu'un beau désespoir ne surmonte, Et l'âme généreuse et prompre Ne veut d'autre sicours que soi.
C’eſt de toy cher poignard que i’attends ma deffence	C'est de toi cher poignard que j'attends ma défense
Elle prend le poignard d’Adrian.	Elle prend le poignard d'Adrian.
Tu fus de mon mary fidelle protecteur, Et tu ſeras la clef qui pour ma déliurance Ouuriras ſans iffroy la porte de mon cœur, Mais puis-je ſans for fait preuenir la naturs, Suit-je maiſt reſſede ce corps, Et Dieu qui fit tous ſes reſſors, Ne receuroit-il point-d iniure Si pour le guarantir d’ordure.	Tu fus de mon mari fidèle protecteur, Et tu seras la clef qui pour ma déliurance Iras sans jffroi la porte de mon cœur, Mais puis-je sans for fait prévenir la naturs, Suit-je maît resse ce corps, Et Dieu qui fit tous ses ressors, Ne recevrait-il point-il iniure Si pour le garantir d'ordure.
Ie mettois ſon portraict dehois.	Je mettais son portrait dehaits.
Non il aimera mieux voir abbattre ſon temple, Que ſi l’impureté s’eſtabliſſoit dedans.	Non il aimera mieux voir abattre son temple, Que si l'impureté s'établissait dedans.
Et cette region ne manque point d’eximple, De celles dont ia moit a trompé les tyrans Toutes fois ce projet me remplit d’eſpouuante, Il n’eſt point de meilleur conſeil Que celuy qui ſuit le ſommeil, I’ay la paupiere ſi peſante, Qu’il faut enfin que i’y tonſente Dieu me conſole à mon reſueil.	Et cette région ne manque point d'exjmple, De celles dont ja moit à trompé les tyrans Toutes fois ce projet me remplit d'épouvante, Il n'est point de meilleur conseil Que celui qui suit le sommeil, J'ai la paupière si pesante, Qu'il faut enfin que j'y tonsente Dieu me console à mon réveil.
SCENE IV SAINCT ADRIAN luy apparont en dormant.	SCÈNE IV SAINCT ADRIAN de apparont en dormant.
A Sœur Dieu te regarde & ta douleur le touMibe, Aucune impureté ne ſoüillera ma couche, Il va donner relaſche à tes iuſtis ſouſpirs, Et te faire bien-toſt compagne des martyrs, On tranſporte par mer nos cendres dans Biſance, Vne nef lis ya ſuiure entre auec confiance, Dans ce logis flottant, & deſlors que le roc De ſon ancre crochuë aura receu le chos, Va remettre ma main dans ſa place premiere, Außi-toſt le ſommeil volant dans ta paupiere Is viendray t’anoncer vn agreable ſort Et te declarer l’heure & l’ordre de ta mort,	À Sœur Dieu te regarde et ta douleur le touMibe, Aucune impureté ne soüillera ma couche, Il va donner relâche à tes justis soupirs, Et te faire bientôt compagne des martyrs, On transporte par mer nos cendres dans Bisance, Une ne lis y suivre entre auec confiance, Dans ce logis flottant, et délors que le roc De son ancre crochue aura reçue le chos, Va remettre ma main dans sa place première, Aussi-tôt le sommeil volant dans ta paupière Is viendrai t'anoncer un a sort Et te déclarer eheure de l'ordre de ta mort,
NATALIE s’eſueillant.	NATALIE s'éveillant.
Que vois-je ou qu’ay-je veu!	Que vois-je ou qu'ai-je vu!
ſuis ie encor daus ce ſonge Dont mon ame tharmée adore le menſonge, Ou ſi mes ſens remis ſe pleignent du réueil Qui viint de leus rauir vn ſi riche ſommtil.	suis ie encor daus ce songe Dont mon âme tharmée adore le mensonge, Ou si mes sens remis se pleignent du réueil Qui vivint de lus ravir un si riche sommêtil.
SCENE V.	SCÈNE V.
EACSIE, NATALIE.	EACSIE, NATALIE.
FAVSTE.	FAUSTE.
Adame eſtoignons nous la colere diaine NI Menace ce paït d’vne entiere ruine, Car le gage fatalde ſa proſperité, Se va donner aux Grecs qui l’ont mieux merité.	Adame estoignons nous la colère diaine NI Menace ce paît d'une entière ruine, Car le gage fatalde sa prospérité, Se va donner aux Grecs qui l'ont mieux mérité.
Oüy des Marchands Chreſtiens enleuent ſa richeſſe, Et vont de ſa deſpoüille orner toute la Grece, Leurs vaiſſeaux ſont chargez des corps de nos MarEt le vent attentif à regler ſes ſouſpirs tyrs, Les pouſſe dans Biſance on diroit que la flotte A quelque Ange eſtably pour ſiruir de piloite, Voſire couſine ſuit d’vn regard empreſſé, Ce que l’eſloignement n’en a point effacé, Et pour courir apres retient ſur le riuage, Vn Nauire thargé d’vn precieux bagage, Elle n’attend que vous, ou pour vous dire adies, Ou pour fuyr enſemble vn ſi mal-beureux lieu.	Oui des Marchands Chrétiens enlèvent sa richesse, Et vont de sa dépouille orner toute la Grèce, Leurs vaisseaux sont chargés des corps de nos MarEt le vent attentif à régler ses soupirs tirs, Les pousse dans Bisance on dirait que la flotte A quelque Ange établi pour siruir de piloite, Vosire cousine suit d'H regard empressé, Ce que l'éloignement n'en a point effacé, Et pour courir après retient sur le rivage, Un Navire thargé d'un precieux bagage, Elle n'attend que vous, ou pour vous dire adies, Ou pour fuir ensemble si mal-beureux lieu.
NATALIE.	NATALIE.
