A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
Il ſe lance au Palais, & approchant du Troſne, aeſpronte hardiment, Sire voſtre perſonne,	Il se lance au Palais, et approchant du Trône, aespronte hardiment, Sire votre personne,
LARDY.	LARDY.
De quel pays viens tu, ou dreſſe tu ton cours.	De quel pays viens -tu, ou dresse tu ton cours.
Retranche viſtement ton funebre diſcours.	Retranche vite ton funèbre discours.
MESSAGER D’EGYPTE.	MESSAGER D'ÉGYPTE.
Las!	Las!
que ie ſuis tranſy, & ma pantoiſe haleine Perdüe de courir ne reuient qu’à grand peine, Ie diré en deux mots, Empereur eſcoutez, Car ie ne puis parler qu’à mots entre-coupez.	que je suis transi, et ma pantoise haleine Perdue de courir ne revient qu'à grand peine, Je diré en deux mots, Empereur écoutez, Car on ne puis parler qu'à mots entre-coupez.
MAVRICE.	MAURICE.
Raconte vistement.	Raconte vitement.
MESSA G.	MESA G.
Cil qui ſoubzoout commande En qualité de Roy, ſur l'Egyptienne bande, Ma vers vous enuoyé pour vous conter cecy,	Cil qui soubzoout commande En qualité de Roi, sur l'Égyptienne bande, Ma vers vous envoyé pour vous conter ceci,
Miip ienon.	Mip ienon.
Tu rengrege loingtain, mon martyrant ſoucy.	Tu rengrége loingtain, mon martyrant souci.
MESSAGER.	MESSAGER.
Menas ſe pourmenoit ſur la fertile riue, Ou le Nil par ſept fois vagueuſement arriue, Le regne poiſſonnier de ſes yeux meſuroit, Et le flot crespelu qui deſſus ſe ioüoit, Quand d’vn antre marin vn monſtrueux coloſſe Se va leuer ſus pied, ſa teſte eſtoit plus groſſe Qu'vn montagneus rocher de ſa bouche, & ſes yeux Sortoient (ce luy ſembloit) mille globes de feux, Son viſage noircy, ſ'approche de la nüe Ses pieds iuſques au fond preſſent l’onde chenüe, Son bras tient appuyé des rochers le deſſu, Il à les cheueux longs, & l’eſtomac mouſſu, La maiſon de Pluton n’a poußé de ſon onde, Vn monſtre qui ſi fort eſpouuante le monde.	Menas se pourmenait sur la fertile rive, Ou le Nil par sept fois vagueusement arrive, Le règne poissonnier de ses yeux mesuroit, Et le flot crespelu qui dess se jouait, Quand d'a antre marin un monstrueux colosse Se va luer sus pied, sa tête estoit plus grosse Qu'un montagneus rocher de sa bouche, et ses yeux Sortaient (ce lui semblait) mille globes de feux, Son visage noirci, s'approche de la nue Ses pieds iusques au fond pressent l'onde chenüe, Son ma tient appuyé des rochers le dessu, Il les cheueux longs, et estomac m, a maison de Pluton a poussé de son onde, m ai si fort espouuante le de,
MAVRICE Menas la il veu ſeul.	MAURICE Menas la il veu seul.
M ESSA G.	M ESSA G.
Non, non Sire, à Eſt de pluſieurs, Il a faict engeler le viſage de pemti, Il arreſte les nefs ſur les proches riuages, Et corſaire cruel faict mille brigandages, Hardy ne ſe muſſant dans l’ondoyant ſeiour, Iuſque à ce que le Ciel y ait caché le iour.	Non, non Sire, à Est de plusieurs, Il a fait engeler le visage de pemti, Il arrête les nefs sur les proches rivages, Et corsaire cruel fait mille brigandages, Hardi ne se mussant dans l'ondoyant séjour, Jusque à ce que le Ciel y ait caché le jour.
L’ESCVYER.	L'ÉCUYER.
Empereur ſ'il vous plaiſt ouyr le malencontre, Que ie viens annoncer ſuite de voſtre encombre, Le Cheual, ayme-Mars qui vous portoit iadis Par les ſcadrons rangez d’vn monde d’ennemis Et teignoit au combat d’vne ame genereuſe, De leur ſang chaleureux la campagne poudreuſe, al morau roide mort t'esrapte, e te planener, Et dict-on qu’il vous faut de meſme tresbucher.	Empereur s'il vous plaît ouïr le malencontre, Que je viens annoncer suite de votre encombre, Le Cheval, aime-Mars qui vous portait jadis Par les scadrons rangez d'un monde d'ennemis Et teignait au combat d'une âme généreuse, De leur sang chaleureux la campagne poudreuse, al oreau roide mort t'esrapte, est planénér, Et dit-on qu'il vous faut de même trébucher.
MAVRICE.	MAURICE.
Helas!	Hélas!
ie n’en puis plus la maiſon Emperiere Reiette mes ſouspirs, deſdaigne ma priere, A c'eſt heure, à c’eſt heure, ah!	Ce n'en puis plus la maison Emperière Reine mes soupirs, dédaigne ma prière, À c'est heure, à c'est heure, ah!
Dieu puniſſez moy, Ne faictes pas languir vn miſerable Roy, Me voila comme il faut, voila ma teſte preſte, Faictes pleuuoir ſur moy voſtre iuſte tempeſte, Außi bien mon esprit, mon esprit außi bien Des long temps priſonnier en c’eſt antre terrien, Veut eſtre compagnon des ames deliurées, Par le trenchant cizeau des mortelles fuſées, Ie ſuis acrauanté du poids de mon malheur, Le fardeau poiſe trop ſans voſtre ayde Seigneur, Le iuste fondement de ma triſte miſere EEſt deſia commencé, ſus pitoyable Pere, Pourſuiuez tout à coup, mon pauure cœur lauguit, Et mon ſonge touſiours effroyable me ſuit, Ie me iette à vos pied, & la teſte baiſſée De mes deux yeux moüillez i’ay ma bouche arrouſée, Et c'eſt eau ma ſeruy de breuuage, & de pain, Depuis que ie ſentis le coup de voſtre main¬.	Dieu punissez moi, Ne faites pas languir un misérable Roi, Me voilà comme il faut, voilà ma tête prête, Faites pleuvoir sur moi -même juste tempête, Aussi bien mon esprit, mon esprit aussi bien Des long temps prisonnier en c'est antre terrien, Veut été compagnon des âmes délivres, Par le trenchant cizeau des mortelles fusées, Je suis acravanté du poids de mon malheur, Le fardeau poise trop sans votre aide Seigneur, Le juste fondement de ma triste misère EEst desya commencé, s' Est Dé, Livry tout a coup, m mecœur lauguit, Et , songe tousiours effroyable me suit, Ie re iette vos pied, et la teste baissée De mes deux yeux moüillez ay ma bouche re, Et àest cou ma servi de breuuage, m on pain, Depuis que ie sentis le coup de vôtre main¬,
Donc ſacré geniteur enuoyez voſtre flamme, Pour ouurir la priſon qui tient encor mon ame, Ie tends mes bras tremblans aux Throſnes eſtoillez Mes genoux ſont pliez, à la terre colez, Ie tends le col peureus attendant le ſupplice, Comme vn muglant Taureau proche du ſacrifice Couronné par le chef d’vn verdiſſant chapeau, N’attend plus que le coup, du meurtriſſant couteau.	Donc sacré géniteur envoyez votre flamme, Pour ouvrir la prison qui tient encor mon âme, Je tends mes bras tremblants aux Thrônes étoillez Mes genoux sont pliés, à la terre colés, Je tends le col peureus attendant le supplice, Comme un muglant Taureau proche du sacrifice Couronné par le chef d'Han verdissant chapeau, N'attend plus que le coup, du meurtrissant couteau.
Qui faiſant ruiſſeler le ſang de ſa poictrine En teindra tout l’Autel d’vne couleur pourprine.	Qui faisant ruisseler le sang de sa poitrine En teindra tout l'Autel d'une couleur pourprine.
Quoy vous n’en faictes rien?	Quoi vous n'en faites rien?
Dieu ne voulez vous ye Du haut de voſtre Ciel me lancer le trespas, Faut il helas!	Dieu ne voulez -vous ie Du haut de votre Ciel me lancer le trépas, Faut -il hélas!
faut il, deuant que de deſcendre, En la ſale des morts deuorer ceſte eſclandre, Errant deſſus les eaux vagabond & honny, De mon ſceptre Royal, de mes honneurs banny?	faut -il, devant que de descendre, En la sale des morts dévorer cette esclandre, Errant dessus les eaux vagabond et honni, De mon sceptre Royal, de mes honneurs banni?
Et qu’apres tant de maux, ſans digne ſepulture Aux oyſeaux, ou poiſſons, ie ſerue de paſture?	Et qu'après tant de maux, sans digne sépulture Aux oiseaux, ou poissons, Seigneur serve de pâture?
LARDY.	LARDY.
DannijeZouitiſje Zojes eſp ro jagtes peurs, Elles trainent touſiours apres ſoy les malheurs, Ne craignez, nous portons toufiours l’ame fidelle Quoy que le fier deſtin contre vous ſe rebelle.	DannijeZouitisje Zojes ép ô jagtes peurs, Elles traînent toujours après soi les malheurs, Ne craignez, nous portons toufiours l'âme fidèle Quoi que le fier destin contre vous se rebelle.
MAVRICE.	MAURICE.
Ie ne crains pas la mort qu’elle perce mon cœut, Lechan Ot quime donne peur c’eſt de Dieu la rançœur, » Qui deplaçans les Roys, faict en leur Throſne me », Vn pauure Bergerot, vn ſimple homme champeſtre, Desfleus » Changeant des hauts Palais les ſuperbes grandenn, ſ ta teſt » Quand il luy plaiſt außi en caſes de Paſteurs.	Je ne crains pas la mort qu'elle perce mon cœut, Léchan Ot qui donne peur c'est de Dieu la rançœur, " Qui deplaçans les Rois, fait en leur Thrône me ", Un pauvre Bergerot, un simple homme champêtre, Desflus " Changeant des hauts Palais les superbes grandenn, s' a test " Quand il lui plaît aussi en cases de Pasteurs.
Chœur de Conſtantinople.	Chœur de Constantinople.
Las!	Las!
quel rauageur tourbillonMaurice, quel venteus orage, Soufle ſur ta pauure maiſonVoulant y deployer ſa rage.	quel ravageur tourbillonMaurice, quel venteus orage, Souffle sur ta pauvre maisonVoulant y déployer sa rage.
Le Ciel engroßi de courrous Annonce la proche tempejee, Et comoien qu it gronde fur nous, Il ne demande que ta teſte.	Le Ciel engrossi de courrous Annonce la proche tempejee, Et compoyen qu it gronde fur nous, Il ne demande que ta tête.
Tu dois bien maudire cent fois, La conuoitiſe trop ardante Elle ta rangéſoubs les lois, De ceſte auarice meſchante.	Tu dois bien maudire cent fois, La convoitise trop ardante Elle ta rangésoubs les lois, De cette avarice méchante.
Et la faim auare de l’Or, Te fera faire le naufrage Duſceptre que tu tiens encor Le changeant en cruel ſeruage,	Et la faim avare de l'Or, Te fera faire le naufrage Dusceptre que tu tiens encor Le changeant en cruel servage,
La terre qui iadis portoit eſtre Des fleurs, pour ſeruir de couronne deuſe A ta teſte qui retournoit Du combat ſanglant de Bellonne.	La terre qui jadis portait avoir Des fleurs, pour servir de couronne deuse A ta tête qui retournait Du combat sanglant de Bellonne.
Maintenant d’vn ventre eshonté Ne nous produict rien que de monſtre, Et pour ſon antique bonté Son ire faſcheuſe demonſtre.	Maintenant d'un ventre éhonté Ne nous produit rien que de montre, Et pour son antique bonté Son ire fâcheuse démontre.
O Roy de la celeſte cour, Detournez loing ceſte menace, Et nous faictes voir le beau iour, Qui pacifique voſtre jace.	Ô Roi de la céleste cour, Detournez loin cette menace, Et nous faites voir le beau jour, Qui pacifique votre jace.
Faictes que ce pauure Empereur, Aenypau Meaeanmes, Reiqunte vopre faeus N’y l’effort de voz rouges armes.	Faites que ce pauvre Empereur, Aénypau Meanmes, Reinte vopre faeus N'y l'effort de voces rouges armes.
Vous auez iadis retiré Appaiſé de pleureuſe hoſtie, Le tret de voſtre bras iré, Sur Niniue preſque aſſeruie.	Vous avez jadis retiré Apaisé de pleureuse hostie, Le tret de votre bras iré, Sur Ninive presque asservie.
Car comme Æole ramaſſoit, Baloyant la plaine azurée La nüe qui enuironnoit Du puiſſant la flamme acerée.	Car comme Élole ramassait, Baloyant la plaine azurée La nue qui environnait Du puissant la flamme acérée.
La troupe Niniuite alors De larmes & regrets enceincte Iettoit la cendre ſur le corps De vraye repentance attaincte.	La troupe Ninjuite alors De larmes et regrets enceincte Jettait la cendre sur le corps De vraie repentance attainte.
Le	Le
Le Ciel repriſt ſon teinct vermeil, Et iecta de l’eau ſur ſes flammes, Plus rayonnant que le Soleil Se fiſt veoir à ſes pauures ames.	Le Ciel reprît son teinct vermeil, Et iecta de l'eau sur ses flammes, Plus rayonnant que le Soleil Se fît veoir à ses pauvres âmes.
Ainſi faicte Seigneur ainſi, Oeilladés ſur ce pauure Prince, Qui ſe rend a voſtre mercy Vous remêt en main ſa Prouince.	Ainsi faite Seigneur ainsi, Oeilladés sur ce pauure Prince, Qui se rend a vôtre mercy Vous remêt en main sa Prouince.
ACTE II.	ACTE II.
SCENE FREMIERE.	SCÈNE FREMIÈRE.
THEODOSE.	THÉODOSE.
PIERRE.	PIERRE.
PHOCAS.	PHOCAS.
LILE.	LYLE.
THEODOSE.	THÉODOSE.
ES plaines, ces taillis, & ce lieu ſolitaire, Lieu ce ſemble ſacré des Nymphes le repaire, Et ma meute qui faict retentir ſes abbois M’inuite à rompre icy le ſilence des bois, Et ja le pied du Cerf ſes erres, ſa foulure Ont monſtré aux veneurs ſa branchüe rameure Que mes Limiers ſoient preſts, & les Chiẽs pour chaſſe Que bien toſt nous puißions laiſſer coure, & lancer, I’ayme quant à ce point le meſtier de la chaſſe Pource qu’auec le Cerf l’oyſiueté ſi chaſſe, hauis ſi ne beu te pas de tant m’outrecuider (Mon Oncle) de partir ſans vous le demander.	ES plaines, ces taillis, et ce lieu solitaire, Lieu ce semble sacré des Nymphes le repaire, Et ma meute qui fait retentir ses abois M'inuite à rompre ici le silence des bois, Et ja le pied du Cerf ses erres, sa foulure Ont montré aux veneurs sa branchue ramure Que mes Limiers soient prêts, et les Chiẽs pour chasse Que bien tôt nous pouvions laisser coure, et lancer, J'aime quant à ce point le métier de la chasse Pource qu'auec qu' Avec le oysiueté si chasse, havys si ne bate pas et tant moutrecuider (Mon Oncle) de partir sans vous le demander.
PIERRE.	PIERRE.
Chaſſez mõ cher Nepueu:	Chassez mas cher Nepueu:
ce pendãt que me trouppe.	ce pendant que me troupe.
s’aſſembleront icy ſur ces prochaines crouppes,	s'assembleront ici sur ces prochaines croupes,
Ablles voicy venir, & leurs pauois brillans, Imitent de Phœbus les feus eſtincelans Diſpoſez vous Soldats à la monſtre future, Et leurs chefs de leurs gens ayent ſoigneuſe cure.	Ablles voici venir, et leurs pavais brillants, Imitent de Phœbus les feus étincelants Disposez vous Soldats à la montre future, Et leurs chefs de leurs gens aient soigneuse cure.
O quel heur de vous veoir geniture de Mars, Quel bon heur de vous veoir tous heriſſez de dars Que vous auez moüillez cent fois dans la poictrine, Entre-ouurant l’eſtomac de la bande mutine, Qui taſchoit reſiſter à vos ſanglans effors N'emportant rien ſinon que des honteuſes morts?	Ô quel heur de vous voir géniture de Mars, Quel bon heur de vous veoir tous hérissez de dars Que vous avez mouillez cent fois dans la poitrine, Entre-ouvrant l'estomac de la bande mutine, Qui tâchait résister à vos sanglants essors N'emportant rien sinon que des honteuses morts?
Combien depuis trois ans, treſſuant ſoubs les armes Auons nous terraßé de milliers de gendarmes, Qui priuez du bon-heur des funebres tombeaux, Ont remplis l’eſtomac des Chiens, & des Corbeaux, Le Danube ronflant aux riues Germaniques, Ira rougy de ſang, raconter aux Scytiques, Que nul ne peut porter la roideur de noz bras, Quant nous ſommes meſlez au milieu des combas Nous auons ombrage les Nymphes poiſſonnieres Couurant leurs dos ſalez de Nauires guerrieres, La terre nouriciere, à gemy ſoubs le pois Soubs l’enorme fardeau de noz riches harnois, Et elle qui n’eſtoit que de fleurs bigarrée, S'eſt veuë incontinent de rouge ſang pourprée, Que hardis nous tirions des ennemis goſiers, Par le fer rauiſſeur de noz mortels aciers.	Combien depuis trois ans, tressuant sous les armes Auons nous terraîné de milliers de gendarmes, Qui privez du bonheur des funèbres tombeaux, Ont remplis l'estomac des Chiens, et des Corbeaux, Le Danube ronflant aux rives Germaniques, Ira rougi de sang, raconter aux Scytiques, Que nul ne peut porter la royer la roideur bras, Quant nous sommes mêlez au milieu des combas Nous ardons ombrage les Nymphes poissonnières Couurant leurs dos salez de Nauires urs, La terre nouriciere, gémi soubs le pois Soubs énorme a te riches harnois, Et , La nô que de fleurs y, S'est veuë incontinent de rouge ma pourprée, Que hardis nous tirions des ennemis gosiers, a le fer rauisseur degn mortels aciers,
