TAVTE DETI MERMET	TAUTE DETI MERMET
Menſieur, ie ſuis mal propre à décider la choſe, Veuillez m'en dilpenſer.	Mensieur, je suis mal propre à décider la chose, Veuillez m'en dilpenser.
ORONTE.	ORONTE.
Pourquoy?	Pourquoi?
ALCESTE.	ALCESTE.
I'ay le défaut D’eſtre vn peu plus ſincere, en cela, qu’il ne faut.	J'ai le défaut D'être un peu plus sincère, en cela, qu'il ne faut.
ORONIE.	ORONIE.
C’eſt ce que ie demande, & i’auroîs lieu de plainte, Si m’expoſant à vous, pour me parler ſans feinte, Vous alliez me trahir, & me déguiſer rien.	C'est ce que Seigneur demande, et j'aurais lieu de plainte, Si m'exposant à vous, pour me parler sans feinte, Vous alliez me trahir, et me déguiser rien.
ALCESTE.	ALCESTE.
Puis qu’il vous plaiſt ainſi, Monſieur, ie le veux bien.	Puis qu'il vous plaît ainsi, Monsieur, Elle le veux bien.
ORONTE.	ORONTE.
Sonnet.	Sonnet.
C’eſt vn Sonnet L’Eſpoir.	C'est un Sonnet L'Espoir.
C’eſt vne Dame, Qui, de quelque eſperance, auoit flaté ma flame.	C'est une Dame, Qui, de quelque espérance, avait flatté ma flamme.
L’Eſpoir.	L'Espoir.
Ce ne ſont point de ces grãds Vers põpeux.	Ce ne sont point de ces grands Vers pouveux.
Mais de petits Vers doux, tendres, & laugoureux.	Mais de petits Vers doux, tendres, et laugoureux.
A toutes ces intertuptions il regarde Aiceſte.	À toutes ces intertuptions il regarde Aigeste.
ALCESTE.	ALCESTE.
Neous venons bien.	Nous venons bien.
ORONTE.	ORONTE.
L’Epoir.	L'Époir.
Ie ne ſçay ſi le ſtile Pourra vous en paroiſtre aſſez net, & facile;	Je ne sais si le style Pourra vous en paraître assez net, et facile;
Et ſi, du chois des Mots, vous vous contenterez,	Et si, du chois des Mots, vous vous contenterez,
ALCESTE.	ALCESTE.
Nous allons voir, Monſieur.	Nous allons voir, Monsieur.
ORONTE.	ORONTE.
Au reſte, vous ſçaurez, Que ie n’ay demeuré qu’vn quart- d’heure à le faire.	Au reste, vous saurez, Que ie n'ai demeuré qu'un quart- d'heure à le faire.
ALCESIE.	ÀLCESIE.
Voyons, Monſieur, le Temps ne fait rien à l’affaire,	Voyons, Monsieur, le Temps ne fait rien à l'affaire,
ORONTE.	ORONTE.
’Eſpoir, il eſt vray nous ſoulage, LEt nous berce vn temps, noſtre ennuy:	Espoir, il est vrai nous soulage, LEt nous berce un temps, notre ennui:
Mais, Philis, le triſte auantage, Lors que rien ne marche apres luy,	Mais, Philis, le triste avantage, Lors que rien ne marche après avoir,
Beilnrie les Ie fuis déja charmé de ce petit morceau.	Beilnrie les Je fuis déjà charmé de ce petit morceau.
ALCESTE.	ALCESTE.
Quoy?	Quoi?
vous auez le front de trouuer cela beau?	Vous avez le front de trouver cela beau?
OROMTE.	OROMTE.
Vous euſtes de la Complaiſance, Mais vous en deuiez moins auoir;	Vous eûtes de la Complaisance, Mais vous en deviez moins avoir;
E ne cons pais mcitre en depenje, Pour ne me donner que l’Eſpoir.	E ne cons ais mécitre en depenje, Pour ne me donner que l'Espoir.
PHILINTE.	PHILINTE.
Ah!	Ah!
qu’entermes galans, ces choſes là ſont miſes!	qu'entermes galants, ces choses là sont mises!
ALCESTE.	ALCESTE.
bas.	bas.
Morbleu, vil Complaiſant, vous loüez des Sottiſes?	Morbleu, vil Complaisant, vous louez des Sottises?
ORONTE.	ORONTE.
S’il faut qu’vne attente éternelle Pouſſe à bout, l’ardeur de mon zele, Le Trépas ſera mon recours.	S'il faut qu'une attente éternelle Pousse à bout, l'ardeur de mon zèle, Le Trépas sera mon recours.
vos ſoins ne m’en peuuent diſtraire;	vos soins ne m'en peuvent distraire;
Belle Philis, on deſeſpere, dior, quon Spuelajchns.	Belle Philis, on désespère, dior, quon Spuelajàchs.
PHILINIE.	PHILINIE.
La chûte en eſt jolie, amoureuſe, admirable.	La chute en est jolie, amoureuse, admirable.
ALCESTE bas.	ALCESTE bas.
La peſte de ta chûte?	La peste de ta chute?
Empoiſonneur au Diable, Au cunes tu tare thente culer le nez.	Empoisonneur au Diable, Au cunes tu are thente culer le nez.
PHILINTE.	PHILINTE.
Je n’ay iamais ouy de veis n bien toumnez.	Je n'ai jamais oui de veis n bien toumés.
Moibleu.	Maibleu.
ALCESTE.	ALCESTE.
ORONTE.	ORONTE.
Vous me flattez, & vous croyez, peut-eſtre.	Vous me flattez, et vous croyez, peut-être.
, .	Ç ,
Tillalitsu.	Tillalitsu.
Non, ie ne flatte point.	Non, Seigneur ne flatte point.
ALCESTE bas.	ALCESTE bas.
Et que fait-tu, donc, Traiſtre?	Et que fait-tu, donc, Traître?
ORONTE.	ORONTE.
Mais, pour vous, vous ſçauez quel eſt noſtre Traité;	Mais, pour vous, vous savez quel est notre Traité;
Parlez-moy, ie vous prie, avec ſincerité.	Parlez-moi, Seigneur vous prie, avec sincérité.
ALCESTE.	ALCESTE.
Monſieur, cette matiere eſt toûjours délicate, Et, ſur le bel Eſprit, nons aimons qu’on nous flatte:	Monsieur, cette matière est toujours délicate, Et, sur le bel Esprit, nons aimons qu'on nous flatte:
Mais vn iour, à quelqu’vn, dont ie tairay le nom, Ie diſois, en voyant des Vers de ſa façon, Qu’il faut qu’vn galãt Home ait toujours grãd épire Sur les demangeaiſons qui nous prenent d’écrire;	Mais un jour, à quelqu'int, dont nous prairai le nom, Je disais, en voyant des Vers de sa façon, Qu'il faut qu'un galant Home ait toujours grand épire Sur les démangeaisons qui nous prennent d'écrire;
Qu’il doit tenir la bride aux grands empreſſemens Qu’on a de faire éclat de tels amuſemens;	Qu'il doit tenir la bride aux grands empressements Qu'on a de faire éclat de tels amusements;
Et que, par la chaleur de montrer ſes Ouvrages, On s’expoſe à joüer de mauvais porſonnages.	Et que, par la chaleur de montrer ses Ouvrages, On s'expose à jouer de mauvais porsonnages.
ORONTE Eſt-ce que vous voulez me declarer, par-là, Que i’ay tort de vouloir.	ORONTE Est-ce que vous voulez me déclarer, par-là, Que j'ai tort de vouloir.
ALCESTE Ie ne dis pas cela :	ALCESTE Je ne dis pas cela :
Mais ie luy diſois, moy, qu’vn froid Ecrit aſſomme Qu’il ne faut que ce Foible, à décrier vn Homme;	Mais m luy disais, moi, qu'un froid Écrit assomme Qu'il ne faut que ce Foible, à décrier un Homme;
Et qu’euſt-on, d’autre part, cent belles Qualitez, On fegarde les Gens, par leurs méchans coſtez,	Et qu'eût-on, d'autre part, cent belles Qualités, On fégarde les Gens, par leurs méchants côtés,
ORONTE Eſt ce qu’à mon Sonnet, vous trouuez à redire?	ORONTE Est -ce qu'à mon Sonnet, vous trouvez à redire?
ALCESTE.	ALCESTE.
Ie ne dis pas cela;	Je ne dis pas cela;
mais pour ne point écrire, Ie luy mettois aux yeux comme dans noſtre Tempst Cette ſoif a gaſté de fort Honneſte Gens.	mais pour ne point écrire, Je lui mettais aux yeux comme dans notre Tempt Cette soif a gâté de fort Honnête Gens.
ORONTE.	ORONTE.
Eſt-ce que i’écris mal?	Est-ce que j'écris mal?
& leur reſſemblerois-je,	et leur ressemblerais-je,
ALCESTE.	ALCESTE.
Ie ne dis pas cela;	Je ne dis pas cela;
mais, enfin, luy diſois je.	mais, enfin, Seigneur disais -je.
Quel beſoin, ſi preſſant, auez-vous de Rimer;	Quel besoin, si pressant, avez-vous de Rimer;
Et qui, diantres vous pouſſe à vous faire imprimer?	Et qui, diantres -vous pousse à vous faire imprimer?
Si l’on peut pardonner l’eſſor d’vn mauuais Liure, Ce n’eſt qu’aux Malheureux, qui cõpoſent pour viure, Croyez moy, reſiſtez à vos tentations, Dérobez au Public, ces Occupations;	Si l'on peut pardonner l'essor d'Hô mauvais Livre, Ce n'est qu'aux Malheureux, qui composent pour vivre, Croyez moi, résistez à vos tentations, Dérobez au Public, ces Occupations;
Et n’allez point quitter, dequoy que l’on vous sôme Le Nom que, dans la Cour, vous auez d’õneſte Hõme Pour prendre, de la main d’vn auide Imprimeus, Celuy de ridicule, & miſerable Autheur.	Et n'allez point quitter, de quoique l'on vous sôme Le Nom que, dans la Cour, vous avez d'õneste Homme Pour prendre, de la main d'un aujde Imprimeus, Celui de ridicule, et misérable Auteur.
C’eſt ce que ie tâchay de luy faire comprendre,	C'est ce que ici tâchai de Seigneur faire comprendre,
ORONTE.	ORONTE.
Voila qui va fort bien, & ie croy vous entendre.	Voilà qui va fort bien, et ie croy vous entendre.
Mais ne puiſ-je ſçauoir ce que dans mon Sonnet.	Mais ne puis-je savoir ce que dans mon Sonnet.
ALCESTE.	ALCESTE.
Franchement, il eſt bon à mettre au Cabinet;	Franchement, il est bon à mettre au Cabinet;
Vous vous eſtes reglé ſur de méchans Modelles, Et vos expreſſions ne ſont point naturelles.	Vous vous êtes règlé sur de méchants Modèles, Et vos expressions ne sont point naturelles.
Qu’eſt ce que nous berce vn temps, noſtre ennuy, Et que rien ne marche apres luy?	Qu'est ce que nous berce un temps, notre ennui, Et que rien ne marche après avoir?
Que ne vous pas mettre en dépenſe, romne me donner que l’Eſpoir?	Que ne vous pas mettre en dépense, romne me donner que l'Espoir?
Et que Fhilis, on deſejpere.	Et que Fhilis, on désejpère.
Alors qu’on eſpere touſiours?	Alors qu'on espère toujours?
Sort du bon Caractere, & de la Verité;	Sort du bon Caractère, et de la Vérité;
Ce n’eſt que ieu du Mots, qu’affectation pure, Et ce n’eſt point ainſi, que parle la Nature.	Ce n'est que jeu du Mots, qu'affectation pure, Et ce n'est point ainsi, que parle la Nature.
Le mechant Goud du Siecle, en cela me fait peur, Nos Peres, tous groſſiers, l’auoiẽt beaucoup meilleur;	Le méchant Goud du Siècle, en cela me fait peur, Nos Pères, tous grossiers, l'avaient beaucoup meilleur;
Et ie priſe bien moins, tout ce que l’on admire, Qu’vue vieille Chanſon, que ie m’en vay vous dire,	Et grande prise bien moins, tout ce que l'on admire, Qu'une vieille Chanson, que ie en vay vous dire.
I le Roy m’auoit donné DParis Sa grand Ville, Et qu’il me alluſt quitter L’ameur de ma Mie;	I le Roi m'avait donné DParis Sa grand Ville, Et qu'il me allût quitter L'ameur de ma Mie;
Ie dirois au Roy Henry, Reprenez voſtre Paris, I’a me mieux ma Mie, an gué, I’ayme mieux ma Mie.	Je dirais au Roi Henri, Reprenez votre Paris, J'a me mieux ma Mie, an gué, J'aime mieux ma Mie.
La Rime, feit pas riene, de re Serre en ert vreax.	La Rime, feyt pas riene, de re Serre en ert vrex.
Mais ne voyez-vous pas, que cela vaut bien mieux Que ces Colifichets, dont le bon Sens murmure, Et que la Paſſion parle là, toute pure?	Mais ne voyez-vous pas, que cela vaut bien mieux Que ces Colifichets, dont le bon Sens murmure, Et que la Passion parle -là, toute pure?
Si le Roy m’auoit donné Paris ſa grand'Ville, Et qu’il me fallût quitter L’amour de ma Mie;	Si le Roi m'avait donné Paris sa grand'Ville, Et qu'il me fallut quitter L'amour de ma Mie;
Ie dirois au Roy Henry, Reprenez voſtre Paris, Iaime mieux ma Mie, augne, I’aime mieux ma Mie.	Je dirais au Roi Henri, Reprenez votre Paris, Jaime mieux ma Mie, augne, J'aime mieux ma Mie.
Voila ce que peut dire vn Cœur vrayement épris.	Voilà ce que peut dire un Cœur vraiment épris.
Oüy, Monſieur le Rieur, maigie vos beaua Eiprits:	Oui, Monsieur le Rieur, maigie vos beaua Eiprits:
I’eſtime plus cela, que la pompe fleurie à Alceſte De tous ces faux Brillans, où chacun ſe rêcrie.	J'estime plus cela, que la pompe fleurie à Alceste De tous ces faux Brillants, où chacun se rêcrie.
ORONTE.	ORONTE.
Et moy, ie vous ſoutiens que mes Vers sõt fort bons.	Et moi, je vous soutiens que mes Vers sont fort bons.
12a a l d a de.	12a à lie d a de.
Pour les trouuer, ainſi vous auez vos Raiſons;	Pour les trouver, ainsi vous avez vos Raisons;
Mais vous trouuerez bo que r’eu pumne avoir d’autres qui ſe diſpenſeront de ſe ſouſmettre aux voſtres.	Mais vous trouverez bo que reu de avoir d'autres qui se dispenseront de se sousmettre aux vôtres.
ORONTE ii ile ſuffit de voir que d’autres en font cas.	ORONTE ji il suffit de voir que d'autres en font cas.
ALCESTE.	ALCESTE.
Ceit qu’ils ont l'hit de remurejes moy, ie ne l’ay pas.	Ceit qu'ils ont l'hit de remurejès moi, Elle ne l'ai pas.
ORONTE.	ORONTE.
Croyez-vous, donc, auoit tant d’eſprit en partage?	Croyez-vous, donc, avait tant d'esprit en partage?
ALCESTE.	ALCESTE.
Si je loüois vos Vers, i’en aurois dauantage.	Si je louais vos Vers, j'en aurais davantage.
ORONTE.	ORONTE.
Ie me paſſeray bien que vous les approuuiez.	Je me passerai bien que vous les approuviez.
B.	B.
iiij	jijà
ALCESTE.	ALCESTE.
Il faut bieirs ir vous plaitt, que vous vous en paſſiez.	Il faut bieirs ir vous plaît, que vous vous en passiez.
ORONTE.	ORONTE.
Ie voudrois bien, pour voir, que de voſtre maniere Vous en compoſaſſiez ſur la meſme Matiere.	Je voudrais bien, pour voir, que de votre manière Vous en composassiez sur la même Matière.
ALCESTE.	ALCESTE.
ren pourrorspur mamneury ruie daun méchant;	ren pourrorspur mamneuri ruie daun méchant;
Mais ie me garderois de les montrer aux Gens.	Mais tu me garderais de les montrer aux Gens.
ORONIE.	ORONIE.
Vous me parlez bien ferme, & cette ſuſſiſance.	Vous me parlez bien ferme, et cette sussance.
ALCETE.	ÀLCETE.
Autre part que chez moy, cherchez qui vous encẽſe.	Autre part que chez moi, cherchez qui vous encense.
ORONTEMais, mõ petit Mõſieur, prenez-le vn peu moins haut.	ORONTEMais, mon petit Mõsieur, prenez-le un peu moins haut.
ALCESTE.	ALCESTE.
va loy, mon grad Monneurs, ie le prens côme il faut PHILINTE ſe mettant entre deux.	va loi, mon grad Monneurs, on le prends côme il faut PHILINTE se mettant entre deux.
Ah!	Ah!
Meſſieurs ç’en eſt trop, laiſſez cela de grace.	Messieurs ç'en est trop, laissez cela de grâce.
ORONTE.	ORONTE.
Ahli’ay tort, ie l’auouë, & ie quitte la place;	Ahli'ai tort, ie l'avoue, Ah Dieux quitte la place;
Ie ſuis voſtre Valet, Monſieur de tout mon cœur.	Je suis votre Valet, Monsieur de tout mon cœur.
ALCESTE.	ALCESTE.
It moy, ie ſuis, Monſieur, voſtre humble Seruiteur.	It -moi, ie suis, Monsieur, vôtre humble Serviteur.
SEETE III TIIIEINIE AROBOIE.	SETE III TIIEINIE AROBOIE.
PHILINTE.	PHILINTE.
E' bien, vous le voyez;	E' bien, vous le voyez;
pour eſtre trop ſincére, I TVous voila ſur les bras, vne fâcheuſe Affaire;	pour être trop sincère, I TUous voilà sur les bras, une fâcheuse Affaire;
Dt r'ay bien veu qu’Oronte, afin d’eſtre flaté.	Dt r'ai bien vu qu'Oronte, afin d'être flatté.
Ne me parlez pas.	Ne me parlez pas.
ALCESTE.	ALCESTE.
PHILINTE.	PHILINTE.
Mais.	Mais.
ALCESTE.	ALCESTE.
Plus de ſocieté.	Plus de société.
C’eſt trop.	C'est trop.
PHILINTE.	PHILINTE.
ALCESIL.	ÀLCESIL.
Laiſſez moy là.	Laissez -moi là.
PHILINTE.	PHILINTE.
Si ie.	Si ici.
ALCESTE.	ALCESTE.
Point de langage,	Point de langage,
Mais quoy.	Mais quoi.
PHILINTE.	PHILINTE.
ALCESTE.	ALCESTE.
Ie n’entens rien.	Je n'entends rien.
PHILINTE.	PHILINTE.
Mais.	Mais.
ALCESTE.	ALCESTE.
Eucore	Éucore
PHILINTE.	PHILINTE.
On outrage.	On outrage.
ALCESTE.	ALCESTE.
Ah!	Ah!
parbleu, ç’en eſt trop, ne ſaiuez point mes pas.	parbleu, ç'en est trop, ne saisez point mes pas.
HILINTE.	HILINTE.
Vous vous moquez de moy, ie ne vous quitte pas.	Vous vous moquez de moi, je ne vous quitte pas.
Fin du Premier Acte.	Fin du Premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ALCESTE, CELIMENE.	ALCESTE, CÉLIMENE.
ALCESTE.	ALCESTE.
ADAME, voulez vous que ie vous parle net?	ADAME, voulez -vous que je vous parle net?
De vos façons d’agir, ie ſuis mal ſatisfait:	De vos façons d'agir, je suis mal satisfait:
Contr’elles, dans mon Cœur, trop de Bile s’aſſemble, Et ie ſens qu’il faudra que nous rompions enſemble.	Contr'elles, dans mon Cœur, trop de Bile s'assemble, Et ma sens qu'il faudra que nous rompions ensemble.
Ouy ie vous trompérois de parſer autrement, roſt, ou tard, nous romprons indubitablement;	Ou ie vous trompérois de parser autrement, rôt, ou tard, nous romprons indubitablement;
Et ie vous promettrois, mille fois, le contraire, Que ie ne ſerois pas en pouuoir de le faire.	Et ie vous promettrais, mille fois, le contraire, Que ie ne serais pas en pendant de le faire.
2	2
CELIMENE.	CELIMENE.
14111 C’eſt pour me quereller, donc, à ce que ie voy, Que vous auez voulu me ramener chez moy?	14111 C'est pour me quereller, donc, à ce que je vois, Que vous avez voulu me ramener chez moi?
ALCESTE.	ALCESTE.
Ie ne querelle point;	Je ne querelle point;
mais voſtre humeur, Madame, Ouure, au premier venu, trop d’aecez dãs vôtre Ame;	mais votre humeur, Madame, Ouvre, au premier venu, trop d'accès dans votre Âme;
Vous auez trop d’Amans, qu’on volt vous obſeder, Et mon cœur, de cela, ne peut s’accommoder.	Vous avez trop d'Amands, qu'on volt vous obséder, Et mon cœur, de cela, ne peut s'accommoder.
CELIMENE Des Amans que ie fais, me rendez vous coupable?	CELIMENE Des Amants que je fais, me rendez vous coupable?
Puis-ie empeſcher les Gens, de me trouuer aimable?	Puis-je empêcher les Gens, de me trouver aimable?
Et lors que pour me voir, ils fond de doux efforts, Dois-je prendre vn Baſton, pour le mettre dehors?	Et lors que pour me voir, ils fond de doux efforts, Dois-je prendre un Bâton, pour le mettre dehors?
