A PARIS, .	À PARIS, .
Que ſi touſiours Zephir les auoit careſſez, Et que ces belles fleurs dont la plaine eſt ſemée Ouemeſme Teuonbte taus grate deconſinmnee.	Que si toujours Zéphir les avait caressez, Et que ces belles fleurs dont la plaine est semée Ouemesme Teuonte taus grate deconsinmnee.
O merueille incroyablel on diroit qu’ences lieux La terre s’embellit de l’iniure des Cieux.	Ô merveille incroyablel on dirait qu'ences lieux La terre s'embellit de l'injure des Cieux.
MELISSE.	MÉLISSE.
Quand l’air en vn moment chãge ainſi de viſage C’eſt d’vn nouueau ſuccez l’infaillible preſage, Les Dieux rendent ainſi leurs deſſeins euidens, Leur celeſte pouuoir parle en ces accidens, Et pour communiquer leurs deſirs à la terre Ils s’expliquent ſouuẽt par la voix du Tonnerre.	Quand l'air en un moment change ainsi de visage C'est d'un nomme succès l'infaillible présage, Les Dieux rendent ainsi leurs desseins évidents, Leur celeste pouvoir parle en ces accidents, Et pour communiquer leurs désirs à la terre Ils s'expliquent souuẽt par la voix du Tonnerre.
Außi puiſque tu vois qu’à l’effroy de la nuit Succede heureuſemẽt ce beau iour qui nous luit, Poßsible que bien toſt nous verrõs tout de meſme D’vne vaine frayeur naitre vn bõheur extréme.	Aussi puisque tu vois qu'à l'effroi de la nuit Sucède heureusement ce beau jour qui nous luit, Poussible que bien tôt nous verront tout de même D'une vaine frayeur naître un bõheur extrême.
SIRENE.	SIRÈNE.
Pleuſt au Ciel qu’il fuſt vrai, mais qu’il vaudroit bien mieux Que iamais ſa clarté ne s’offriſt à nos yeux.	Plût au Ciel qu'il fût vrai, mais qu'il vaudrait bien mieux Que jamais sa clarté ne s'offrît à nos yeux.
Et quoy!	Et quoi!
ne ſçais-tu pas qu’vn malheur redoutable Menace nos deſtins d'vn traict ineuitable, Que tout le mõde pleure, & qu’Oronte eſt venu?	ne sais-tu pas qu'un malheur redoutable Menace nos destins d'un trait inévitable, Que tout le monde pleure, et qu'Oronte est venu?
MELISSE.	MÉLISSE.
Je ne le puis ſçauoir, ce nom m’eſt incognu, Hier preſqu’à la nuict i’arriuay dans cette Iſle, Où mon affliction a treuué ſon azile:	Je ne le puis savoir, ce nom m'est inconnu, Hier presqu'à la nuit j'arrivai dans cette Île, Où mon affliction a trouvé son asile:
I'eſtois auec Cloris allé voir ces ſaincts lieux Qui donnent de l’encens à la Mere des Dieux, Et ie ſuis aſſeuré que dés la premiere heure Que ie vins parmy vous eſtablir mademeure Le Soleila trois fois diuisé nos ſaiſons,	J'étais sez Cloris allé voir ces saints lieux Qui donnent de l'encens à la Mère des Dieux, Et tu suis assuré que dès la première heure Que tu voisins parmi vous établir mademeure Le Soleila trois fois divisé nos saisons,
Et fait l’oblique tour de ſes douze Maiſons:	Et fait l'oblique tour de ses douze Maisons:
Mais pendant ce temps-là ie n’ay point veu dans Scire Cet nommte renome que mme vems dedre.	Mais pendant ce temps-là ici n'ai point vu dans Scire Cet nommette renome que même vems dedre.
SIRENE.	SIRÈNE.
Il n'y vient point außi qu’en quinze ans vne fois De nos petits enfans faire vn iniuſte chois.	Il n'y vient point aussi qu'en quinze ans ici fois De nos petits enfants faire un injuste chois.
Ha Meliſſel ha Meliſſe!	Ha Mélissel ha Mélisse!
auant que l’œil du monde Finiſſe la iournée & ſecache dans l’onde, Que d iſtr aageseſſecis paradiſtront a tes yeux.	avant que l'œil du monde Finisse la journée et secache dans l'onde, Que d istr aagesessecis paradistront à tes yeux.
Mais il faut dans le Tẽple aller prier les Dieux.	Mais il faut dans le Tendre aller prier les Dieux.
MELISSE.	MÉLISSE.
Il eſt encorfermé.	Il est encorfermé.
Mais pendant qu’en la plaine On voit mille beautez que le iour nous rameine, Et que le riche eſmail des chãps que nous voyons Se deſcouure à l’eſclat de ſes premiers rayons, Conte moy quel ſujet de miſere ou de honte Apporte en ce pays la preſence d'Oronte, Afin qu'à tes ſouſpirs ie meſle encor mes pleurs, Et que ie participe aux communes douleurs.	Mais pendant qu'en la plaine On voit mille beautés que le jour nous ramène, Et que le riche émail des changs que nous voyons Se découvre à l'éclat de ses premiers rayons, Conte moi quel sujet de misère ou de honte Apporte en ce pays la présence d'Oronte, Afin qu'à tes soupirs après mêle Et que pleurs' à mes ie Et que communes douleurs.
SIRENE.	SIRÈNE.
Eſcoute ſeulement.	Écoute seulement.
Lors que le Roy de Thrace A iij	Lors que le Roi de Thrace A jij
MELISSE.	MÉLISSE.
mnqdequueſeo uauv cempaamuvoun deglace.	mnqdequueseo uauv cempaamuvoun deglace.
SIRENE.	SIRÈNE.
Pour nous aſſubiettir à ſes efforts nouueaux Couurit d’hommes la terre & la merde vaiſſeaux, Et qu’ayant triomphé des deux bords de l’Egée Il eut cette belle lſle à ſa mercyrangée, Le cruel demanda pour tribut des enfans, Qu'ondeuoit emmener en leurs plus ieunes ans:	Pour nous assubiettir à ses efforts nouveaux Couvrit d'hommes la terre et la merde vaisseaux, Et qu'ayant triomphé des deux bords de l'Egée Il eut cette belle lâle à sa mercyrangée, Le cruel a pour tribut des enfants, Qu'ondeuoit emmener en leurs plus jeunes ans:
Otmin perair Lirns, Emame ſuerante, Ou pluſtoſt à tous deux on arracha la vie,	Otin perair Lirns, Emme suérante, Ou plutôt à tous deux on arracha la vie,
MELISSE.	MÉLISSE.
O cruauté barbare!	Ô cruauté barbare!
hé quoy le ſang Royal Eſt ſubiet aux rigueurs d’vn tyran deſloyal.	hé quoi le sang Royal Est sujet aux rigueurs d'un tyran déloyal.
Vous eſtes deſcendus du genereux Achille, Aunt ia rate gucinereaacanc uans cenciſle, Et ie m'eſtonne fort qu’vn Roy victorieux O ffence de la ſorte vn ſang ſi glorieux.	Vous êtes descendus du généreux Achille, Aunt ja te gucinereaacanc ans cencisle, Et Seigneur m'étonne fort qu'un Roi victorieux Ô sence de la sorte un sang si glorieux.
SIRENEI Helas!	SIRENEI Hélas!
à quoy ſert-il lors qu’il eſt enpuiſſance?	à quoi sert-il lors qu'il est enpuissance?
C'eſt vn foible bonheur de la ſeule naiſſance, Il ne peut eſclater en vn ſejour honteux,	C'est un faible bonheur de la seule naissance, Il ne peut éclater en un séjour honteux,
Et la neceßité rendce tiltre douteux:	Et la necemité rendce titre douteux:
Vn ſuperbe Palais, vn Sceptre, vn Diadéme Torſenta nannsrafasune ſapreme.	Un superbe Palais, un Sceptre, un Diadème Torsenta nannrafasune sapreme.
MELISSE.	MÉLISSE.
Il eſt vray qu'autrement illanguit ſans honneur, Deſpourueu de ſupport, & priué de bonheur.	Il est vrai qu'autrement illanguit sans honneur, Despourvu de support, et privé de bonheur.
Mais quel eſt cet Oronte?	Mais quel est cet Oronte?
SIRENE.	SIRÈNE.
Il eſt né dans la Thrace Grand Seigneur, releué de merite & de race, Qui vient executer les deſſeins de ſon Roy, Et ſemer parmy nous la triſteſſe & l’effroy:	Il est né dans la Thrace Grand Seigneur, relevé de mérite et de race, Qui vient exécuter les desseins de son Roi, Et semer parmi nous la tristesse et l'effroi:
Außi toſt que ſaflotte abordé en ce riuage Pour mettre nos enfans en vn triſte ſeruage.	Aussi tôt que saflotte abordé en ce rivage Pour mettre nos enfants en un triste servage.
LLLISSE.	LLLISE.
Adieu, ie ſuis content, quelque nouueau penſer Qui me vient là deſſus m'oblige à te laiſſer.	Adieu, Seigneur suis content, quelque nouveau penser Qui me vient là dessus m'oblige à te laisser.
SIRRNE.	SIRNE.
Et moy ie vay ſçauoir ſi Fili eſt en vie Chez ce peuple inhumain qui la tient aſſeruie.	Et moi ici vais savoir si Fili est en vie Chez ce peuple inhumain qui la tient asservie.
ACTE PREMIER.	ACTE PREMIER.
SCENE II.	SCÈNE II.
CLORIS.	CLORIS.
Elie, en quel endroit as-tu guidé tes pas, que tatncit gioinnt ic nencontre pas.	Élie, en quel endroit as-tu guidé tes pas, que tatncit gioinnt ic nencontre pas.
Tu ne me reſpons rien depuis que ie t'appelle.	Tu ne me réponds rien depuis que sans t'appelle.
MELISSE.	MÉLISSE.
O Cloru!	Ô Cloru!
o ma fillelõ fortune cruelle!	ô ma fillelion fortune cruelle!
Que tu nous es contraire.	Que tu nous es contraire.
LORIS.	LORIS.
naumonpergup ce vous;	naumonpergup ce vous;
Quel accident faſcheux s'addreſſe encor à nous?	Quel accident fâcheux s'adresse encor à nous?
Terminez le ſoufçon de mon ame incertaine.	Terminez le souffçon de mon âme incertaine.
MELISSE.	MÉLISSE.
Ie te viens annoncer que ta mort eſt prochaine, Les Thraces ſont venus:	Je te viens annoncer que ta mort est prochaine, Les Thraces sont venus:
helas!	hélas!
tu ſçais aſſez Que leur Prince eſt auinem ne vos trtinanx paſEt que la cruauté de ce peuple ſauuage I 23	tu sais assez Que leur Prince est auinem ne vos trinanx pasEt que la cruauté de ce peuple sauvage I 23
T’apporte en ce pays lamort ou le ſeruage.	T'apporte en ce pays lamort ou le servage.
CLORIS.	CLORIS.
d emna eſ dersſsinars	 demna ès derssinars
MELISSE.	MÉLISSE.
Il n'en faut point douter:	Il n'en faut point douter:
Mais ce ſont des malheurs que tu peux euiter,	Mais ce sont des malheurs que tu peux éviter,
CLORIS.	CLORIS.
O fille infortunéel ô Tirſis ma chere ame, Que la rigueur du Ciel eſt cõtraire à maflame.	Ô fille infortunéel ô Tirsis ma chère âme, Que la rigueur du Ciel est comtraire à maflamme.
MELISSE.	MÉLISSE.
.	.
jours,	jours,
Ma ſuene cram points oupinſoſt crain touſPuiſque la ſeule crainte aſſeure icy tes iours.	Ma suène cram points oupinsôt crain tousPuisque la seule crainte assure ici tes jours.
CLORIS.	CLORIS.
Ie ne puis toutesfois ny deſirer ny craindre, Quelque horreur que lamort puiſſe à mes yeux depeindre, Si ie ne voy premier mes ſoupçons eſclaircis.	Je ne puis toutefois rien désirer ainsi craindre, Quelque horreur que lamort puisse à mes yeux dépeindre, Si grande ne vois premier mes soupçons éclaircis.
Sut l’eſtat incertain de l’aimable Tirſis.	Sut l'état incertain de l'aimable Tyris.
Cirſis vnique object du feu qui me tourmente, Soulage les ennuis de ta fidele amante:	Cirsis unique object du feu qui me tourmente, Soulage les ennuis de ta fidèle amante:
Es-tu viuant, ou mort:	Es-tu vivant, ou mort:
hé!	hé!
reſpond vne fois Apres tant de refus aux accens de ma voix;	répond une fois Après tant de refus aux accends de ma voix;
Monſtre moy ſeulement les moyens de te ſuiure,	Montre moi seulement les moyens de te suivre,
unt declare en fin s’il faut mourir,uviure.	unt déclare en fin s'il faut mourir,uviure.
MELISSE.	MÉLISSE.
La mort n'a dõc pour toi qu’vn viſage amoureux Mhiietatne tepray dejestratis iizonrenx,	La mort n'a donné pour toi qu'un visage amoureux Mhiétatne teprai déjestratis iizonrenx,
CLORIS.	CLORIS.
Hal ſi mon beau Tirſis a perdu la lumiere, Que ie meſpriſeray ſa rigueur couſtumiere, Qu'elle paroistra belle à mes ſens affligez, Et que tous mes ennuis ſeront toſt allegez.	Hal si mon beau Tirsis a perdu la lumière, Que ie mépriserai sa rigueur coutumière, Qu'elle paraîtra belle à mes sens affligez, Et que tous mes ennuis seront tôt allégez.
Mais quoy!	Mais quoi!
ie doute encor ſi ſa perte eſt certaine, Et ma timidité veut prolonger ma peine.	Les doute encor si sa perte est certaine, Et ma timidité veut prolonger ma peine.
Non, non, puiſque ie ſçay que Tirſis ne vit plus, Ceſſe de me tenir ces diſcours ſuperflus, Ie veux ſuiure ſes pas, ſa voix me ſollicite De l’aller retrouuer ſur les bords du Cocite.	Non, non, puisque jamais sais que Tirsis ne vit plus, Cesse de me tenir ces discours superflus, Je veux suivre ses pas, sa voix me sollicite De l'aller retrouver sur les bords du Cocite.
Hal c’eſt luy, c’eſt Tirſis le plus beau des humains, Qui pour me retenir me tend ſes foibles mains:	Hal c'est beau, c'est Tirsis le plus beau des humains, Qui pour me retenir me tend ses faibles mains:
Attend fidele eſprit, Eloris en ces lieux ſombres, 1 Lijuquia ſmuumnuoir ſejour des ombres, C'eſt là que nos deſtins ſeront touſiours vnis, Et que nous receurons des plaiſirs infinis.	Attend fidèle esprit, Éloris en ces lieux sombres, 1 Lijuquia smuumnuoir séjour des ombres, C'est là que nos destins seront toujours unis, Et que nous recevrons des plaisirs infinis.
MELISSE.	MÉLISSE.
O l’incredule fillel apres tant d’aſſeurance Tu ne veux donc iamais quitter cette creance:	Ô l'incrédule fillel après tant d'assurance Tu ne veux donc jamais quitter cette créance:
Ouy, ie t’aſſeure encor que Tirſis eſt viuant, Ie l’ay dy tant de fois & iuré ſi ſouuent, Pirſis voit la lumiere.	Oui, Seigneur t'assure encor que Tirs est vivant, Je l'ai dis tant de fois et juré si souvent, Pirsis voit la lumière.
CLORIS.	CLORIS.
Helas!	Hélas!
eſt-il poßible, Dois-ie encor eſperer vn bonheur ſi ſenſible?	est-il passible, Dois-je encor espérer un bonheur si sensible?
Mon Tirſis n’eſt pas mort:	Mon Tirsis n'est pas mort:
O Cieux!	Ô Cieux!
quand voulez-vous A mes iuſtes deſirs rendre vn objet ſi doux, Quand viendra ce beau iour à met vœux fauoQui me ramenera ce bonheur deſirable?	quand voulez-vous À mes justes désirs rendre un objet si doux, Quand viendra ce beau jour à met vœux favoQui me ramènera ce bonheur désirable?
Irable,	Jrable,
8e d  Attend cette faueur du deſtin & du temps, Qui rendront à la ſin tous tes ſouhaits contens.	8e dot Attend cette faveur du destin et du temps, Qui rendront à la sin tous tes souhaits contents.
CLORIS.	CLORIS.
Et bien i'eſpereray, mais quel ſoin neceſſaire Me faut-il employer contre vn peupleauerſaire Qui deſire ma perte?	Et bien j'espérerai, mais quel soin nécessaire Me faut-il employer contre un peupleaversaire Qui désire ma perte?
O Dieux!	Ô Dieux!
tous mes eſprits Sont d’vne froide erainte en vn moment ſurpris.	tous mes esprits Sont d'une froide erainte en un moment surpris.
·- -- -- Voyez comment ſa peur vient de ſon eſperance, dt quiatois queuc epereene nmoms d uſfeurace	·- -- -- Voyez comment sa peur vient de son esperance, dt quiatois queuc epereene nmoms d usfeurace
DLORIS.	DLORIS.
Et quoy, trouuez-vous bon que mes pas égare?	Et quoi, trouvez-vous bon que mes pas égare?
Ne tiennent point icy de ſentiers aſſeureZ ?	Ne tiennent point ici de sentiers assurés ?
Voulez-vous bien que i’entre au fonds de quelque roche De qui touſiours l’horreur a defendu l’approche?	Voulez-vous bien que j'entre au fonds de quelque roche De qui toujours l'horreur a défendu l'approche?
Iray-ie en quelque bois loing du mõde et du iour, Où le ſilence meſme eſtablit ſon ſejour, Etdontla ſolitude außsi vieille que ſaincté.	Jrai-je en quelque bois loin du monde et du jour, Où le silence même établit son séjour, Édontla solitude aussi vieille que sainté.
Tient le bruit en reſpect, et la lumiere en crainte?	Tient le bruit en respect, et la lumière en crainte?
