RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
LA ROCHE.	LA ROCHÉ.
Oui-dà, vo’ons un peu.	Oui-à, vo'ons un peu.
LA FLEUR bas à Taſinin.	LA FLEUR bas à Tasin.
H n’attend pas, ſans doute, une telle tempête.	H n'attend pas, sans doute, une telle tempête.
LA ROCHE.	LA ROCHÉ.
Ahi bon Dieu, quel fracas!	Ahi bon Dieu, quel fracas!
* Arrête.	* Arrête.
JASMIN.	JASMIN.
Arrête, arrête.	Arrête, arrête.
* Le feu prend aux petards qui ſont dans la boet:	* Le feu prend aux pétards qui sont dans la boet:
La Fleur s’enfuit, & les Commis courent aprés.	La Fleur s'enfuit, et les Commis courent après.
Fin du troiſiéme Acte.	Fin du troisième Acte.
12 I	12 I
SCENE PREMIERE.	SCÈNE PREMIÈRE.
FERNAND, LEONORE, BEATRIX.	FERNAND, LEONORE, BEATRIX.
FERNAND.	FERNAND.
E touche enfin, Madame, au mo ment bienheureux, Qui doir ſinir ma peine & combler tous mes vœux;	E touche enfin, Madame, au mo ment bienheureux, Qui doir sinir ma peine et combler tous mes vœux;
Grace aux généreux ſoins d’un bon ami, d’un frere, Nous trompons les efforts d’un tuteur trop ſévere;	Grâce aux généreux soins d'un bon ami, d'un frère, Nous trompons les efforts d'un tuteur trop sévere;
Et malgré les ſoupçons dont il eſt agité, Je puis enfin, vous voir en toute liberté.	Et malgré les soupçons dont il est agité, Je puis enfin, vous voir en toute liberté.
Juſqu’en ce jour chez vous renfermée & contrainte, Je ne vous ay pû voir, ui vous parler qu’en crainte, Et je benis du ſort ce coup ineſpéré, Qui me fait un ami d’un rival déclaré.	Jusqu'en ce jour chez vous renfermée et contrainte, Je ne vous ai pu voir, ui vous parler qu'en crainte, Et je bénis du sort ce coup inespéré, Qui me fait un ami d'un rival déclaré.
LZONORE.	LZONORE.
Quoi que dans ce deſſein, que l’amour vous ſuggere, Vous ſoyez appuyé de l’aveu de mon frere;	Quoi que dans ce dessein, que l'amour vous sugère, Vous soyez appuyé de l'aveu de mon frère;
Quoi que vôtre mérire & cet amour couſtant, Exigent ds mon cœur cet effort important;	Quoi que votre mérire et cet amour coûtant, Exigent dus mon cœur cet effort important;
Je ne ſouffrirois pas qu’une indigne ſurpriſe, Eût part dans le ſuccés d’une telle entrepriſe, Si le bizare amour de mon propre tuteur, Ne me faiſoit en lui voir un perſécuteur.	Je ne souffrirais pas qu'une indigne surprise, Eût part dans le succès d'une telle entreprise, Si le bizare amour de mon propre tuteur, Ne me faisait en lui voir un persécuteur.
J'ai ſur le point d’honneur, trop de délicateſſe, Pour vouloir écouter ce qui ſent la baſſeſſe, Et c’eſt ce même honneur, qui me fait l’approuver Puiſqu’il ne peuvoit pas autrement ſe ſauver.	J'ai sur le point d'honneur, trop de délicatesse, Pour vouloir écouter ce qui sent la bassesse, Et c'est ce même honneur, qui me fait l'approuver Puisqu'il ne peuvait pas autrement se sauver.
Ce que d’un tel deſſein je puis encor vous dire, C’eſt que comme l’on doit, de deux maux fuir l pire, Il m’eſt bien moins honteux, de faire cet effort, Que de voir un brutal diſpoſer de mon ſort.	Ce que d'un tel dessein je puis encor vous dire, C'est que comme l'on doit, de deux maux fuir l ire, Il m'est bien moins honteux, de faire cet effort, Que de voir un brutal disposer de mon sort.
FERNAND.	FERNAND.
Madame, je connois par cet aveu ſincere, Que vous déférez tout à l’amitié d’un frere, Et que ſans le projet d’un hymen odieux, Vous n’auriez pas ſur moi daigné courner les yeux.	Madame, je connais par cet aveu sincère, Que vous déferez tout à l'amitié d'un frère, Et que sans le projet d'un hymen odieux, Vous n'auriez pas sur moi daigné courner les yeux.
Je ue voi rien en vous, que crainte & complaiſance;	Je ue voi rien en vous, que crainte et complaisance;
Peut-être avec chagrin ſonffiez-vous ma préſence, Et que vous n’acceptez, que par occaſion, Ma main, pour fuir l’objet de vôtie averſion:	Peut-être avec chagrin sonffiez-vous ma présence, Et que vous n'acceptez, que par occasion, Ma main, pour fuir l'objet de vôtie aversion:
La votſe aveugſement peut-être s’abandonne.	La votse aveugsement peut-être s'abandonne.
LEONORE.	LEONORE.
Vous reconnoiſſez mal le ſecours que je donne Au bizare deſſein, que vous avez formé.	Vous reconnaissez mal le secours que je donne Au bizare dessein, que vous avez formé.
FERNAND.	FERNAND.
y dluis nvet leinm;	y dluis nuvet leinm;
de nede pa dimlar.	de nede pay dimlar.
Le ciel vousz traittée aves tant d’avantage;	Le ciel vousz traitée aves tant d'avantage;
Ilm xdoont ſi peu de mérite en partage;	Ilm odoont si peu de mérite en partage;
Et je connois ſi bien vôtre eſprit noble & fier, Que cela ſuſtit trop, pour me juſtifier.	Et je connais si bien votre esprit noble et fier, Que cela sûtit trop, pour me justifier.
LEONORE.	LEONORE.
Le retour eſt galant, j'en admire l'adreſſe.	Le retour est galant, j'en admire l'adresse.
Ce n’eſt donc pas aſſez vous marquer ma teadreſEt ce que j’entreprens, eſt donc pour vous trop peu, Si ma bouche, à vos yeux, n'en ſait, encor l’aveu.	Ce n'est donc pas assez vous marquer ma teadresEt ce que j'entreprends, est donc pour vous trop peu, Si ma bouche, à vos yeux, n'en sait, encor l'aveu.
C'eſt preudre ſur mon cœur un aſſez grand empie2 Bt je n’aurois pas cra que vous.	C'est prévdre sur mon cœur un assez grand empie2 Bent je n'aurais pas cra que vous.
BEATRIX.	BEATRIX.
Eſt-ce pour rire, Quę vous luites les meis tous les deun;	Est-ce pour rire, Quel vous luites les mis tous les devun;
toul a tour;	toul à tour;
Et doit-on ſéchement traitter ainſi l’amour?	Et doit-on sèchement traiter ainsi l'amour?
FEMMAND.	FEMAND.
Tu vois comme ſon cœur s’explique par ſa bouche.	Tu vois comme son cœur s'explique par sa bouche.
BETIRIA.	BÉTIRIA.
faut-il qu’ainſi pour rien, le vôtre s’effarouche?	faut-il qu'ainsi pour rien, le vôtre s'effarouche?
LEONORt.	LEONORt.
Tu vois;	Tu vois;
conme nra pus d'un tou plein de fierté.	commme nra pus d'un tou plein de fierté.
BEATRIX.	BEATRIX.
Et pourquoſ montrez-vous ſi peu de fermeté?	Et pourquos montrez-vous si peu de fermeté?
FERNAND.	FERNAND.
En acceptant ma main, elle paroit forcée.	En acceptant ma main, elle parait forcée.
BEATRIX.	BEATRIX.
Vous êtes fou, je croi, d’avoir cette penſée.	Vous êtes fou, je crois, d'avoir cette pensée.
LEONORE.	LEONORE.
A lue cheiche querenle expres, pour m'inſalter.	À lue cheiche quérenle exprès, pour m'insalter.
BEATRIX.	BEATRIX.
Rien moins;	Rien moins;
enſin tous deux voulez-vous m’écouter?	ensin tous deux voulez-vous m'écouter?
FERNAND.	FERNAND.
d Cauuua aauaumams.	d Cauva aauaumams.
LEONORE.	LEONORE.
je compreus;	je compreus;
le miſtere.	le mystère.
BEATRIXX.	BEATRIXX.
vous pailez toujous.	vous pailez toujous.
jen ai aout qu’a me taite,	jen ai août qu'a me taite,
FERNAND.	FERNAND.
Parle, voyons comument tu pourras l'excuſer.	Parle, voyons complument tu pourras l'excuser.
LEONORE.	LEONORE.
Dis, & voyons dequoi tu pourras m’accuſer.	Dis, et voyons dequoi tu pourras m'accuser.
Source gallica.	Source galica.
bnf.	bnf.
fr ( Bibliothèque nationale de France	fr ( Bibliothèque nationale de France
BEATRIX.	BEATRIX.
vous vous rendez tous deux aujourd’hui ridicules Vous, par vos vains ſoupçons, vous, par vos ſ ſcrupules.	vous vous rendez tous deux aujourd'hui ridicules Vous, par vos vains soupçons, vous, par vos s scrupules.
Moi qui n’ai point de fier ni d’honneur a ganier, Sans qu’il m’en coûte rien, je veux voits accorder Madame, en premier lieu, vous avez tort, ſ ame Expliquoit aſſez bien le beau feu qui l’enflamme, Vous pouviez dans ſes yeux voir ſon empreſſemen Et vous deviez ſans doute, y répondre autrement.	Moi qui n'ai point de fier ni d'honneur a ganier, Sans qu'il m'en coûte rien, je veux oits accorder Madame, en premier lieu, vous avez tort, s âme Expliquait assez bien le beau feu qui l'enflamme, Vous pouviez dans ses yeux voir son empressemen Et vous deviez sans doute, y répondre autrement.
Sans chercher le ſecours de vôtre rhétorique, P'our étaler les droits d’un de voir chimérique.	Sans chercher le secours de votre rhétorique, P'our étaler les droits d'un de voir chimérique.
Chaque têms a ſes ſoins;	Chaque têms à ses soins;
dans une autre ſaiſon, Vous auriez eu peuteêtre un peu plus de raiſonVous avez tort auſſi, vous, il falloit attendre, Elle vous auroit dit quelque choſe de tendre, Peut-être, vous de vier l’écouter en repos, Et ne pas l’intetrompre ainſi mal à propos.	dans une autre saison, Vous auriez eu peuteêtre un peu plus de raisonVous avez tort aussi, vous, avez fallait attendre, Elle vous aurait dit quelque chose de tendre, Peut-être, vous de vier l'écouter en repos, Et ne pas l'intettrompre ainsi mal à propos.
Vous avez repliqué d’un air ſec & farouche, En lui coupant d’abord la parole à la bouche, Et vous avez aprés, tâché de replâtrer Ce que de ſorte humeur vous veniez de montrer.	Vous avez répliqué d'un air sec et farouche, En lui coupant d'abord la parole à la bouche, Et vous avez après, tâché de replâtrer Ce que de sorte humeur vous veniez de montrer.
Ainſi vous vous alliez broüiller l’un avec l’autre;	Ainsi vous vous alliez briller l'un avec l'autre;
A voüez vôrre erreur, & vous noin m vovſe.	À voüez vôrre erreur, et vous noin m vovse.
Ca me promettez-vous d’oublier le paſſé, Et de donuer les mains au deſſein commencé, Sans delui, nus en;	Ca me promettez-vous d'oublier le passé, Et de donuer les mains au dessein commencé, Sans délui, nus en;
rui, ce faus coutſainte aucunc	rui, ce faus coutsainte aucunc
J'y conſens.	J'y consens.
FERNAN.	FERNAN.
D.	D.
LEONORE.	LEONORE.
Volontiers.	Volontiers.
BEATRIX.	BEATRIX.
Cela vaut fait, allez.	Cela vaut fait, allez.
Pouſſez vôtre fortune,	Poussez votre fortune,
SCENE II.	SCÈNE II.
DORANTE, ISABELLE, FERNAND, ELONORES DEEMANTA.	DORANTE, ISABELLE, FERNAND, ÉLONORES DEMANTA.
ISABELLE.	ISABELLE.
IE bien, partirons nous?	JE bien, partirons -nous?
LEONORE.	LEONORE.
vous.	vous.
Oui, quand il vous plaira, l'on n’attend qu’aprés	Oui, quand il vous plaira, l'on n'attend qu'après
DORANTE à Fernand.	DORANTE à Fernand.
e vous ar an tautor en srauſe concienes A vec nôtre ruteur, voyez-vous apparence De pouvoir avec lui faire ſociété?	Je vous artan tautor en srause concienes A vec notre ruteur, voyez-vous apparence De pouvoir avec lui faire société?
FERNAND.	FERNAND.
Sans doute, & de ſa part je l’y voi tout porté.	Sans doute, et de sa part je l'y voi tout porté.
L'intérèt l'ébloüit, j'ai ſçu lui faire accroire, A prés un long récit d’une bizare hiſtoire, Dont j’ai feint de lui faite un ſecret important, Que j’étois des empleis ici tres mal content:	L'intérèt l'éblouit, j'ai sçu lui faire accroire, A prés un long récit d'une bizare histoire, Dont j'ai feint de lui faite un secret important, Que j'étais des emple ici très mal content:
Qu’on y voyoit en tout triompher l’injuſtice, Que j’avois fait deſſein de quitter le ſervice, De ſortir de l’Etat, & d’aller engager Mon bras dans l'intéret d’un Etat étranger, Ri que pour ce ſujet, faiſant un tour en France, Je cherchois quelque endroit, pour mettre en aſſurance Quatorze mil écus, qu’on m’avoit rembourſez, Et que mon peu de ſoin n’avoir pas replacez, Dans mon entêtement de quitter l’Italie:	Qu'on y voyait en tout triompher l'injustice, Que j'avais fait dessein de quitter le service, De sortir de l'État, et d'aller engager Mon bras dans l'intéret d'un État étranger, Ri que pour ce sujet, faisant un tour en France, Je cherchais quelque endroit, pour mettre en assurance Quatorze mil écus, qu'on m'avait remboursez, Et que mon peu de soin n'avoir pas replacez, Dans mon entêtement de quitter l'Italie:
Qu'aprés avoir traitté mon deſſein de ſolie, Vour même aviez été contraint d’y conſenuir, Et malgté vos raiſons, de me laiſſer partir:	Qu'après avoir traité mon dessein de solie, Vour même aviez été contraint d'y consenvir, Et malgté vos raisons, de me laisser partir:
Que vous m’aviez juré qu’il eſtoit le ſeul homme Où je pourrois laiſſer ſûrement cette ſomme, Et que de têms en têms, vous vous chargiez du ſoin, De me faire tenir de l’argent au beſoin	Que vous m'aviez juré qu'il était le seul homme Où je pourrais laisser sûrement cette somme, Et que de têms cette têms, vous vous chargiez du soin, De me faire tenir de l'argent au besoin
DORANTE.	DORANTE.
Sans parler d'intérê:	Sans parler d'intérê:
En pas une maniere.	En pas une manière.
ISARDEL E Iac He bien, qu’a répondu Monſieur la Rapiniere?	ISARDEL E Ac He bien, qu'a répondu Monsieur la Rapinière?
FERNAND.	FERNAND.
Ce que l’on ne pourroit jamais s’imaginer, A moins qu’être ſçavant en l’art de deviner.	Ce que l'on ne pourrait jamais s'imaginer, À moins qu'être savant en l'art de deviner.
Il a fait devant moi l’homme de conſcience, M’a fort remercié de tant de conſiance, Et m’a dit, que picqué de généroſité, Il vouloit y répondre auſſi de ſon côté, Dans l’ardeur dont alors ſon ame étoit ſaiſie.	Il a fait devant moi l'homme de conscience, M'a fort remercié de tant de constance, Et m'a dit, que piqué de générosité, Il voulait y répondre aussi de son côté, Dans l'ardeur dont alors son âme était saisie.
Moi j’ai crâ, le voyant ſi plein de courtoiſie, Que durant tout le têms que je ſerois abſent, Il m’alloit propoſer tout au moins dix pour cent, D'intérêt, comme on fait entre les gens d’affaires.	Moi j'ai crât, le voyant si plein de courtoisie, Que durant tout le têms que je serais absent, Il m'allait proposer tout au moins dix pour cent, D'intérêt, comme on fait entre les gens d'affaires.
Mais inſenſiblement tombant ſur les Notaires, Qui prennent un tribut, pour garder de l’argent, J’ai pour vous m’a-t’il dit, le cœur plus obligeants Et pour vous faire voir, que je ſuis honnête homme, Faites quand vous voudrez, apporter vôtre ſomme, Je vous la garderai;	Mais insensiblement tombant sur les Notaires, Qui prennent un tribut, pour garder de l'argent, J'ai pour vous m'a-t-il dit, le cœur plus obligeants Et pour vous faire voir, que je suis honnête homme, Faites quand vous voudrez, apporter votre somme, Je vous la garderai;
revenez tard ou tôt, yumendemmmue me M lon pon le nepos.	revenez tard ou tôt, yumendemmue me M lon le nepos.
Bon.	Bon.
DORANTE.	DORANTE.
FERNAND.	FERNAND.
Puis-je vous douner un plus ſûr témoignage, Que je ſuis vôtre ami?	Puis-je vous douner un plus sûr témoignage, Que je suis votre ami?
DORANTE.	DORANTE.
L’obligeant perſonnage!	L'obligeant personnage!
Mais le voici, ſongez a faire vôtre cour,	Mais le voici, songez a faire votre cour,
SCENE III.	SCÈNE III.
LA RAPINIERE, DORANTE, ISABELLE, FERNAND, BEOIONESDDIAXPM.	LA RAPINIÈRE, DORANTE, ISABELLE, FERNAND, BEIONESDIAXPE.
LA RAPINIERE' à ſes Commis en ſortant.	LA RAPINIÈRE' à ses Commis en sortant.
Ue la collation nous attende au retour.	Que la collation nous attende au retour.
Il faut bien que ce ſoir ſe ſente de la féte!	Il faut bien que ce soir se sente de la fête!
Qu on prépare demain.	Qu on prépare demain.
TSABELLE.	TSABELLE.
La compagnie eit prêse, Monſieur, & l'on n’attend qu’aprés vous, pour partir.	La compagnie eit prêtresse, Monsieur, et l'on n'attend qu'après vous, pour partir.
EA RAPINIERE.	EA RAPINIERE.
Allous, qu'on ſe diſpoſe à ſe bien divertir;	Allous, qu'on se dispose à se bien divertir;
IC v em Maondee:	IC v em Maonde:
BEATRIX à part:	BEATRIX à part:
niracie!	niracie!
l'on va voir bien-tôt la fin du monde:	l'on va voir bientôt la fin du monde:
Les prodiges déja patoiſſent.	Les prodiges déjà pataissent.
LA RAPINIERF.	LA RAPINIERF.
A propos, Il faut qu'à mes Commis je diſe encor deux mots.	À propos, Il faut qu'à mes Commis je dise encor deux mots.
Allez toûjours devant, je vous ſuis.	Allez toujours devant, je vous suis.
SCENE IV.	SCÈNE IV.
LA RAPINIERE ſeul.	LA RAPINIERE seul.
QUelle gehen De faire le plaiſant contre ſon gré, la peine Paſſe, ſelon mon goût, le plaifir de bien loin.	QUelle géhen De faire le plaisant contre son gré, la peine Passe, selon mon goût, le plaisir de bien loin.
Mais on doit quelquefois ſe contraindre au beſoin Il faut bien qu’il m’en coûte aujourd’hui quelq choſe, Pour parvenir au but, que mon cœur ſe propoſe;	Mais on doit quelquefois se contraindre au besoin Il faut bien qu'il m'en coûte aujourd'hui quelque chose, Pour parvenir au but, que mon cœur se propose;
Et pour ne perdre pas le fruit de mon préſent, Je dois juſques au bout me montrer complaiſant.	Et pour ne perdre pas le fruit de mon présent, Je dois jusques au bout me montrer complaisant.
Je ſçai que Béatrix, avec beaucoup d’adreſſe, Tourne comme il luy plait, l'eſprit de ſa ma treſſe;	Je sais que Béatrix, avec beaucoup d'adresse, Tourne comme il était plaît, l'esprit de sa ma tresse;
Ainſi, quand je conſens à ſon hymen, je croi, Qu'en travaillant pour elle, elle agira pour moi.	Ainsi, quand je consens à son hymen, je crois, Qu'en travaillant pour elle, elle agira pour moi.
Je voi qu’elle a déja diſpoſé Léonore A m’êcouter ſans peine, & m’a promis encore, Pour prix de mes bontez, qu’au plus tard dans d main, Elle la reſoudroit à me donner la main.	Je vois qu'elle a déjà disposé Léonore A m'écouter sans peine, et m'a promis encore, Pour prix de mes bontés, qu'au plus tard dans d main, Elle la résoudrait à me donner la main.
Cela m’oblige à faire ici quelque dépenſe;	Cela m'oblige à faire ici quelque dépense;
Mais enfin, tout bien-fait demande récompenſe;	Mais enfin, tout bienfait demande récompense;
Et quand on ne peut pas faire ce que l’on veut, Il faut bien malgré ſoi, vouloir ce que l’on peut.	Et quand on ne peut pas faire ce que l'on veut, Il faut bien malgré soi, vouloir ce que l'on peut.
Iuſtruiſons nos Commis de ce qu’ils ont à faire.	Justruisons nos Commis de ce qu'ils ont à faire.
SCENE V.	SCÈNE V.
LA RAPINIERE, JASMIN, LA ROCHE.	LA RAPINIERE, JASMIN, LA ROCHÉ.
LA RAPINIERE.	LA RAPINIERE.
Qui?	Qui?
JASMIN.	JASMIN.
Le Notaire.	Le Notaire.
