POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
Et moy dont voſtre veuë augmente le ſupplice, Ie la veux éuiter meſmes au ſacrifice, Et ſeule dans ma chambre enfermant mes regrets Ie vay pour vous aux Dieux faire des vœux ſecrets.	Et moi dont votre vue augmente le supplice, Je la veux éviter mêmes au sacrifice, Et seule dans ma chambre enfermant mes regrets Je vais pour vous aux Dieux faire des vœux secrets.
SEVERE.	SÈVRE.
Puiſſe le iuſte Ciel content de ma ruine Coibier d'neur d de louis rorjeuete & Pauline.	Puisse le juste Ciel content de ma ruine Coibier d'neur d de louis rorjeuete et Pauline.
AVLINE.	AULINE.
Puiſſe trouuer Seuere aptes tant de malheur vne tencité digne de ſa valeur.	Puisse trouver Seuère aptes tant de malheur une tencité digne de sa valeur.
EVERE.	EUERE.
mia douaciren touer.	mia douaciren touer.
PAVLINE.	PAULINE.
Ie dépendois d’vn pere.	Je dépendais d'un père.
SEVERE.	SÈVRE.
O deuoir qui me perd & qui me deſeſpere?	Ô devoir qui me perd et qui me désespère?
Adieu trop vertueux objet & trop charmant.	Adieu trop vertueux objet et trop charmant.
PAVLINE.	PAULINE.
Adteu trop malheureux & trop parfait amant.	Adteu trop malheureux et trop parfait amant.
SCENE III.	SCÈNE III.
PAVLINE, STRATONICE.	PAULINE, STRATONICE.
STRATONICE	STRATONICE
E vous ay plaint tous deux, i’en verſe encor Y des larmes, Mais du moins voſtre eſprit eſt hors de ſes alarmes, vons voyez ciailement que voſtre ſonge eſt vain, Seuere ne vient pas la vengeance à la main.	E vous ai plaint tous deux, j'en verse encor Y des larmes, Mais du moins votre esprit est hors de ses alarmes, vons voyez ciailement que votre songe est vain, Seuere ne vient pas la vengeance à la main.
PAVLINE.	PAULINE.
Laiſſe-moy reſpirer du moins ſi tu m’as plainAu fort de ma douleur tu r’appelles ma crainSouffre vn peu de relâche à mes eſprits troublez, Et ne m’accable point par des maux redoublez.	Laisse-moi respirer du moins si tu m'as plainAu fort de ma douleur tu race duelles ma crainSouffre un peu de relâche à mes esprits troublés, Et ne m'accable point par des maux redoublés.
STRATONICE.	STRATONICE.
Quoy vons craignez encor!	Quoi vont craignez encor!
PAVLINE.	PAULINE.
Ie tremble, Stratonice, Et quoy que ie m’effraye auec peu de iuſtice, Cette iniuſte frayeur ſans ceſſe reproduit L’image des malheurs que i’ay veu cette nuit.	Je tremble, Stratonice, Et quoi que sans m'effraie avec peu de justice, Cette injuste frayeur sans cesse reproduit L'image des malheurs que j'ai vu cette nuit.
STRATONICE.	STRATONICE.
Seuere eſt genereux.	Seuère est généreux.
PAVLINE.	PAULINE.
Malgré ſa retenuë Polyeucte ſanglant ſrappe touſiours ma veuë.	Malgré sa retenue Polyeute sanglant srape toujours ma vue.
TRATONICE.	TRATONICE.
vous metme entes témoin des vœux qu’il fait pour luy.	vous metme entes témoin des vœux qu'il fait pour lui.
PAVLINE.	PAULINE.
Ie croy meſme au beſoin qu’il ſeroit ſon apMais ſoit cette croyance ou fauſſe ou veritable, Son ſejour en ce lieu m’eſt touſiours redoutable;	Je crois même au besoin qu'il serait son apais soit cette croyance ou fausse ou véritable, Son séjour en ce lieu m'est toujours redoutable;
A quoy que ſa vertu le puiſſe diſpoſer Il eſt puiſſant, il m’ayme, & vient pour m’épouſer.	À quoi que sa vertu le puisse disposer Il est puissant, il m'aime, et vient pour m'épouser.
2 SCENE IV.	2 SCÈNE IV.
OLYEVCTE, NEARQVE, PAV LINE, STRATONICE,	OLYEUCTE, NEARQUE, PAU LINE, STRATONICE,
POLYEVCTE.	POLYEUCTE.
Q’Eſt trop verſer de pleurs, il eſt temps  qu’ils tariſſent, Que voſtre douleur ceſſe & vos craintes finiſſent	QU'Est trop verser de pleurs, il est temps qu'ils tarissent, Que votre douleur cesse et vos craintes finissent
PAVLINE.	PAULINE.
Le iour eſt encor long, & ce qui plus m’effraye La moitié de l’aduis ſe trouue deſia vraye.	Le jour est encor long, et ce qui plus m'effraie La moitié de l'avis se trouve déjà vraie.
I’ay crû Seuere mort, & ie le vois icy.	J'ai cru Sévère mort, et Seigneur le vois ici.
POLYEVCTE.	POLYEUCTE.
Ie le ſçay, mais enfin i’en prens peu de ſoucy, Ie ſuis dans Militene, & quel que ſoit Seuere, Voſtre Pere y commande, & l’on m’y conſidere, Et ie ne penſe pas qu’on puiſſe auoir raiſon D’vn cœur tel que le ſien craindre vne trahiſon, On mauois aſieure qu’il vous raiſoit vilite.	Je le sais, mais enfin j'en prends peu de souci, Je suis dans Militène, et quel que soit Seuere, Votre Père y commande, et l'on m'y considère, Et grands ne pense pas qu'on puisse avoir raison D'un cœur tel que le sien craindre une trahison, On mavais asieure qu'il vous raisait vilite.
Et ie venois luy rendre vn honneur qu’il merite.	Et ici venais Seigneur rendre un honneur qu'il mérite.
PAVLINE.	PAULINE.
Il vient de me quitter aſſez triſte & confus, Mais i’ay gagné ſur luy qu’il ne me verra plus.	Il vient de me quitter assez triste et confus, Mais j'ai gagné sur un qu'il ne me verra plus.
POLYEVCTE.	POLYEUCTE.
Quoy!	Quoi!
vous me ſoupçonnez deſia de quelque ombrage!	vous me soupçonnez déjà de quelque ombrage!
PAVLINE.	PAULINE.
Ie ferois à tous trois vn trop ſenſible outrage, I’aſſeure mon repos que troublent ſes regards, La vertu la plus ferme éuite les hazards, Qui s’expoſe au peril veut bien trouuer ſa perte Et pour vous en parler auec vne ame ouuerte, Depuis qu’vn vray merite a pû nous enflamer Sa preſence touſiours a droit de nous charmer.	Je ferais à tous trois un trop sensible outrage, J'assure mon repos que troublent ses regards, La vertu la plus ferme éuite les hasards, Qui s'expose au péril veut bien trouver sa perte Et pour vous en parler avec une âme ouverte, Depuis qu'un vrai mérite a pu nous enflammer Sa présence toujours à droit de nous charmer.
Outre qu’on doit rougir de s’en laiſſer ſurprendre, On ſouffre à reſiſter, on ſouffre à s’en deffendre, Et bien que la vertu rriomphe de ces feux, La victoire eſt penible & le combat honteux.	Outre qu'on doit rougir de s'en laisser surprendre, On souffre à résister, on souffre à s'en défendre, Et bien que la vertu riomphe de ces feux, La victoire est pénible et le combat honteux.
POLYEVCTE.	POLYEUCTE.
O vertu trop parfaite, & deuoir trop ſincere, Que vous deuez couſter de regrets à Seuere!	Ô vertu trop parfaite, et devoir trop sincère, Que vous devez coûter de regrets à Sévère!
Qu’au depens d’vn beau feu vous me rendez heureux, Et que vous eſtes doux à mon cœur amoureux;	Qu'au dépens d'un beau feu vous me rendez heureux, Et que vous êtes doux à mon cœur amoureux;
Plus ie vois mes defauts & plus ie vous concempie y.	Plus Seigneur vois mes défauts et plus grands vous concempie y.
Plus j’admire.	Plus j'admire.
SCENE V.	SCÈNE V.
POLYEVCTE, PAVLINE, NEARQVE, STRATONICE, CLEON.	POLYEUCTE, PAULINE, NEARQUE, STRATONICE, CLEON.
CLEON.	CLEON.
Eigneur, Felix vous mande au Temple, La victime eſt choiſie & le peuple à genoux, Et pour ſacrifier on n’attend plus que vous.	Eigneur, Félix vous mande au Temple, La victime est choisie et le peuple à genoux, Et pour sacrifier on n'attend plus que vous.
POLYEVCTE.	POLYEUCTE.
Va, nous allons te ſuiure.	Va, nous allons te suivre.
Y veuez-vous, Madame?	Y vez-vous, Madame?
El duoy , vL	Él duoi , vL
PAVLINE.	PAULINE.
Seuere craint ma veuë, elle irrite ſa flame, Ie luy tiendray parole, & ne veux plus le voir.	Seuère craint ma vue, elle irrite sa flamme, Je te tiendrai parole, et ne veux plus le voir.
Adieu, vous l’y verrez, penſez à ſon pouuoir, Et vous reſſouuenez que ſa faueur eſt grande.	Adieu, vous l'y verrez, pensez à son pouvoir, Et vous ressouvenez que sa faveur est grande.
POLYEVCTE.	POLYEUCTE.
Allez, tour ſon credit n’a rien que j’apprehende, Et comme ie connoy ſa generoſité, Nous ne nous combatr ons que de ciuilité.	Allez, tour son crédit n'a rien que j'appréhende, Et comme ie connais sa générosité, Nous ne nous combatr ons que de civilité.
SCENE VI.	SCÈNE VI.
E.	E.
Poninvoln, NEARQVE, NEARQVE.	Poninvoln, NEARQUE, NEARQUE.
OV penſez-vous aller?	OU pensez-vous aller?
POLYEVCTE.	POLYEUCTE.
Au Temple où l’on m’appelle.	Au Temple où l'on m'appelle.
NEARQVE.	NEARQUE.
Quoy?	Quoi?
vous meſler aux vœux d’vne trouppe infidelle ?	vous mêler aux vœux d'une troupe infidèle ?
Oubliez-vous deſia que vous eſtes Chreſtien?	Oubliez-vous déjà que vous êtes Chrétien?
POLYEVCTE.	POLYEUCTE.
Vous par qui ie le ſuis, vous en ſouuient-il bien!	Vous par qui ici le suis, vous en souvient-il bien!
NEARQVE.	NEARQUE.
I’abhorre les faux Dieux.	J'abhorre les faux Dieux.
POLYEVCTE.	POLYEUCTE.
Et moy ie les detcſte.	Et moi ici les détste.
PIDIIRQVE.	PIDIIRQUE.
Ie tiens leur culte impie.	Je tiens leur culte impie.
FOLIEVCTE.	FOLIEUCTE.
Et ie le tiens funeſte.	Et ici le tiens funeste.
Fuyez donc leurs Autels.	Fuyez donc leurs Autels.
POLYEVCTE.	POLYEUCTE.
Ie les veux renuerſer Et mourir dans leur Temple, ou bien les en en chaſſer.	Je les veux renverser Et mourir dans leur Temple, ou bien les en en chasser.
Allons, mon cher Nearque, al ons aux yeux des hommes Brauer l’idolatrie & monſtrer qui nous ſommes, C’eſt l’attente du Ciel, il nous la faut remplir, Ie le viens de promettre, & ie vay l’accomplir noiſtre De cette occaſion qu’il a ſi toſt fait naiſtre, Où deſia ſa bonté preſte à me couronner 1 2 Daigne eſprouuer la foy qu’il vien de me donner.	Allons, mon cher Nearque, al ons aux yeux des hommes Braver l'idolâtrerie et montrer qui nous sommes, C'est l'attente du Ciel, il nous la faut remplir, Je le viens de promettre, et un vais l'accomplir naître De cette occasion qu'il a si tôt fait naître, Où déjà sa bonté preste à me couronner 1 2 Daigne éprouver la foi qu'il viens de me donner.
NEARQVE.	NEARQUE.
8° uNin V 29f1.	8 UIn V 29f1.
Ve SU Ce zele eſt trop ardent, ſouffcez qu’il ſe modere.	Ve SU Ce zèle est trop ardent, souffcès qu'il se modère.
C i	Ç y
POLYEVCTE.	POLYEUCTE.
On n’en peut auoir trop pour le Dieu qu’on reuere.	On n'en peut avoir trop pour le Dieu qu'on révère.
NEARQVE.	NEARQUE.
Vous trouuerez la mort.	Vous trouverez la mort.
TOMTNVCTE.	TOMTNCTE.
Ie la cherche pour luy.	Je la cherche pour mieux.
NENRQVE.	NENRQUE.
Et ſi ce cœur s’ébranſle?	Et si ce cœur s'ébranle?
POLIEVCTE.	POLIEUCTE.
Il ſera mon appuy.	Il sera mon appui.
NEARQVE.	NEARQUE.
Il ne tonmiande pome que rome fpiecipite.	Il ne tonmiande pome que rome fiècipite.
POLYEVCTE.	POLYEUCTE.
Plus elle eſt volontaire, & plus elle merite.	Plus elle est volontaire, et plus elle mérite.
NEARQVE.	NEARQUE.
M 2 Il ſuffit, ſans chercher, d’attendre & de ſouffrir.	M 2 Il suffit, sans chercher, d'attendre et de souffrir.
POLYEVCTE.	POLYEUCTE.
On iounte aucc legret quant on irole s’offrir.	On joute aucc légret quant on irole s'offrir.
xe NEARQVE.	xe NEARQVE.
Mais dans ce Temple eniin la mort eſt aſſeuPrée.	Mais dans ce Temple eniin la mort est asseuPrée.
POLYEVCTE.	POLYEUCTE.
Mais dans le Ciel deſia la palme eſt preparée.	Mais dans le Ciel déjà la palme est préparée.
EARQVE.	EARQUE.
Par vne ſaincte vie il la faut meriter.	Par une sainte vie il la faut mériter.
POLYEVCTE.	POLYEUCTE.
Mes crimes en viuant me le pourroient oſter, Pourquoy mettre au hazard ce que la mort aſſeure?	Mes crimes en vivant me le pourraient ôter, Pourquoi mettre au hasard ce que la mort assure?
Quand elle ouure le Ciel, peut elle ſembler dure ?	Quand elle ouvre le Ciel, peut elle sembler dure ?
Ie ſuis Chreſtien, Nearque, & le ſuis tout à fait, La foy que i’ay receuë aſpire à ſon effect, Qui fuit, croit lâchement, & n’a qu’vne foy morte.	Je suis Chrétien, Nearque, et le suis tout à fait, La foi que j'ai reçue aspire à son effet, Qui fuit, croit lâchement, et n'a qu'une foi morte.
12	12
NEARQVEb (MAPORAO Voyez que voſtra vie à Dieũ meſmes importe, vſuez pour proteger les Cnteſtiens en ces lieux.	NEARQUEb (MAPORAO Voyez que vostra vie à Die mêmes importe, usuez pour protéger les Cntestiens en ces lieux.
M0	M0
POLYEVCTE.	POLYEUCTE.
MaD 2 L’exemple de ma mort les lortifiera mieux,	MaD 2 L'exemple de ma mort les lortifiera mieux,
L NEBRQVE.	 LEBRQUE.
doda, taules done inodii s	doda, taules done inodi s
L POLYEVCTE.	 LOLYEUCTE.
Vous aymez donc à viure,	Vous aimez donc à vivre,
NEARQVE.	NEARQUE.
1 Ie ne puis déguiſer que i’ay peineta rous ſui 11 Sous l’horreur des tourmens ie crains de ſuccomber.	1 Je ne puis déguiser que j'ai peineta rous zvi 11 Sous l'horreur des tourments tu crains de succomber.
A	À
POLYEVGTE.	POLYEUGTE.
Qui marche aſſeurément n’a point peur de tomber.	Qui marche assurément n'a point peur de tomber.
0 E11 P113 Dieu fait part au beſoin de ſa force infinie, Qui craint de le nier dans ſon ame le nie, Il croit le pouuoir faire, & doute de ſa foy.	0 E1 P13 Dieu fait part au besoin de sa force infinie, Qui craint de le nier dans son âme le nie, Il croit le pouvoir faire, et doute de sa foi.
NEAR QVE.	NEAR QUE.
IS.	IS.
Qui n’apprehende tien preſume trop de ſoy.	Qui n'appréhende tien présume trop de soi.
POLYEVCTE.	POLYEUCTE.
11 I’attens tout de ſa grace & rien de ma foibleſſe, Mais loin de me preſſer il faut que ie vous preſſe, D’où vient cette froideur?	11 J'attends tout de sa grâce et rien de ma faiblesse, Mais loin de me presser il faut que je vous presse, D'où vient cette froideur?
NEARQVE.	NEARQUE.
Dieu melme a craint la mort.	Dieu melme a craint la mort.
POLXEVCTE.	POLXEUCTE.
1 *E Il s’eſt offert, pourtant, fuiuons ce ſainct eſfort.	1 *E Il s'est offert, pourtant, suivons ce saint éfort.
Dreſſons-luy des Autels ſur des monceaux d’Idoles, Il faut ( ie me ſouuiens encor de vos paroles) Negliger pour luy plaire, & femme, & biens, & rang Expoſer pour ſa gloire & verſer tout fon ſang.	Dressons-lui des Autels sur des monceaux d'Idoles, Il faut ( ie me souviens encor de vos paroles) Négliger pour lui plaire, et femme, et biens, et rang Exposer pour sa gloire et verser tout son sang.
Helas!	Hélas!
qu’auez vous fait de cette amour parfaite i nu Que vous me ſouhaitiez & que ie vous ſouhaite?	qu'avez -vous fait de cette amour parfaite y ju Que vous me souhaitiez et que personne vous souhaite?
S’il vous en reſte encor, n’eſtes-vous point jaloux  Qu'à grand peine Chreſtien i’en monſtre plus que vous?	S'il vous en reste encor, n'êtes-vous point jaloux Qu'à grand peine Chrétien j'en montre plus que vous?
NEARQVE.	NEARQUE.
Vous ſortez du Bapteſme, & ce qui vous anime  C’eſt ſa grace qu’en vous n’affoiblit aucun ctime, 221 Comme encor toute entiere elle agit pleinement.	Vous sortez du Baptême, et ce qui vous anime C'est sa grâce qu'en vous n'affaiblit aucun ctime, 221 Comme encor toute entière elle agit pleinement.
Et tout ſemble poſſible à ſon feu vehement:	Et tout semble possible à son feu véhément:
Mais cette meſme grace en moy diminuée.	Mais cette même grâce en moi diminuée.
Et par mille pechez ſans ceſſe extenuée:	Et par mille péchés sans cesse extenuée:
Agit aux grands effets auec tant de langueur Que tout ſemble impoſſible à ſon peu de vigueur.	Agit aux grands effets était tant de langueur Que tout semble impossible à son peu de vigueur.
Cette indigne molleſſe, de ces laenes deremeu Sont des punitions qu’attirent mes offenſes, Mais Dieu dont on ne doit iamais ſe deffier Me donne voſtre exemple à me fortifier, Allons cher Polyeucte, allons aux yeux des hommes Brauer l’idolatrie & monſtrer qui nous ſommes, Puiſſay-je vous donner l’exemple de louffrir Comme vous me donnez celuy de vous offrir.	Cette indigne mollesse, de ces laères deremeu Sont des punitions qu'attirent mes offenses, Mais Dieu dont on ne doit jamais se défier Me ie vôtre exemple à me fortifier, Allons cher Polyeute, allons aux yeux des hommes Braver l'idolâtrie et montrer qui nous sommes, Puissai-je vous donner l'exemple de louffrir Comme vous me donnez celui de vous offrir.
POLYEVCTE.	POLYEUCTE.
A cét heureux tranſport que le Ciel vous enuoye, Ie reconnoy Nearque & i’en pleure de joye:	À cet heureux transport que le Ciel vous envoie, Je reconnoi Nearque et j'en pleure de joie:
Ne perdons plus le temps, le ſacrifice eſt preſt, Allons-y du vray Dieu ſouſtenir l’intereſt, Allons fouler aux pieds ce foudre ridicule Dont arme vn bois pourry ce peuple trop credule, 2 i Allons en éclairer l'aueugle ment fatal, Allons briſer ces Dieux de pierre & de metal, Abandonnons nos iours à cette ardeur celeſte, Faiſons triompher Dieu, qu’il diſpoſe du reſte	Ne perdons plus le temps, le sacrifice est prêt, Allons-y du vrai Dieu soutenir l'intérêt, Allons fouler aux pieds ce foudre ridicule Dont arme un bois pourri ce peuple trop crédule, 2 y Allons en éclairer l'aveugle ment fatal, Allons briser ces Dieux de pierre et de métal, Abandonnons nos jours à cette ardeur celeste, Faisons triompher Dieu, qu'il dispose du reste
