2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
Car iamais la vertu ne range ſon eſſence Où ce monſtre viſible a loge ſa puiſſance;	Car jamais la vertu ne range son essence Où ce monstre visible à loge sa puissance;
Elle peut nous bleſſer, & non pas nous guerir, Si ce n'est d’vn remede à nous faire mourir, Il eſt dans ſon pouuoir de hayr à l’extreſme, Mais elle ne ſçauroit nous monſtrer comme elle aime;	Elle peut nous blesser, et non pas nous guérir, Si ce n'est d'un remède à nous faire mourir, Il est dans son pouvoir de haïr à l'extrême, Mais elle ne saurait nous montrer comme elle aime;
La conſtance auprez d’elle a perdu ſon renom, Il n'en reſte plus rien ſeulement que le nom:	La constance auprez d'elle a perdu son renom, Il n'en reste plus rien seulement que le nom:
Qu'autrefois on a ven des Amantes fidelles, De qui les cruaurez n’eſtoient iamais rebelles:	Qu'autrefois on a ven des Amantes fidèles, De qui les cruaurez n'étaient jamais rebelles:
Heureux ce ſiecle d’or, où la fidelité Debattoit de ſon prix auecque la beauté, L’ame eſtoit dans les yeux, & ſa pudique flamms Nous marquoit la vertu dans le teint d'vne Dame, Les parolles eſtoient le ſens des veritez, Et non pas vne embuſche à des pudicitez, L’amour domptoit l’amour, & ſes plus belles forces Prenoient de la raiſon ſes meilleures amorces:	Heureux ce siècle d'or, où la fidélité Débattait de son prix avec la beauté, L'âme était dans les yeux, et sa pudique flamms Nous marquait la vertu dans le teint d'une Dame, Les paroles étaient le sens des vérités, Et non pas une embûche à des pudicités, L'amour domptait l'amour, et ses plus belles forces Prenaient de la raison ses meilleures amorces:
L’honneur eſtoit touſiours le Roy des actions, La iouyſſance eſtoit le prix des paſsions, Mais auiourd’huy l’on voit autrement que jadis, Les mœurs ſont ennemis de tour ce que ie dis, L’amour est corrompu par ſa propre puiſſance, On ne recognoist plus la loy de l’innocence;	L'honneur était toujours le Roi des actions, La jouissance était le prix des passions, Mais aujourd'hui l'on voit autrement que jadis, Les mœurs sont ennemis de tour ce que je dis, L'amour est corrompu par sa propre puissance, On ne reconnaît plus la loi de l'innocence;
La femme a tout perdu, c'est elle dont l’orgueil Ne ſceut tamais apprendre à faire vn bon accueil, Sa paſsion la tuë, außi bien que les hommes, La femme ne vaur rien dans le ſiecle où nous ſommex	La femme a tout perdu, c'est elle dont l'orgueil Ne sut tamais apprendre à faire un bon accueil, Sa passion la tue, aussi bien que les hommes, La femme ne vaur rien dans le siècle où nous sommex
Alcidor, riual de Filandre.	Alcidor, rival de Filandre.
Que la femme eſt vn bien qui nous donne de biens, Que te trouue de gloire à cherir ſes liens;	Que la femme est un bien qui nous donne de biens, Que te trouve de gloire à chérir ses liens;
Ce ſexe glorieux eſt ennemy du vice, Le cœur Ra ſon amour qu'auec vn ſacrifice, L’ame n’a rien de beau qu’auprez de ſes beautez, L'eſclat de ſes vertus luyt aux fidelitez, Son ame a des treſors qui font les renommees, Et les traits de ſon corps des beautez antmees, Elle a droict de bleſſer, mais c’est ſi doucement, Tu'vn Amant n’oſeroit s’en plaindre ſeulement?	Ce sexe glorieux est ennemi du vice, Le cœur Ra son amour qu'avec un sacrifice, L'âme n'a rien de beau qu'auprez de ses beautés, L'éclat de ses vertus luit aux fidélités, Son âme a des trésors qui font les renommées, Et les traits de son corps des beautés antmées, Elle a droit de blesser, mais c'est si doucement, Tu'un Amant n'oserait s'en plaindre seulement?
Elle honore les vœux, elle atme le merite;	Elle honore les vœux, elle atme le mérite;
En vn mot, il fait bon adorer Agaritce, Agaritte, ah beau nom!	En un mot, il fait bon adorer Agaritce, Agaritte, ah beau nom!
Filandre.	Filandre.
Agaritte c’eſt moy Qui vespire le iour deſſous ſa belle loy, Milles langues m'ont dit qu'elle trahit mon ame,	Agaritte c'est moi Qui vespire le jour dessous sa belle loi, Milles langues m'ont dit qu'elle trahit mon âme,
E iij	 Ejà
LES PASSONS Ie ſçay que ſon meſpris ſe mocque de ma flamme;	LES PASSONS Je sais que son mépris se moque de ma flamme;
La force de mon feu ne ſçait point de raiſon Qui me face cherir ce dangereux poiſon:	La force de mon feu ne sait point de raison Qui me face chérir ce dangereux poison:
Mais vn mal neceſſaire ou s’attache ma vie Triomphe des rigueurs où triomphe l’enuie, Rien ne choßque ſi fort vn courage amoureux Qu'alors que ſon malheur voit ſon riual heureux, Le deſeſpoir le tuë, & l’amour qui le preſſe Commence à carreſſer la fureur, ſa Maiſtreſſe;	Mais un mal nécessaire ou s'attache ma vie Triomphe des rigueurs sa triomphe l'envie, Rien ne chossque la fort un courage amoureux Qu'alors que son malheur voit son rival heureux, Le désespoir le tue, et l'amour qui le presse Commence à carresser la fureur, sa Maîtresse;
L’honneur flatte nos ſens auecque tant d’appas Qu’il faut auoir ſa vie, ou bien ne viure pas;	L'honneur flatte nos sens auecque tant d'appas Qu'il faut avoir sa vie, ou bien ne vivre pas;
La paſsion aueugle, & la vengeance picque Iuſqu’aux extremitez d’vn ef prit freneticque, Quelque amour apparent où ſoit peint le malheur Les larmes, les ſouspirs, la flamme, la douleur, Ne ſont point les ſujets de noffre repentance, Nous honorons touſiours le vœu de la conſtance;	La passion aveugle, et la vengeance picque Jusqu'aux extrémités d'int le malheur freneticque, Quelque amour apparent où soit peint le malheur Les larmes, les soupirs, la flamme, la douleur, Ne sont point les sujets de noffre repentance, Nous honorons toujours le vœu de la constance;
On est le plus ſouiient ce qu’on ne penſe pas, Le ſouuenir d’vn Ange a touſioups des appas:	On est le plus souiient ce qu'on ne pense pas, Le souvenir d'un Ange a tousioups des appas:
Les Deitez ont fait des traits & de la flamme Pour marier nos ſens a la beauté de l’ame, On adore touſiours ce qui n’est pas humain Quand la grace d’amour l’a crée de ſa main:	Les Ditez ont fait des traits et de la flamme Pour marier nos sens a la beauté de l'âme, On adore toujours ce qui n'est pas humain Quand la grâce d'amour l'a crée de sa main:
Et puis de ſe venger foy-meſme ſur ſoy-meſme;	Et puis de se venger foi-même sur soi-même;
De forger de la haine auecque ce qu'en aime, Se venger d’vne fille, & punir vn enfant, C’eſt vne cruauté que l’amour nous defend.	De forger de la haine avec ce qu'en aime, Se venger d'une fille, et punir un enfant, C'est une cruauté que l'amour nous défend.
Alcidor.	Alcidor.
38 La fureur d’vn Amant ſe feindra des menſonges, Quand il voit ſes malheurs, il croit que ſont des sõges, Il croit que le trespas est la fable des Cieux;	38 La fureur d'une Amant se feindra des mensonges, Quand il voit ses malheurs, il croit que sont des sièges, Il croit que le trépas est la fable des Cieux;
Enfin il ne veut pas croire à ſes propres yeux, L'Aniour vous à reduit à des choſes pareilles, Vous croiez que pour vous il a fait des merueilles, Er iamais ſon couroux n'affligea des Amans Au point ou ſont reduits vos meſcontentemens?	Enfin il ne veut pas croire à ses propres yeux, L'Anjour vous à réduit à des choses pareilles, Vous croyez que pour vous il a fait des merveilles, Er jamais son courroux n'affligea des Amants Au point ou sont réduits vos mécontentements?
Vous auez des ſujets de hayr vostre vie Au prix de vos malheurs, ie ſuis digne d’enuie Sans le contentement que donne l’amitié, Voſtre plus, grand bon-heur me peur faire pitié, Vous auez pis que peſte, & vostre rage extreſme Aura pis que la mort, & n'aura que moy-meſme:	Vous avez des sujets de haïr Seigne ur Au prix de vos malheurs, je suis digne d'envie Sans le contentement que donne l'amitié, Votre plus, grand bonheur me peur faire pitié, Vous avez pis que peste, et votre rage extrême Aura pis que la mort, et n'aura que moi-même:
Ie poſſede Agaritte, & nul autre que moy Ne peut, ſans m'offenſer, aspirer à ſa foy, Elle adore vne loy que mon ante a tracee, Tout ce que ie vous dis n'eſt rien que ſa penſee;	Je possède Agaritte, et nul autre que moi Ne peut, sans m'offenser, aspirer à sa foi, Elle adore une loi que mon ante a tracée, Tout ce que je vous dis n'est rien que sa pensée;
Et fi ſon inconstance a droict de vous quitter, Ceſt a cauſe dvn mal qu'elle veut euiter, Et pour aimer vn bien où ſa belle malice A fait vne vertu de ce qui fut vn vice:	Et fi son inconstance a droit de vous quitter, Cest a cause dvn mal qu'elle veut éviter, Et pour aimer un bien où sa belle malice A fait une vertu de ce qui fut un vice:
Filandre.	Filandre.
Agaritte t'a-t’elle aime iuſqu’à ce point:	Agaritte t'a-t-elle aime jusqu'à ce point:
Mais c’eſt vouloir ſça.	Mais c'est vouloir Roma.
oir ce que tane ſçais point, On ne ſçauroit cognoiſtre à lesprit d’vne femme Si ſon cœur eſt pour nous ou de glace on de flamme, ---- -O -- --- D O 32232 jaes linesailt	oir ce que tane sais point, On ne saurait connaître à lesprit d'une femme Si son cœur est pour nous ou de glace on de flamme, -- -Ô -- -- Ô 32232 jaes linesailt
Alcydor.	Alcidor.
Ie ſuis l'adorateur des beautez d’Agaritte, Si la perfection compoſe ſon merite, Ma conſtance est vn bien à qui rien n’eſt pareil, Elle ne perira qu'auecque le Soleil;	Je suis l'adorateur des beautés d'Agaritte, Si la perfection compose son mérite, Ma constance est un bien à qui rien n'est pareil, Elle ne périra qu'avec le Soleil;
Ie ne conſens iamats qu'’vne flamme eternelle Pour honorer le prix que ie veux faire d’elle, Ie ne me vante pas d’aimer ſi promptement:	Je ne consens jamats qu'une flamme éternelle Pour honorer le prix que ie veux faire d'elle, Je ne me vante pas d'aimer si promptement:
Mais quand ie l’ay promis, i’aime eternellement, Et ſi vous n'aspirez à faire l'impoſsible, Il faut que vous ceſsiez de faire le ſenſible,	Mais quand ici l'ai promis, j'aime éternellement, Et si vous n'aspirez à faire l'impossible, Il faut que vous cessiez de faire le sensible,
Filandre.	Filandre.
Et quoy, te ſuis reduit à cherir mes ennuys, Ie croiray deſormais que les tours ſont des nuits, Il faut que i'applaudiſſe à mon propre ſupplice, te pe rauore le mat que die jatt la malicr, Voſtre cœur & le mien ne peuuent pas s’vnir, Vous estes criminel, voilà dequoy punir.	Et quoi, te suis réduit à chérir mes ennuis, Je croirai désormais que les tours sont des nuits, Il faut que j'applaudisse à mon propre supplice, te pe ravore le mat que die jat la malicr, Votre cœur et le mien ne peuvent pas s'unir, Vous êtes criminel, voilà dequoy punir.
Alcydor l’eſpee à la main.	Alcidor l'épée à la main.
Mais i’abuſe d’amour en hazardant ma vie Pour vne dont les yeux me l’ont d’eſia raute, Non, non, ie reſve encor en ma premiere erreur, La patience doit aboutir en fureur, Ie ne puis me reſoudre au titre d’infidelle, I’aime mieux me hayr que d’estre ennemy d’elle.	Mais j'abuse d'amour en hasardant ma vie Pour ra dont les yeux me l'ont d'esia raute, Non, non, ie resve encor en ma première erreur, La patience doit aboutir en fureur, Je ne puis me résoudre au titre d'infidèle, J'aime mieux me haïr que d'être ennemi d'elle.
Filan	Filan
Filandre.	Filandre.
Tout-beau, couuez vn peu cette chaleur de foix, Il faut que la raiſon iouyſſe de ſes loix, L'Amour ne ſe plaist pas aux actions cruelles, On n’oſte point là vie aux choſes immortelles, Et puiſque la beauté dont i’eſtois amoureux M’a rendu miſerable en vous faiſant heureux, I'ay droict d’eſtre volage außi bien que ma Dame, i ie trahis ſon cœur elle a trahy mon ame, t ie croy que le Ciel m'eſt vn peu rigoureux fin de m'empeſcher d’eſtre trop malheureux:	Tout-beau ma couuez un peu cette chaleur de foix, Il faut que la raison iouysse de ses aux, L'Amour ne se plaît pas aux actions cruelles, On n'ôte point là vie aux choses immortelles, Et puisque la beauté dont j'étais amoureux M'a rendu misérable en vous faisant heureux, J'ai droit d'être volage aussi bien que ma Dame, j' ai trahis son cœur elle a trahi mon âme, t ue croy que le Ciel m'est un peu rigoureux fin de m'empêcher d'être trop malheureux:
ais où ſont les ſoupçons que la haine euſt fait nuiſtre ans la fidelité qu’elle faiſoit cognoistre?	ais où sont les soupçons que la haine eût fait nuistre ans la fidélité qu'elle faisait connaître?
ous auons tant paſſé de temps à deſcouurir ui des deux eust voulu pour ſoy-meſme mourir, ue ie dois ignorer en ce malheur extreſme Ila faeſe doit moprir eue-mojme , amais ie n’approché des beautez de ſa face ans la faire rougir de reſpect & d’Amour.	ous avons tant passé de temps à découvrir ui des deux eût voulu pour soi-même mourir, ue ie dois ignorer en ce malheur extrême Ila faese doit moprir eue-mojme , amais ie approché des beauté de sa face ans la faire rougir de respect et Amour.
Aſcydor.	Ascidor.
Ce n’eſtoit qu’vnſujet de haine & de diſgrace, ommor gamrort amnguonupprochant du iour.	Ce n'était qu'vnsujet de haine et de disgrâce, ommor gamrort amnguonupprochant du jour.
Filandre.	Filandre.
Vn iour elle monstra ſon amour en des roſes u’elle iettoit à bas afin de m’œillader.	Un jour elle montra son amour en des roses elle iettoit bas afin de œillader.
Alcydor.	Alcidor.
c’eſt ainſi qu’vn agneau quitteroit toutes choſes Pour euiter le loup, qu'il doit apprehender.	c'est ainsi qu'un agneau quitterait toutes choses Pour éviter le loup, qu'il doit appréhender.
Filandre.	Filandre.
I'ay veu cent fois ſa main proche cette fontains ame teller in pen à caupar amour e par teu	J'ai vu cent fois sa main proche cette fontains âme teler in pen à caupar amour par teu
Alcydor.	Alcidor.
Qu'elle eſtoit charitable en ſe donnant la peine D'esteindre auec l’eau l’ardeur de voſtre feu;	Qu'elle était charitable en se donnant la peine D'éteindre avec l'eau l'ardeur de votre feu;
Cejriuupque Diane aimant Endymion Amortit en nageant les flammes d’Acteon.	Céjrivupque Diane aimant Endymion Amortit en nageant les flammes d'Acteon.
Filandre.	Filandre.
Quand mon cœur ſouſpiroit enl'honeur de ſes charmes Son ame tremblotoit d’amour & de pitté.	Quand mon cœur soupirait enl'honeur de ses charmes Son âme tremblotait d'amour et de pitté.
Alcydor.	Alcidor.
Il faut croire plutoſt que c’eſtoient des allarmes Que luy donnoit la peur d’auoir voſtre amytié.	Il faut croire plutôt que c'étaient des alarmes Quetaît donnait la peur d'avoir votre amitié.
E liarldlee Si vous me reueliez les faueurs que vos flammes Ont receu de ſon cœur, i'en dirois comme vous.	E liarldlee Si vous me révéliez les faveurs que vos flammes Ont reçu de son cœur, j'en dirais comme vous.
Alcydor.	Alcidor.
Diuulguer vn ſecret, c’eſt à faire à des ames Qui prennent du plaiſir à faire des jalous;	Divulguer un secret, c'est à faire à des âmes Qui prennent du plaisir à faire des jalous;
On n'a point de franciſe à qui l'experience?	On n'a point de francise à qui l'expérience?
Declare les ſecrets de noſtre conſcience:	Declare les secrets de notre conscience:
