A v	À v
Et que nous recueillons les fruicts Des peines que vous auez priſes.	Et que nous recueillons les fruits Des peines que vous avez prises.
Nos ports ſont libres, nos rempars Sont aſſeureZ de toutes pars, Picorans iuſqu’au bout du monde:	Nos ports sont libres, nos rempars Sont assurés de toutes pars, Picorants jusqu'au bout du monde:
Si nos victorieux nochers, Trouuent des ennemis ſur l’onde, Ce ſont les vents, & les rochers.	Si nos victorieux nochers, Trouvent des ennemis sur l'onde, Ce sont les vents, et les rochers.
Ainſi ta gent victorieuſe, Deſſus la tombe glorieuſe Des braues dont tu fus le chef:	Ainsi ta gent victorieuse, Dessus la tombe glorieuse Des braves dont tu fus le chef:
Maurice vante ta proüeſſe, Et dans les pleurs de ſon méchef Verſe des larmes de lieſſe.	Maurice vante ta prouesse, Et dans les pleurs de son mèches Verse des larmes de liesse.
Toy ſeul grand Prince, és le vainqueur:	Toi seul grand Prince, ès le vainqueur:
Car ſi les tiens montrent du cœur Tout ce qui les y fait reſoudre Sont tes yeux, dont le feu reluit Dans le ſang, & parmy la poudre, Comme aux orages de la nuict Brillent les flammes de la foudre.	Car si les tiens montrent du cœur Tout ce qui les y fait résoudre Sont tes yeux, dont le feu reluit Dans le sang, et parmi la poudre, Comme aux orages de la nuit Brillent les flammes de la foudre.
Sans toy qui ne deuoit douter, Que ce peuple au lieu de gouſter La douceur d’vn repos durable, De ſa foible rebellion, Retomboit plus miſerable En la vengeance du Lion?	Sans toi qui ne devait douter, Que ce peuple au lieu de goûter La douceur d'un repos durable, De sa faible rébellion, Retomboit plus misérable En la vengeance du Lion?
La liberté qu’on a veu naiſtre Du grand Mars, dont tu pris ton eſtre, Apres luy veufue de ſupport, Si tu n’euſſes eſté ſon frere:	La liberté qu'on a vu naître Du grand Mars, dont tu pris ton être, Après avoir veuve de support, Si tu n'eusses été son frère:
Par quel ſecours que de la mort, Esperoit elle ſe défaire	Par quel secours que de la mort, Espérait -elle se défaire
Des mains d’vn ennemy ſi fort?	Des mains d'un ennemi si fort?
Tu l’arrachas du precipice, Faiſant voir que tout eſt propice A qui tu daignes ſecourir, Et qu’ayant ton deſtin pour elle, Parce que tu ne pe x mourir, La liberté n'eſt pas mortelle.	Tu l'arrachas du précipice, Faisant voir que tout est propice A qui tu daignes secourir, Et qu'ayant ton destin pour elle, Parce que tu ne pe mourir, La liberté n'est pas mortelle.
Mais que pour te deïfier, Il te f lut ſacrifier De ſon ſang au tenebreux Monarque:	Mais que pour te défier, Il te f lut sacrifier De son sang au ténébreux Monarque:
Que pour épargner le denier Qu’on paye aux riues de la Parqua, Tu fis riche le nautonnier Qui conduit la mortelle barque:	Que pour épargner le denier Qu'on paye aux rives de la Parqua, Tu fis riche le nautonnier Qui conduit la mortelle barque:
Hercule à qui les immortels Ont donné rang à leurs Autels, N’a pas mieux merité ſa feſte, Et ſi le ſort l’euſt aſſailli Des forces qu’il i’a mis en teſte, Il euſt ſans doute deffailli.	Hercule à qui les immortels Ont donné rang à leurs Autels, N'a pas mieux mérité sa fête, Et si le sort l'eût assailli Des forces qu'il j'a mis en tête, Il eût sans doute défailli.
Oſtande où les ſ'ldats d’Ibere, En riant de voſtre miſere, Pleuroient la cauſe de la leur:	Ôtande où les s'ldats d'Ibère, En riant de votre misère, Pleuraient la cause de la leur:
Voyant le ſort qui t’accompagne Vendre tant meſme le malheur, A creu que le demon d’Eſpaigne S’entend auecques ta valeur.	Voyant le sort qui t'accompagne Vendre tant même le malheur, À cru que le démon d'Espagne S'entend auecques ta valeur.
Les ans qu’on mit pour ſes ruynes Furent les iours dont tes machines Regaignerent vn plus beau lieu:	Les ans qu'on mit pour ses ruines Furent les jours dont tes machines Regagnèrent un plus beau lieu:
Et c’eſt ainſi que tes iournees, Comme on les conte pour vn Dieu, Ualent autant que des annees.	Et c'est ainsi que tes journées, Comme on les compte pour un Dieu, Ualent autant que des années.
A Nuiport où ton œil charmoit La frayeur, & la deſarmoit, On vit Bellone au ſang trempee Dans le choc ſe precipiter, Et par fois qu'elle eſtoit frappee, Au lieu de Mars & Iupiter Ne reclamer que ton épee.	À Nuiport où ton œil charmait La frayeur, et la désarmait, On vit Belone au sang trempée Dans le choc se précipiter, Et par fois qu'elle était frappe, Au lieu de Mars et Jupiter Ne réclamer que ton épée.
Aux coups que le Canon tiroit, Le Ciel de peur ſe retiroit, La mer ſe veid toute allumee, Les aſtres perdirent leur rang, L’air s’eſtouffa de la fumee, La terre ſe noya de ſang.	Aux coups que le Canon tirait, Le Ciel de peur se retirait, La mer se vit toute allumée, Les astres perdirent leur rang, L'air s'étouffa de la fumée, La terre se noya de sang.
Parmy la nuict de ces tumultes Quelque grand Dieu que tu conſultes, Alors que tout ſemble perir, Vint aux coups à fin de te ſuiure Sans beſoin de te ſecourir:	Parmi la nuit de ces tumultes Quelque grand Dieu que tu consultes, Alors que tout semble périr, Vint aux coups à fin de te suivre Sans besoin de te secourir:
Car pour ne t’empeſcher de viure, La Parque auroit voulu mourir.	Car pour ne t'empêcher de vivre, La Parque aurait voulu mourir.
L’ennemy battu ſans retraite, N'auoit au bout de ſa deffaite Que ta clemence pour ſupport:	L'ennemi battu sans retraite, N'avait au bout de sa défaite Que ta clémence pour support:
Ainſi par fois aprés l’orage, Les nochers ont trouué leur part, Sur les rochers de leur naufrageA bien chanter tant de combats, Où iamais tu ne ſuccombas, Ie voudrois conſacrer mes veilles:	Ainsi par fois après l'orage, Les nochers ont trouvé leur part, Sur les rochers de leur naufrageA bien chanter tant de combats, Où jamais tu ne succombas, Je voudrais consacrer mes veilles:
Mais ton eſprit trop retenu, Se faſcheroit à tes oreilles, Si ie l’auois entretenu De la moindre de tes merueilles.	Mais ton esprit trop retenu, Se fâcherait à tes oreilles, Si ie j'avais entretenu De la moindre de tes merveilles.
Auſſi bien n’eſt-il pas beſoin, Que mon Poëme ſoit teſmoin De tes exploicts ſi manifeſtes:	Aussi bien n'est-il pas besoin, Que mon Poème soit témoin De tes exploits si manifestes:
Car quelque part qu’on puiſſe aller, Si quelqu’vn n’a point veu tes geſtes, Il en a bien oüy parler.	Car quelque part qu'on puisse aller, Si quelqu'un n'a point vu tes gestes, Il en a bien ouï parler.
L’horiſon de la gent ſauuage N’a point de mont ny de riuage Où ne ſoit adoré ton los, Que dans ton nom l’Hyperboree A faict voir à nos mattelots, Haut eſcrit en lettre-doree Sur le ſer de ſes iauelots.	L'horizon de la gent sauvage N'a point de mont rien de rivage Où ne soit adoré ton los, Que dans ton nom l'Hyperboree A fait voir à nos mattelots, Haut écrit en lettre-dorée Sur le serve de ses jauelots.
Puis que ſa gloire eſt accomplie, Grands deſtins ie ne vous ſupplie, Que de faire continuer L’houneur où ie le vois paroiſtre Sans le faire diminuer, Quand vous ne le pouuez accroiſtre:	Puis que sa gloire est accomplie, Grands destins je ne vous supplie, Que de faire continuer L'houneur où deux le vois paraître Sans le faire diminuer, Quand vous ne le pouvez accroître:
Mais le Ciel que tu dois orner, Maurice taſche de borner Le fil ſacré de tes iournees:	Mais le Ciel que tu dois orner, Maurice tâche de borner Le fil sacré de tes journées:
Il t’a dés-ia marqué le lieu Où tu dois aprés cent annees, Aſſis vn peu plus bas que Dieu, Fouler aux pieds les deſtinees.	Il t'a déjà marqué le lieu Où tu dois après cent années, Assis un peu plus bas que Dieu, Fouler aux pieds les destinées.
Les Muſes en m’ouurant les Cieux, M’ont faict voir que ces demi-dieux A qui la terre faict offrande:	Les Muses en m'ouvrant les Cieux, M'ont fait voir que ces demi-dieux À qui la terre fait offrande:
Fors le bien de ton amitié, N'ont point felicité ſi grande, Qui ne te peut faire pitié.	Fors le bien de ton amitié, N'ont point félicité si grande, Qui ne te peut faire pitié.
Les aſtres dont la bien-vueillance Se ſent forcer de ta vaillance, Sont appreſtez pour t’accueillir:	Les astres dont la bienveillance Se sent forcer de ta vaillance, Sont apprêtez pour t'accueillir:
Dés-ja leur ſplendeur t’enuironne, Dieu comme fleurs les vient cueillir, Pour t’en donner vne cou oune Qui ne pourra iamais vieillir.	Déjà leur splendeur t'environne, Dieu comme fleurs les vient cueillir, Pour t'en donner une cou oune Qui ne pourra jamais vieillir.
AV DVC DE LVYNES	AU DUC DE LUYNES
DE.	DE.
* Criuains touſiours empeſchez HAprés des matieres indignes, Coulpables d’autant de pechez, Que vous auez noirci de lignes, Ie m’en vay vous apprendre icy, Quel deuſt eſtre voſtre ſoucy, Et deſſus les iuſtes ruines De vos ouurages criminels, Auecques des vers eternels Peindre l’image de Luynes.	* Crivains toujours empêchés HAprès des matières indignes, Coulpables d'autant de péchés, Que vous avez noirci de lignes, Je m'en vais vous apprendre ici, Quel deust être vôtre souci, Et dessus les justes ruines De vos ouvrages criminels, Avecques des vers éternels Peindre l'image de Luynes.
Ie confeſſe qu’en me taiſant D'vne ſi glorieuſe vie, Ie n’eſtois rendu complaiſant Aux iniuſtices de l’enuie, Et meritois bien que le Roy En ſuitte du premier effroy, Dont me fit pâlir ſa menace, M'euſt fait ſentir les cruautez Qu’on ordonne aux déloyautez, Qui n’ont point merité de grace.	Je confesse qu'en me taisant D'une si glorieuse vie, Je n'étais rendu complaisant Aux injustices de l'envie, Et méritais bien que le Roi En suite du premier effroi, Dont me fit pâlir sa menace, M'eût fait sentir les cruautés Qu'on ordonne aux déloyautés, Qui n'ont point mérité de grâce.
A qui plus iuſtement qu’a luy, Se doiuen nos ſainctes loüanges?	À qui plus justement qu'a mieux, Se doiven nos saintes langes?
Quel des humains voit auiourd’huy	Quel des humains voit aujourd'hui
Ceux que le Ciel d’vn iuſte choix Fait entrer dans l’ame des Roys, Ils ne ſont plus ce que nous ſommes, Et ſemblent tevir vn milieu Entre la qualité de Dieu, Et la condition des hommes.	Ceux que le Ciel d'un juste choix Fait entrer dans l'âme des Rois, Ils ne sont plus ce que nous sommes, Et semblent tevir un milieu Entre la qualité de Dieu, Et la condition des hommes.
Vn chacun les doit eſt mer, Ainſi qu’vn Ange tutelaire, La vertu c’eſt de les aymer, L’innocence eſt de leur complaire:	Un chacun les doit est mer, Ainsi qu'un Ange tutélaire, La vertu c'est de les aimer, L'innocence est de leur complaire:
Les mouuemens de la bonté C’eſt proprement leur volonté, Les ſuiure c’eſt fuyr le vice, Bien viure c'eſt les imiter, Et ce qu’on nomme meriter, C’eſt de mourir pour leur ſeruice.	Les mouvements de la bonté C'est proprement leur volonté, Les suivre c'est fuir le vice, Bien vivre c'est les imiter, Et ce qu'on nomme mériter, C'est de mourir pour leur service.
Grand Duc que toutes les vertus Recommandent à noſtre eſtime, Et que les vices abattus Tiennent pour vainqueur legitime, Benits ſoient par tout l’vniuers Les doctes & les ſages vers, Où ta gloire ſera ſemee, Et iamais ne ſoient innocens, Ceux qui refuſeront l’encens Aux Autels de ta renommee.	Grand Duc que toutes les vertus Recommandent à notre estime, Et que les vices abattus Tiennent pour vainqueur légitime, Bénits soient par tout l'vniuers Les doctes et les sages vers, Où ta gloire sera semée, Et jamais ne soient innocents, Ceux qui refuseront l'encens Aux Autels de ta renommée.
Un nombre d’eſprits furieux De ta proſperité s’irrite, Et fait dés querelles aux Cieux, Pour auoir payé ton merite:	Un nombre d'esprits furieux De ta prospérité s'irrite, Et fait dès querelles aux Cieux, Pour avoir payé ton mérite:
Appaiſez vous foibles mutins, En deſpit de vous les Deſtins	Apaisez -vous faibles mutins, En dépit de vous les Destins
Luy ſeront a iamais propices, Puis que mon Prince en prend le ſoing SçacheZ que ſa fortune eſt loing Du naufrage & des precipices.	Lui seront a jamais propices, Puis que mon Prince en prend le soing Sachez que sa fortune est loin Du naufrage et des précipices.
Si ſon ame eſtoit ſans appas, Si ſa valeur eſtoit ſans marques, Et que ſa vertu ne fuſt pas Neceſſaire auprés des Monarques, On pourroit auec moins de tort Blâmer ſon fauorable ſort:	Si son âme était sans appas, Si sa valeur était sans marques, Et que sa vertu ne fût pas Navecessaire auprès des Monarques, On pourrait a moins de tort Blâmer son favorable sort:
Mais toutes nos ingratitudes S’accorderont à confeſſer Que ſa prudence a faict ceſſer La honte de nos ſeruitudes.	Mais toutes nos ingratitudes S'accorderont à confesser Que sa prudence a fait cesser La honte de nos servitudes.
Quand le Ciel parmy nos dangers, Auoit horreur de nos prieres, Que les yeux des plus eſtrangers Donnoient des pleurs à nos miſeres, Quand nos maux alloient iuſqu’au bout, Que l’eſtat ébranlé par tout Eſtoit preſt à changer de maiſtre, Il fiſt mourir noſtre douleur, Et perdre eſperance au mal-heur De la faire iamais renaiſtre.	Quand le Ciel parmi nos dangers, Avait horreur de nos prières, Que les yeux des plus étrangers Donnaient des pleurs à nos misères, Quand nos maux allaient jusqu'au bout, Que l'état ébranlé par tout Était prêt à changer de maître, Il fît mourir notre douleur, Et perdre espérance au malheur De la faire jamais renaître.
Ce grand iour où tant de plaiſirs, Succederent à tant de peines, Qui fit changer tant de deſirs, Et qui r’appaiſa tant de haines:	Ce grand jour où tant de plaisirs, Succederent à tant de peines, Qui fit changer tant de désirs, Et qui rapaisa tant de haines:
Tous nos cœurs ſans fard & ſans fiel.	Tous nos cœurs sans fard et sans fiel.
Enclinant où l’amour du Ciel Pouſſoit vos volontez vnies, Rauis de ce commun bon-heur, Firent des vœux à ſon honneur,	Enclinant où l'amour du Ciel Poussait vos volontés unies, Ravis de ce commun bonheur, Firent des vœux à son honneur,
Ceux qui mieux ont ſenty l’effect D’vne ſi loüable victoire, Honteux du bien qu’il leur a faict Ont du mal à ſouffrir ſa gloire:	Ceux qui mieux ont senti l'effet D'une si louable victoire, Honteux du bien qu'il leur a fait Ont du mal à souffrir sa gloire:
