A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
Mais ie crains que la ſentinelle S’endorme aupres de la pucelle, Et que ceſt ennemy ruſe Charme mes yeux de meſme ſorte Qu'à celuy qui gardoit la porte, Lors que Vulcain fut abuſé.	Mais ainsi crains que la sentinelle S'endorme auprès de la pucelle, Et que cet ennemi ruse Charme mes yeux de même sorte Qu'à celui qui gardait la porte, Lors que Vulcain fut abusé.
PLAINTE DE PHILIS volontairement rauie.	PLAINTE DE PHILIS volontairement ravie.
Ourquoy veut on faire mourir Le ſeruiteur qui m'a rauie, & Puis que ceſtoit pour me guarir, Et que me rauiſſant il m’a donné la vié.	Ourquoy veut on faire mourir Le serviteur qui m'a ravie, et Puis que cestoit pour me garir, Et que me ravissant il m'a donné la vié.
Si nous deuons eſtre punis Par la rigueur de la nature Amour qui tient nos cœurs vnis Ne le ſouffrira pas, ſi non de ſa pointure.	Si nous devons être punis Par la rigueur de la nature Amour qui tient nos cœurs unis Ne le souffrira pas, si non de sa pointure.
N’eſt ce pas vn eſtonnement Que tout le monde ne peut croire De vouloir punir vn amant Qui deuoit eſperer triumphe de ſa gloire?	N'est ce pas un étonnement Que tout le monde ne peut croire De vouloir punir un amant Qui devait espérer triomphe de sa gloire?
L’offence eſt digne du pardon Lors qu’vn beau ſubjet nous anime, Car ſi c’eſt l’amoureux brandon Peut on treuuer quelqu'vn qui l’accuſe du crime?	L'offense est digne du pardon Lors qu'un beau subjet nous anime, Car si c'est l'amoureux brandon Peut on trouver quelqu'un qui l'accuse du crime?
Amour ne reçoit point nos loix, Et n'eſt eſclaue de perſonne ltal'Empire jhi les Rolx, C’eſt le ſeul qui puniſt, luy meſme qui pardonne.	Amour ne reçoit point nos lois, Et n'est esclave de personne l'Empire jhi les Rolx, C'est le seul qui punît, lui -même qui pardonne.
Adoucis, pere, ton courroux, Et change ce mauuais courage, Außy bien mon œil est ſi doux, Qu'il n'eſt cœur ſe voyant qui n’appaiſe ſa rage.	Adoucis, père, ton courroux, Et change ce mauvais courage, Aussi bien mon œil est si doux, Qu'il n'est cœur se voyant qui n'apaise sa rage.
PHILEMON SOVPIRE apres Clarinde femme de Cloridan, & dandoumude emancequepula (cls.	PHILEMON SOUPIRE après Clarinde femme de Cloridan, et dandoumude emancequepula (cls.
STANCES.	STANCES.
Ay veu deux beaux yeux adorés Du berger aux cheueux dorés, Dont le cœur en vain ſe martyre, Le Soleil en ſeroit marry Qui par tout n'a nonté de dire Qu’il veut eſtre leur fauory.	Ai vu deux beaux yeux adorez Du berger aux cheveux dorés, Dont le cœur en vain se martyre, Le Soleil en serait marri Qui par tout n'a nonté de dire Qu'il veut être leur favori.
Ce temeraire Phaëton Oze deſirer vn teton Qui porte la forme da monde Croyant d’vn regard de trauers Pur vne courſe vagahonde Mettre enfin le reſte a lenuers.	Ce téméraire Phaéton Oze désirer un téton Qui porte la forme da monde Croyant d'un regard de travers Pur vne course vagahonde Mettre enfin le reste à lenvers.
Son deſſein eſt mal entrepris, Le refus d'vn triſte meſpris Luy doit ſeruir de recompenſe;	Son dessein est mal entrepris, Le refus d'un triste mépris Lui doit servir de récompense;
Il n’a point aſſez merité, Pour moy ie neſçay ce qu’il penſe ESiaſanuanes	Il n'a point assez mérité, Pour moi je nesçai ce qu'il pense ÉSiasanuanes
Tropaueugle en ſa paßion Il veut comme vn autre Ixion Embraſſer lunon toute nue, C’eſt beaucoup ſe precipiter Cluinte juu fonte de noie, Quelque foudre de Iupiter.	Tropaveugle en sa passion Il veut comme un autre Ixion Embrasser lunon toute nue, C'est beaucoup se précipiter Cluinte ju fonte de noie, Quelque foudre de Jupiter.
Toutefois s’il ſouffre la mort, Ce ne peut eſtre qu'à grand tort, Ce berger reuient en enfance, Mais il ſe faut bien ſouuenir Qu'en amour on puniſt l'offence Du preſent, & de l'aduenir.	Toutefois s'il souffre la mort, Ce ne peut être qu'à grand tort, Ce berger revient en enfance, Mais il se faut bien souvenir Qu'en amour on punît l'offense Du présent, et de l'avenir.
LE TVMBEAV DE Nymphe Doralice.	LE TUMBEAU DE Nymphe Doralice.
LA	LA
Oleil au viſage riant Plein de rayons & de lumiere Tu vois la fin de ta carriere, Au leuer de ton Oriant;	Oleil au visage riant Plein de rayons et de lumière Tu vois la fin de ta carrière, Au lever de ton Oriant;
Si tu peux entendre ma plainte Bel Aſtre qui nous luis ſans feinte Darde vn rayon de tes beaux yeux, Or jaubute monde pareſtre Que despouillant ton premier eſtre Tu prens en eſchange les cieux.	Si tu peux entendre ma plainte Bel Astre qui nous luis sans feinte Darde un rayon de tes beaux yeux, Or jaubute monde paraître Que dépouillant ton premier être Tu prends en échange les cieux.
REGRETS DE CLEON ſur la mort de Tirſis.	REGRETS DE CLEON sur la mort de Tirsis.
ELEGIE.	ÉLÉGIE.
Ircis lors que ie fus heureuſe priſonniere Sous le ioug maternel, L’adieu qui me priua de ta douce lumiere Sera donc eternel:	Jrcis lors que ie fus heureuse prisonnière Sous le joug maternel, L'adieu qui me priva de ta douce lumière Sera donc éternel:
Tes ſermens ſeront vains, & ta foy violee De bien toſt reuenir Fera que deſormais ſans estre conſolee Ie meure au ſouuenir:	Tes serments seront vains, et ta foi violée De bien tôt revenir Fera que désormais sans être console Je meure au souvenir:
Te voulant expoſer à la fureur des armes Ton bel œil languiſſant Ne deuoit eſprouuer le pouuoir de tes charmes Contre vn cœur innocent:	Te voulant exposer à la fureur des armes Ton bel œil languissant Ne devait éprouver le pouvoir de tes charmes Contre un cœur innocent:
N'eſtoit ce pas aſſez de mourir en la gloire U vn guerrter gentreux Sans rauir a Cleon auant cette victoire Le laurter amoureux.	N'était ce pas assez de mourir en la gloire V un guerrter gentreux Sans ravir a Cleon avant cette victoire Le laurter amoureux.
Non toutefois Tiſis que ma ſeule penſee Me puiſſe reprocher D’auoir contre l'honneur vne œillade aduances N’ayant rien de ſicher (nee Mais ſoub, l’espoir ſacré d’vn heureux HimeVefae ie me diray, Et ſeniſſant mes iours par meſme de ſtinee Comme toy ie mourray.	Non toutefois Tis que ma seule pensée Me puisse reprocher D'avoir contre l'honneur une œillade avances N'ayant rien de sicher (ne Mais sous, l'espoir sacré d'un heureux HimeUefae ie me fa, Et senissant mes iours par même de stinee Comme toi ie mourrai.
telle Nos deux cœurs ne ſont qu’vn, & l’atteinte morNe ſe peut diuiſer, Puis que i’ayrecognu ton amitié fidelle Ie n’en veux abuſer, Cependant ie me pers en diſcours inutiles Sans beaucoup profiter.	telle Nos deux cœurs ne sont qu'un, et l'atteinte morNe se peut diviser, Puis que j'aireconnu ton amitié fidèle Je n'en veux abuser, Cependant ie me pers en discours inutiles Sans beaucoup profiter.
Il n’a plus maintenant des oreilles faciles Afir de m'eſcouter:	Il n'a plus maintenant des oreilles faciles Afir de m'écouter:
Ileſt ſourda mes cris, & ſa flame eſtoufec D'vn glaçon de mepris.	Ilest sourda mes cris, et sa flamme estoufec D'un glaçon de mépris.
Met Met peine dans le ciel d’eriger vn trophee Sur l’enfant de Cypris.	Met Met peine dans le ciel d'ériger un trophée Sur l'enfant de Cypris.
Ie blaſpheme pourtant contre ſa foy iuree Sçachant que ſon amour Doit eſtre à l’aduenir d’eternelle duree, Bien que priué du iour.	Je blaspheme pourtant contre sa foi jure Sçachant que son amour Doit être à l'avenir d'éternelle dure, Bien que privé du jour.
Non ce n’eſt point le corps qui donne nourriture Aux doux embraſſemens, C’est l’eſprit immortel dont la viue pointure Fait viure les amans.	Non ce n'est point le corps qui donne nourriture Aux doux embrassements, C'est l'esprit immortel dont la vive pointure Fait vivre les amants.
Cher objet de mes yeux, belle vmbre que i’adore, Quelque part que tu ſois Ne meſpriſe les vœux que ie te faits encore Et redouble cent fois.	Cher objet de mes yeux, belle vémbre que j'adore, Quelque part que tu sois Ne méprise les vœux que Ne te faits encore Et redouble cent fois.
Le tumbeau gardien de mon amitié ferme Te pourra teſmoigner, Que le temps importun n’aura iamais de terme Qui m'en face eſloigner.	Le tombeau gardien de mon amitié ferme Te pourra témoigner, Que le temps importun n'aura jamais de terme Qui m'en face éloigner.
DESCRIPTION DE l’Hermitage de Cloris.	DESCRIPTION DE l'Hermitage de Cloris.
Herchons les deſers eſcartez Puiſque l’vnique des beautez *Fait ſeiour en vn hermitage, Il aura touſiours l’auantage Sur les delices de Paris.	Herchons les désers écartés Puisque l'unique des beautés *Fait séjour en un hermitage, Il aura toujours l'avantage Sur les délices de Paris.
Au milieu du ciel eſclairant Les mortels ne vont adorant Qu’vn Soleil, & qu’vne lumiere, Celeſte beauté que ie ſers Tu te puis dire la premiere Du reſte de tout l’vniuers.	Au milieu du ciel éclairant Les mortels ne vont adorant Qu'un Soleil, et qu'une lumière, Celeste beauté que je sers Tu te puis dire la première Du reste de tout l'Hivers.
Eſtant permis de s’aprocher Seulement au bas du Rocher,	Étant permis de s'aprocher Seulement au bas du Rocher,
Qui ſe pareſt inacceßible, Lors moncœur ſera trop content D’aſpirer au bien impoſsible, Et viure amoureux penitent.	Qui se parêt inaccesible, Lors moncœur sera trop content Daspirer au bien impossible, Et vivre amoureux pénitent.
Si le fauorable demon Qui me la fist voir au ſermon Pouuoit amolir ſon courage, On verroit à la fin les Roix Ialouſer l’heur de mon ſeruage Sous la puiſſance de ſes loix.	Si le favorable démon Qui me la fît voir au sermon Pouvait amolir son courage, On verrait à la fin les Roix Jalouser l'heur de mon servage Sous la puissance de ses lois.
Leurs Palais, & leurs monumens Ce ne ſont que vains ornemens D’vne maieſté periſſable;	Leurs Palais, et leurs monuments Ce ne sont que vains ornements D'une maiesté périssable;
Mais le ſeiour delicieux Où Cloris ſe rend adorable, Ne cede à l’Empire des cieux.	Mais le séjour délicieux Où Cloris se rend adorable, Ne cède à l'Empire des cieux.
Tu ſeras heureux Melidor De garder cette Toiſon d’or Sans vn compagnon de fortune;	Tu seras heureux Melidor De garder cette Toison d'or Sans un compagnon de fortune;
A mour tu m’as bien abuſé, Son mary deſia m’importune, Qui m'a ſon accez refusé.	À mour tu m'as bien abusé, Son mari déjà m'importune, Qui m'a son accès refusé.
C’eſt vn dragon touſiours veillant Qui ne vaiamais ſommeillant S’il ne la preſſe de ſa leure;	C'est un dragon toujours veillant Qui ne vaiamais sommeillant S'il ne la presse de sa lèvre;
Crainte du voile de la nuit Luy meſme ſe cauſe la fieure Au fort de l’amoureux deduit.	Crainte du voile de la nuit Lui même se cause la fièvre Au fort de l'amoureux déduit.
Faut-il qu’vn tyran ſans raiſon Soit le geolier, & la priſon D’vne qui mon ame captiue, Ne pouuant plus rien eſperer Ie la veux ſuiure fugitiue Pour apres elle ſouspirer.	Faut-il qu'un tyran sans raison Soit le geôlier, et la prison D'une qui mon âme captive, Ne pouvant plus rien espérer Je la veux suivre fugitive Pour après elle soupirer.
ELEGIE.	ÉLÉGIE.
Ccompagne mes vers de larmes eſpanchees Vous amans de lacour, Celle qui par ſa mort rend nos ames touchees Eſtoit mere d’Amour, De vouloir enſerrer ſon corps, & ſa memoire Sous vn meſme tumbeau, C’eſt trop d’impieté, car voicy ſon hiſtoire Qui luy ſert de flambeau.	Ccompagne mes vers de larmes épanchees Vous amants de lacour, Celle qui par sa mort rend nos âmes touches Était mère d'Amour, De vouloir enserrer son corps, et sa mémoire Sous un même tombeau, C'est trop d'impiété, car voici son histoire Qui avait sert de flambeau.
Ie ſçay bien que quelqu’vn, veu l’horreur de ce Ne l’excuſera pas.	Je sais bien que quelqu'vn, vu l'horreur de ce Ne l'excusera pas.
Son cœur n’a pris außi d’excuſe legitime Sinon que le trepas.	Son cœur n'a pris aussi d'excuse légitime Sinon que le trépas.
Si la rage voulut ſe faire vn ſacrifice De ſon fils étoufé, Puniſſant le forfait par le meſme ſuplice Elle a donc triumphé.	Si la rage voulut se faire un sacrifice De son fils étouffé, Punissant le forfait par le même suplice Elle a donc trivmphé.
crime	crime
H iij N’eſt ce pas euiter Amazone guerriere, L’exemple renommé De celle que ſon fils priua de la lumiere Pour l’auoir trop aymé?	H Hij à ce pas éviter Amazone guerrière, L'exemple renommé De celle que son fils priva de la lumière Pour l'avoir trop aimé?
Car apres ne voulant à ſa faute ſuruiure Le poiſon luy fut doux:	Car après ne voulant à sa faute survivre Le poison tu fut doux:
C’eſt pourquoy l’ame fut deſireuſe de ſuiure L’obiet de ſoncourroux, Mais ſi toſt qu’elle vit cette vmbre fugitiue Proche de l’Archeron, Sans payer le tribut elle aborde la riue Endepit de Caron, Et d’vn accent plaintif par trois fois la coniure De vouloir s’arreſter, Quittant le ſouuenir d’auoir receu l’iniure Afin de l’ecouter.	C'est pourquoi l'âme fut désireuse de suivre L'objet de soncourroux, Mais sitôt tôt vit cette vit cette vémbre fugitive Proche de l'Archeron, Sans payer le tribut elle aborde la rive Endepit de Caron, Et d'un accent plaintif par trois fois la conjure De vouloir s'arrêter, Quittant le souvenir d'avoir receu l'injure Afin de l'écouter,
Lors ſes bras eſtendus & ſa face hauſſee Luy diſt en ſouspirant;	Lors ses bras étendus et sa face haussée Lui dît en soupirant;
Excuſe le rencœur d’vne mere offencee, Qui t’alloit adorant.	Excuse le rencœur d'une mère offensée, Qui t'allait adorant.
Souuien toy que tu fus ſa chere nourriture, Son plaiſir, ſon ſoucy.	Souvien toi que tu fus sa chère nourriture, Son plaisir, son souci.
Et que par le mepris des loix de la nature Tous deux ſommes icy.	Et que par le mépris des lois de la nature Tous deux sommes ici.
Si tu n'as peu ſouffrir mes trop longues anne es Priué de la raiſon, Du moins nous finirons nos fieres deſtinees Dans la meſme priſon.	Si tu n'as peu souffrir mes trop longues anne est Privé de la raison, Du moins nous finirons nos fières destinées Dans la femme prison.
Ie me tiendray touſiours pres de toy vagabonde Parmy l’obſcurité, Preferant ce ſeiour à la gloire du monde, Tout plein de vanité.	Je me tiendrai toujours pres de toi vagabonde Parmi l'obscurité, Préferant ce seiour à la gloire du monde, Tout plein de vanité.
Le fils qui ne ſçauoit de ſa mort aduancee Le ſubjet apparant, Soudain d’vn pas leger tient ſa courſe preſſee Pour en eſtre ignorant.	Le fils qui ne savait de sa mort avancée Le sujet apparant, Soudain d'un pas léger tient sa course pressée Pour en être ignorant.
Le mal fuſt redoublé par cette cognoiſſance Sans autre guariſon;	Le mal fût redoublé par cette connaissance Sans autre garison;
Puis que celle qui fut cauſe de ſa naiſſance Luy donna le poiſon.	Puis que celle qui fut cause de sa naissance Lui donna le poison.
Il trauerſe les flos, & cherche l’onde noire De ce fleuue oublieux, Afin que deſormais il perde la memoire De la terre, & des cieux.	Il traverse les flots, et cherche l'onde noire De ce fleuve oublieux, Afin que désormais il perde la mémoire De la terre, et des cieux.
La mere qui le ſuit d’vn œil plein de colere Se veut precipiter, Mais il n’eſt pas permis à l’ame tributaire De ſe plus irriter.	La mère qui le suit d'une œil plein de colère Se veut précipiter, Mais il n'est pas permis à l'âme tributaire De se plus irriter.
Au manoir de Pluton on a chaſſe l’vſage D'Amour, & de pitié, Nul des ſiens a pouuoir de flechir ſon courage Que ſa chere moitié.	Au manoir de Pluton on a chasse l'usage D'Amour, et de pitié, Nul des siens a pouvoir de fléchir son courage Que sa chère moitié.
Cependant au milieu de la trouppe effroyable Des monſtres amaſſeZ Elle inuocque l’enfer pour le rendre ployable Par ſes cris eſlancés.	Cependant au milieu de la troupe effroyable Des monstres amassés Elle invocque l'enfer pour le rendre ployable Par ses cris élancés.
Va forcer de ſes mains la porte defenduë, Sans crainte du danger, Croyant que de Minos ſa voix eſt entenduë Qui la puiſſe venger.	Va forcer de ses mains la porte défendue, Sans crainte du danger, Croyant que de Minos sa voix est entendue Qui la puisse venger.
ELEGIE.	ÉLÉGIE.
& E corps priué du iour, par ta main deſloyale	et E corps privé du jour, par ta main déloyale
Iadis chere moitié Fait pareſtre à tes yeux ſon vmbre ſepulchrale, Pour voir ſi ton cœur eſt ſenſible à la pitié.	Jadis chère moitié Fait paraître à tes yeux son vambre sépulcrale, Pour voir si ton cœur est sensible à la pitié.
Si l’ame chez Pluton vne fois deſcenduë Ne remonte ſes pas, Veux tu bien que du corps la memoire perduë, De tes cruelles mains ſouffre vn ſecond trepas?	Si l'âme chez Pluton une fois descendue Ne remonte ses pas, Veux -tu bien que du corps la mémoire perdue, De tes cruelles mains souffre un second trépas?
S’il te ſouuient encor des careſſes paſſees Qu'il te faiſoit alors Qu’Amour auoit d’Hymen les flames aduancee Tu doibs au ſouuenir, le ſuiure entre les morts.	S'il te souvient encor des caresses passées Qu'il te faisait alors Qu'Amour avait d'Hymen les flammes avance Tu doibs au souvenir, le suivre entre les morts.
Ton œil voit ſans pleurer la dextre ſanguinaire.	Ton œil voit sans pleurer la dextre sanguinaire.
Qui peut naurer le cœur, Cœur né dans les deſirs afin de te complaire, Etoienneurenx tuptiſit uirt fon veinqueur.	Qui peut navrer le cœur, Cœur né dans les désirs afin de te complaire, Étoyenneurenx tuptisit uirt son veinqueur.
Que s’il auoit eſté conuaincu de ce crime Par la rigueur du ſort, C’eſt à toy d’alleguer cauſe plus legitime, Pour le ſacre reſpect que l’ondoit à la mort.	Que s'il avait été convaincu de ce crime Par la rigueur du sort, C'est à toi d'alléguer cause plus légitime, Pour le sacre respect que l'ondait à la mort.
Tuſçais bien qu’en mourant ma parole derniere Fut de te pardonner, Et maintenant qu'il eſt priue de la lumiere, Tu troubles ſon repos au lieu de luy donner.	Tusçais bien qu'en mourant ma parole dernière Fut de te pardonner, Et maintenant qu'il est prive de la lumière, Tu troubles son repos au lieu de lui Rome.
Fais que ſon triſte obiet finiſſe par la peine Que tu luy fis ſouffrir, Si la rage ſe peut contenter inhumaine, Tu dois eſtre content de l auoir fait mourir Teſmoigne vn repentir de ta faute commiſe Il ſera ſatisfait:	Fais que son triste objet finisse par la peine Que tu lui fis souffrir, Si la rage se peut contenter inhumaine, Tu dois être content de l avoir fait mourir Témoigne un repentir de ta faute commise Il sera satisfait:
Luy meſme reuiendra bien que tu le meſpriſe Publier que tu n’es coupable du forfait.	Lui même reviendra bien que tu le méprise Publier que tu n'es coupable du forfait.
C’eſt aſſez que ie ſois le butin de la Parque Sans que tu ſuiue apres, Ce tragique malheur ne veut autre remarque Sinõ que mon tumbe au ſoitcouuert de Cypres.	C'est assez que je sois le butin de la Parque Sans que tu suive après, Ce tragique malheur ne veut autre remarque Sinion que mon tombe au soitcouvert de Cyprès.
Mais l’enfant qui ſuiuit noſtre commun deſaſtre Au malheur destiné, lemuane qu ienmuiſſuiuvanſenence a u Miſtre L’a rendu des mortels le plus infortuné.	Mais l'enfant qui suivit notre commun désastre Au malheur destiné, lemuane qu' ienmuissuivantsenence a Mistre a rendu des mortels le plus infortuné.
Fais que touſiours luy ſoit ſa naiſſance incogneuë Comme vn ſort harzardeux.	Fais que toujours a voir sa naissance inconnue Comme un sort harzardeux.
Helas il luy vaut mieux eſtre fils de la nuë, Que de ſçauoir vn iour l’hiſtoire de nous deux.	Hélas il avait vaut mieux être fils de la nue, Que de savoir un jour l'histoire de nous deux.
LA MESME CLEON FAIT eſcrire cette Epitaphe ſur le tombeau de Piflis.	LA MÊME CLEON FAIT écrire cette Epitaphe sur le tombeau de Piflis.
Out plein d’honneur & d’esperance Tu viens d’vn riuage eſtranger, Où par tout cherchant le danger Ton bras ne le trouue qu’en France.	Out plein d'honneur et d'espérance Tu viens d'un rivage étranger, Où par tout cherchant le danger Ton bras ne le trouve qu'en France.
Tu deuois mourir en naiſſant, Oune pas ſi toſt diſparestre, Car ton obiet me va laiſſant Vn vainregret de ſe cognoiſtre, Ne l’ayant veu qu’en finiſſant.	Tu devais mourir en naissant, Oune pas si tôt disparaître, Car ton objet me va laissant Un vainregret de se connaître, Ne l'ayant vu qu'en finissant.
Pleignant ton funeſte trepas, Et ta fatale deſtinee, Pleurer mies yeux ne doiuent pas Si toſt la mort que l’Hymenee, Car le ſubiet de ton malheur Rend ſi fort nos ames atteintes Que ny les larmes ny les plaintes Ne ſuffiſent à la douleur.	Pleignant ton funeste trépas, Et ta fatale destine, Pleurer mies yeux ne doivent pas Si tôt la mort que l'Hymène, Car le sujet de ton malheur Rend si fort nos âmes atteintes Que ni les larmes ni les plaintes Ne suffisent à la douleur.
Ce n’eſt point de ce ſanglant poignard Qui t’a priué de la lumiere, Ce fut lors qu'Amour de ſon dard Bleſſa ton ame priſonniere, La pointe d’vn fer aſſeré Ne pouuoit vaincre ſon courage Si ce cœur eſtouffé de rage Ne fuſt mort d’auoir ſouſpiré.	Ce n'est point de ce sanglant poignard Qui t'a privé de la lumière, Ce fut lors qu'Amour de son dard Blessa ton âme prisonnière, La pointe d'une fer asseré Ne pouvait vaincre son courage Si ce cœur étouffé de rage Ne fût mort d'avoir soupiré.
Vn fils & nourriſſon de Mars Iamais au combat ne recule, Et doit eſtre dans ſes hazars Immobile comme vn Hercule, Tu ſuis ſon deſtin amoureux En cette ſeule differance, L’vne ſe fist par ignorance, L’autre a le deſſain malheureux.	Un fils et nourrisson de Mars Infamais au combat ne recule, Et doit être dans ses hasards Immobile comme un Hercule, Tu suis son destin amoureux En cette seule différance, L'une se fît par ignorance, L'autre a le dess malheureux.
Du moins ſi le ciel irrité Pouuoit eſtendre ſa iuſtice Sur celle qui l’a merite Par l'effet d’vn meſme ſuplice Diane pleurant le ſort Cauſe du ſoupçon homicide nomus guujuuain parricide Couiſt duiſa tost a lamort.	Du moins si le ciel irrité Pouvait étendre sa justice Sur celle qui l'a mérite Par l'effet d ' opplice Diane pleurant le sort Causse du soupçon homicide nomus guujuuain parricide Couit disa tôt a lamort.
Mais toy malheureux mille fois Alcide cent fois miſerable, Si tu puis entendre la voix De celle qui reſte coupable, Au lieu de ſouſpirs elancés Contre le ſizeau de la Parque Ton œil pour trop heureux remarque Le iour de tes iours aduancés.	Mais toi malheureux mille fois Alcide cent fois misérable, Si tu puis entendre la voix De celle qui reste coupable, Au lieu de soupirs elancés Contre le sizeau de la Parque Ton œil pour trop heureux remarque Le jour de tes jours avancés.
Quitte ce triſte ſouuenir, Prens plaiſir aux champs Elisées Deffunct il ne faut retenir L’obiet des fureurs apaisées Peut eſtre vn iour deuant tes yeux Tu verras punir ſon offence, Et celuy qui prend ſa deſence, Priué de la table des Dieux.	Quitte ce triste souvenir, Prends plaisir aux champs Elisées Défunt il ne faut retenir L'objet des fureurs apaisées Peut être un jour devant tes yeux Tu verras punir son offense, Et celui qui prend sa désence, Privé de la table des Dieux.
La Gaule qui vaſoupirant Regrette ſa gloire eſtoufée, Et preſque ton nom adorant T'eut preparé quelque trophee:	La Gaule qui vasoupirant Regrette sa gloire étouffée, Et presque ton nom adorant T'eut préparé quelque trophée:
Mais ce tragique euenement Que le temps futur ne peut croire, nli iem u eu tempu momemoire Ne merite qu’vn monument.	Mais ce tragique événement Que le temps futur ne peut croire, nli um u eu tempu momemoire Ne mérite qu'un monument.
Si le celeſte meſſager Te vouloit rappeller en terre, Et que ſa verge fiſt changer Ton cœur en nature de pierre:	Si le céleste messager Te voulait rappeler en terre, Et que sa verge fît changer Ton cœur en nature de pierre:
Sans pouuoir iamais eſtre époint D’vn reſſentiment legitime, Helas que le ciel le ranime, Sinon qu’il ne ſe face point.	Sans pouvoir jamais être époint D'un ressentiment légitime, Hélas que le ciel le ranime, Sinon qu'il ne se face point.
Puiſque le malheur du paſſé Fut compagnon de ta fortune, Deſormais il eſt effacé Par l’accident qui m’importune.	Puisque le malheur du passé Fut compagnon de ta fortune, Désormais il est effacé Par l'accident qui m'importune.
Ou ſans doubte que reuiuant Ta fureur deſia refroidie Pourroit mettre en la tragedie Plus grand deſaſtre que deuant.	Ou sans doute que revivant Ta fureur déjà refroidie Pourrait mettre en la tragédie Plus grand désastre que devant.
